Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,78.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,72.0,72.0,71.0,72.0,75.0,73.0,72.0,72.0,73.0,73.0,77.0,75.0,75.0,79.0,81.0,73.0,76.0
unmatched_applicants,78.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0,70.0,70.0,72.0,71.0,72.0,73.0,72.0,75.0,75.0,75.0,76.0,79.0,75.0,77.0,78.0,76.0,79.0,76.0,80.0
unmatched_applicants,83.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,74.0,71.0,71.0,72.0,72.0,72.0,71.0,74.0,77.0,72.0,74.0,77.0,76.0,76.0,76.0,76.0,80.0,78.0
unmatched_applicants,79.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,70.0,71.0,73.0,70.0,71.0,72.0,75.0,71.0,75.0,73.0,72.0,76.0,75.0,77.0,79.0,78.0,79.0,82.0,77.0
unmatched_applicants,80.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,71.0,70.0,73.0,72.0,72.0,75.0,75.0,73.0,74.0,74.0,75.0,75.0,75.0,77.0,76.0,76.0,79.0,77.0,81.0
unmatched_applicants,79.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,71.0,71.0,73.0,76.0,72.0,74.0,77.0,73.0,74.0,73.0,73.0,74.0,79.0,81.0,78.0,80.0
unmatched_applicants,85.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,70.0,72.0,74.0,74.0,75.0,76.0,75.0,73.0,75.0,75.0,73.0,76.0,77.0,78.0,80.0,79.0
unmatched_applicants,79.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,71.0,71.0,71.0,74.0,72.0,73.0,72.0,75.0,74.0,74.0,73.0,77.0,78.0,77.0,77.0,76.0,81.0,79.0
unmatched_applicants,80.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,70.0,70.0,71.0,72.0,72.0,72.0,74.0,74.0,73.0,71.0,78.0,72.0,78.0,74.0,75.0,77.0,74.0,82.0
unmatched_applicants,78.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,72.0,71.0,70.0,72.0,73.0,72.0,73.0,74.0,73.0,74.0,77.0,73.0,74.0,77.0,80.0,78.0,76.0,79.0
