Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
unmatched_applicants,103.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,97.0,95.0,96.0,96.0,97.0,97.0,98.0,99.0,98.0,100.0,99.0,104.0,107.0,104.0,105.0,102.0,104.0,101.0,105.0
unmatched_applicants,105.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,95.0,95.0,96.0,97.0,96.0,97.0,97.0,98.0,98.0,98.0,99.0,98.0,98.0,100.0,101.0,99.0,103.0,100.0,102.0,101.0,106.0,105.0
unmatched_applicants,108.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,98.0,97.0,97.0,99.0,100.0,98.0,100.0,100.0,99.0,101.0,105.0,106.0,107.0,103.0,104.0
unmatched_applicants,106.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,96.0,97.0,97.0,96.0,97.0,97.0,98.0,98.0,98.0,99.0,101.0,101.0,103.0,101.0,102.0,98.0,106.0,104.0,105.0,108.0
unmatched_applicants,106.0,95.0,95.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,95.0,96.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,99.0,100.0,99.0,100.0,103.0,98.0,103.0,100.0,106.0,105.0,105.0,105.0
unmatched_applicants,103.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,95.0,96.0,96.0,97.0,98.0,96.0,99.0,99.0,98.0,98.0,99.0,102.0,103.0,102.0,103.0,101.0,107.0,101.0,102.0
unmatched_applicants,106.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,97.0,97.0,96.0,96.0,97.0,98.0,98.0,97.0,98.0,99.0,101.0,100.0,105.0,99.0,103.0,108.0,104.0,105.0,106.0
unmatched_applicants,105.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,98.0,97.0,97.0,96.0,98.0,98.0,101.0,102.0,99.0,103.0,105.0,98.0,103.0,105.0,106.0
unmatched_applicants,106.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,97.0,98.0,97.0,99.0,99.0,100.0,98.0,101.0,99.0,103.0,102.0,104.0,101.0,107.0,104.0,108.0
unmatched_applicants,109.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,97.0,96.0,96.0,97.0,97.0,99.0,98.0,96.0,99.0,100.0,99.0,99.0,103.0,99.0,104.0,104.0,103.0,105.0,108.0
