Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
unmatched_applicants,2067.0,1217.0,1215.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1226.0,1295.0,1347.0,1451.0,1509.0,1592.0,1684.0,1756.0,1821.0,1864.0,1927.0,1991.0,2018.0
unmatched_applicants,2066.0,1230.0,1213.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1233.0,1287.0,1336.0,1448.0,1524.0,1583.0,1703.0,1769.0,1848.0,1879.0,1932.0,1960.0,2033.0
unmatched_applicants,2070.0,1218.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1216.0,1230.0,1305.0,1375.0,1455.0,1514.0,1621.0,1670.0,1753.0,1807.0,1867.0,1936.0,2004.0,2013.0
unmatched_applicants,2071.0,1220.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1213.0,1244.0,1286.0,1357.0,1442.0,1516.0,1629.0,1707.0,1782.0,1840.0,1867.0,1919.0,1980.0,2013.0
unmatched_applicants,2059.0,1221.0,1213.0,1212.0,1212.0,1212.0,1212.0,1212.0,1216.0,1225.0,1276.0,1380.0,1440.0,1545.0,1617.0,1650.0,1744.0,1800.0,1860.0,1919.0,1970.0,2018.0
unmatched_applicants,2064.0,1225.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1226.0,1237.0,1293.0,1377.0,1440.0,1523.0,1580.0,1697.0,1750.0,1822.0,1876.0,1931.0,1990.0,2036.0
unmatched_applicants,2056.0,1217.0,1214.0,1212.0,1212.0,1212.0,1212.0,1212.0,1218.0,1238.0,1288.0,1366.0,1461.0,1536.0,1619.0,1690.0,1751.0,1812.0,1848.0,1902.0,1976.0,2024.0
unmatched_applicants,2069.0,1228.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1234.0,1263.0,1336.0,1443.0,1524.0,1609.0,1672.0,1769.0,1820.0,1873.0,1914.0,1973.0,2027.0
unmatched_applicants,2065.0,1218.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1212.0,1237.0,1268.0,1378.0,1442.0,1563.0,1597.0,1674.0,1755.0,1844.0,1880.0,1934.0,2000.0,2034.0
unmatched_applicants,2059.0,1228.0,1220.0,1212.0,1212.0,1212.0,1212.0,1212.0,1214.0,1246.0,1284.0,1364.0,1419.0,1523.0,1603.0,1668.0,1741.0,1830.0,1886.0,1929.0,1969.0,2025.0
unfilled_spots,855.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,83.0,135.0,239.0,297.0,380.0,472.0,544.0,609.0,652.0,715.0,779.0,806.0
unfilled_spots,854.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,75.0,124.0,236.0,312.0,371.0,491.0,557.0,636.0,667.0,720.0,748.0,821.0
unfilled_spots,858.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,93.0,163.0,243.0,302.0,409.0,458.0,541.0,595.0,655.0,724.0,792.0,801.0
unfilled_spots,859.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,74.0,145.0,230.0,304.0,417.0,495.0,570.0,628.0,655.0,707.0,768.0,801.0
unfilled_spots,847.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,64.0,168.0,228.0,333.0,405.0,438.0,532.0,588.0,648.0,707.0,758.0,806.0
unfilled_spots,852.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,81.0,165.0,228.0,311.0,368.0,485.0,538.0,610.0,664.0,719.0,778.0,824.0
unfilled_spots,844.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,76.0,154.0,249.0,324.0,407.0,478.0,539.0,600.0,636.0,690.0,764.0,812.0
unfilled_spots,857.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,51.0,124.0,231.0,312.0,397.0,460.0,557.0,608.0,661.0,702.0,761.0,815.0
unfilled_spots,853.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,56.0,166.0,230.0,351.0,385.0,462.0,543.0,632.0,668.0,722.0,788.0,822.0
unfilled_spots,847.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,72.0,152.0,207.0,311.0,391.0,456.0,529.0,618.0,674.0,717.0,757.0,813.0
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,331.037037037037,220.11640211640213,122.54497354497354,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,334.2116402116402,221.31216931216932,129.47089947089947,130.1904761904762,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,334.15343915343914,220.14285714285714,125.56613756613757,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,331.4867724867725,209.66666666666666,138.47089947089947,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,336.85185185185185,206.61904761904762,132.1904761904762,128.9100529100529,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,334.0899470899471,220.34391534391534,130.8994708994709,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,331.74074074074076,231.3015873015873,125.65608465608466,128.85714285714286,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,335.5820105820106,209.45502645502646,130.07407407407408,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,334.2116402116402,217.60846560846562,129.8941798941799,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,349.7037037037037,333.13227513227514,227.9100529100529,129.60846560846562,128.984126984127,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9975472323500165,0.9591205391669428,0.852739239547327,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.996685449121644,0.9493426140757927,0.8518869264643212,0.7476383824991714,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9969506131919125,0.953762015246934,0.8525971873668261,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9960225389459728,0.9507236769417744,0.8491405843079691,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
