Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
unmatched_applicants,184.0,103.0,94.0,91.0,91.0,91.0,91.0,91.0,92.0,91.0,92.0,94.0,97.0,104.0,101.0,110.0,113.0,115.0,113.0,119.0,124.0,129.0,140.0,140.0,147.0,145.0,151.0,157.0,163.0,168.0,169.0,165.0,168.0,172.0,180.0,181.0,180.0
unmatched_applicants,185.0,103.0,94.0,96.0,93.0,91.0,93.0,91.0,91.0,92.0,93.0,93.0,103.0,96.0,98.0,107.0,109.0,121.0,119.0,125.0,130.0,135.0,135.0,143.0,149.0,150.0,155.0,155.0,161.0,167.0,161.0,167.0,175.0,177.0,182.0,184.0,180.0
unmatched_applicants,187.0,105.0,97.0,92.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,98.0,104.0,110.0,109.0,119.0,117.0,125.0,120.0,133.0,136.0,136.0,139.0,146.0,150.0,152.0,154.0,159.0,162.0,169.0,173.0,168.0,179.0,179.0,185.0,187.0
unmatched_applicants,182.0,106.0,95.0,92.0,94.0,93.0,91.0,91.0,92.0,93.0,91.0,93.0,97.0,103.0,109.0,105.0,114.0,118.0,117.0,133.0,132.0,132.0,137.0,139.0,146.0,148.0,154.0,159.0,160.0,159.0,165.0,172.0,174.0,173.0,178.0,183.0,186.0
unmatched_applicants,187.0,106.0,95.0,92.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,96.0,95.0,105.0,103.0,113.0,117.0,115.0,115.0,128.0,126.0,129.0,134.0,143.0,140.0,152.0,159.0,155.0,161.0,163.0,169.0,165.0,170.0,174.0,180.0,183.0,186.0
unmatched_applicants,184.0,110.0,97.0,93.0,91.0,93.0,92.0,91.0,91.0,91.0,93.0,96.0,98.0,100.0,100.0,106.0,104.0,119.0,124.0,124.0,128.0,133.0,134.0,142.0,138.0,148.0,149.0,155.0,160.0,165.0,169.0,168.0,171.0,175.0,179.0,184.0,178.0
unmatched_applicants,185.0,107.0,105.0,97.0,92.0,91.0,91.0,91.0,91.0,93.0,91.0,93.0,96.0,95.0,102.0,112.0,117.0,115.0,112.0,118.0,128.0,129.0,138.0,145.0,147.0,147.0,156.0,156.0,157.0,167.0,169.0,171.0,174.0,177.0,176.0,184.0,189.0
unmatched_applicants,185.0,100.0,102.0,92.0,92.0,91.0,91.0,91.0,91.0,91.0,92.0,98.0,94.0,99.0,104.0,114.0,110.0,109.0,118.0,126.0,129.0,134.0,137.0,143.0,152.0,156.0,158.0,150.0,158.0,159.0,171.0,173.0,174.0,175.0,175.0,182.0,183.0
unmatched_applicants,184.0,98.0,97.0,95.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,98.0,99.0,98.0,107.0,113.0,120.0,114.0,121.0,139.0,129.0,136.0,137.0,142.0,149.0,143.0,156.0,162.0,159.0,168.0,169.0,178.0,179.0,180.0,183.0,185.0
unmatched_applicants,186.0,109.0,93.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,97.0,95.0,103.0,106.0,106.0,114.0,113.0,114.0,121.0,131.0,139.0,136.0,137.0,144.0,156.0,150.0,152.0,157.0,163.0,173.0,170.0,175.0,176.0,176.0,180.0,181.0
unfilled_spots,93.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,13.0,10.0,19.0,22.0,24.0,22.0,28.0,33.0,38.0,49.0,49.0,56.0,54.0,60.0,66.0,72.0,77.0,78.0,74.0,77.0,81.0,89.0,90.0,89.0
unfilled_spots,94.0,12.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,12.0,5.0,7.0,16.0,18.0,30.0,28.0,34.0,39.0,44.0,44.0,52.0,58.0,59.0,64.0,64.0,70.0,76.0,70.0,76.0,84.0,86.0,91.0,93.0,89.0
unfilled_spots,96.0,14.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,19.0,18.0,28.0,26.0,34.0,29.0,42.0,45.0,45.0,48.0,55.0,59.0,61.0,63.0,68.0,71.0,78.0,82.0,77.0,88.0,88.0,94.0,96.0
