Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
unmatched_applicants,199.0,110.0,96.0,92.0,91.0,91.0,91.0,91.0,91.0,92.0,97.0,97.0,98.0,108.0,104.0,116.0,118.0,114.0,124.0,124.0,137.0,136.0,144.0,149.0,157.0,157.0,154.0,156.0,167.0,167.0,173.0,175.0,178.0,183.0,188.0,187.0,188.0,193.0,198.0
unmatched_applicants,199.0,109.0,97.0,93.0,91.0,91.0,92.0,91.0,91.0,92.0,93.0,99.0,103.0,107.0,110.0,120.0,113.0,118.0,121.0,132.0,130.0,143.0,145.0,147.0,150.0,155.0,155.0,155.0,171.0,170.0,172.0,178.0,185.0,181.0,180.0,181.0,187.0,192.0,195.0
unmatched_applicants,194.0,112.0,93.0,96.0,96.0,91.0,91.0,91.0,93.0,92.0,92.0,100.0,99.0,106.0,108.0,116.0,126.0,117.0,125.0,127.0,135.0,147.0,153.0,146.0,150.0,158.0,159.0,165.0,171.0,166.0,178.0,172.0,175.0,180.0,183.0,185.0,186.0,189.0,195.0
unmatched_applicants,196.0,105.0,97.0,96.0,93.0,91.0,91.0,91.0,91.0,94.0,93.0,99.0,103.0,107.0,107.0,113.0,122.0,122.0,124.0,129.0,135.0,137.0,145.0,151.0,153.0,158.0,162.0,161.0,160.0,162.0,170.0,180.0,182.0,182.0,186.0,192.0,191.0,191.0,192.0
unmatched_applicants,200.0,106.0,99.0,93.0,91.0,92.0,91.0,93.0,91.0,91.0,94.0,98.0,102.0,108.0,102.0,114.0,110.0,125.0,135.0,136.0,137.0,136.0,143.0,150.0,156.0,158.0,165.0,164.0,162.0,165.0,178.0,178.0,179.0,186.0,188.0,189.0,193.0,191.0,193.0
unmatched_applicants,194.0,108.0,96.0,92.0,92.0,91.0,91.0,91.0,91.0,91.0,94.0,96.0,98.0,105.0,107.0,109.0,115.0,116.0,122.0,123.0,135.0,139.0,148.0,142.0,153.0,160.0,163.0,161.0,166.0,174.0,175.0,176.0,177.0,178.0,184.0,189.0,189.0,192.0,197.0
unmatched_applicants,197.0,108.0,100.0,93.0,91.0,91.0,91.0,91.0,91.0,95.0,98.0,100.0,100.0,104.0,106.0,108.0,121.0,125.0,127.0,141.0,141.0,140.0,146.0,151.0,160.0,155.0,158.0,170.0,166.0,175.0,171.0,174.0,179.0,182.0,182.0,188.0,185.0,188.0,199.0
unmatched_applicants,199.0,109.0,94.0,94.0,91.0,91.0,91.0,91.0,91.0,92.0,99.0,98.0,95.0,108.0,100.0,111.0,113.0,124.0,123.0,132.0,133.0,143.0,138.0,148.0,152.0,159.0,165.0,166.0,172.0,168.0,169.0,178.0,183.0,183.0,181.0,190.0,190.0,186.0,194.0
unmatched_applicants,196.0,116.0,98.0,95.0,91.0,91.0,91.0,91.0,91.0,93.0,92.0,98.0,101.0,109.0,106.0,112.0,121.0,126.0,117.0,132.0,135.0,145.0,150.0,155.0,149.0,156.0,158.0,164.0,161.0,167.0,171.0,180.0,182.0,181.0,184.0,191.0,190.0,193.0,192.0
unmatched_applicants,195.0,103.0,93.0,97.0,91.0,92.0,91.0,91.0,92.0,91.0,93.0,97.0,98.0,106.0,109.0,111.0,117.0,121.0,131.0,130.0,135.0,138.0,144.0,152.0,148.0,155.0,158.0,161.0,163.0,171.0,177.0,179.0,179.0,184.0,181.0,189.0,188.0,197.0,197.0
