Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,185.0,100.0,97.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,93.0,91.0,94.0,95.0,98.0,99.0,102.0,103.0,108.0,107.0,121.0,122.0,124.0,127.0,125.0,126.0,133.0,131.0,137.0,138.0,147.0,151.0,150.0,151.0,150.0,161.0,167.0
unmatched_applicants,185.0,103.0,96.0,94.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,94.0,94.0,100.0,97.0,101.0,97.0,108.0,100.0,111.0,116.0,117.0,118.0,118.0,130.0,133.0,132.0,136.0,146.0,137.0,141.0,146.0,151.0,157.0,155.0,155.0,159.0
unmatched_applicants,181.0,111.0,98.0,93.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,94.0,95.0,97.0,98.0,97.0,101.0,104.0,107.0,116.0,118.0,111.0,121.0,128.0,127.0,128.0,137.0,137.0,134.0,146.0,143.0,153.0,149.0,158.0,159.0,153.0,158.0
unmatched_applicants,183.0,105.0,99.0,91.0,91.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,95.0,91.0,95.0,99.0,101.0,100.0,106.0,107.0,110.0,113.0,116.0,119.0,113.0,128.0,129.0,130.0,136.0,133.0,142.0,141.0,147.0,145.0,158.0,151.0,160.0,161.0,164.0
unmatched_applicants,181.0,101.0,98.0,93.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,94.0,95.0,95.0,97.0,103.0,99.0,113.0,106.0,112.0,113.0,115.0,121.0,123.0,122.0,131.0,136.0,141.0,141.0,149.0,148.0,152.0,145.0,151.0,158.0,162.0,163.0
unmatched_applicants,183.0,104.0,94.0,95.0,91.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,93.0,95.0,93.0,95.0,105.0,101.0,114.0,101.0,110.0,116.0,121.0,122.0,117.0,125.0,131.0,133.0,140.0,139.0,142.0,147.0,145.0,151.0,155.0,154.0,160.0,160.0
unmatched_applicants,180.0,104.0,96.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,94.0,94.0,99.0,100.0,108.0,111.0,112.0,112.0,116.0,118.0,122.0,126.0,125.0,129.0,133.0,136.0,141.0,136.0,138.0,146.0,147.0,157.0,156.0,159.0,162.0
unmatched_applicants,182.0,108.0,95.0,96.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,91.0,91.0,91.0,97.0,96.0,101.0,104.0,104.0,112.0,114.0,116.0,111.0,124.0,122.0,126.0,122.0,136.0,126.0,139.0,140.0,141.0,146.0,147.0,150.0,150.0,154.0,161.0,154.0
unmatched_applicants,186.0,102.0,95.0,95.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,97.0,95.0,97.0,91.0,104.0,105.0,105.0,110.0,115.0,122.0,107.0,121.0,123.0,125.0,129.0,136.0,137.0,132.0,142.0,144.0,146.0,147.0,156.0,161.0,155.0,167.0
unmatched_applicants,185.0,105.0,98.0,93.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,94.0,93.0,93.0,96.0,104.0,101.0,100.0,109.0,108.0,111.0,114.0,121.0,123.0,123.0,129.0,128.0,129.0,133.0,143.0,144.0,149.0,150.0,147.0,150.0,154.0,160.0,161.0
unfilled_spots,94.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,7.0,8.0,11.0,12.0,17.0,16.0,30.0,31.0,33.0,36.0,34.0,35.0,42.0,40.0,46.0,47.0,56.0,60.0,59.0,60.0,59.0,70.0,76.0
unfilled_spots,94.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,9.0,6.0,10.0,6.0,17.0,9.0,20.0,25.0,26.0,27.0,27.0,39.0,42.0,41.0,45.0,55.0,46.0,50.0,55.0,60.0,66.0,64.0,64.0,68.0
unfilled_spots,90.0,20.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,7.0,6.0,10.0,13.0,16.0,25.0,27.0,20.0,30.0,37.0,36.0,37.0,46.0,46.0,43.0,55.0,52.0,62.0,58.0,67.0,68.0,62.0,67.0
unfilled_spots,92.0,14.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,8.0,10.0,9.0,15.0,16.0,19.0,22.0,25.0,28.0,22.0,37.0,38.0,39.0,45.0,42.0,51.0,50.0,56.0,54.0,67.0,60.0,69.0,70.0,73.0
unfilled_spots,90.0,10.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,6.0,12.0,8.0,22.0,15.0,21.0,22.0,24.0,30.0,32.0,31.0,40.0,45.0,50.0,50.0,58.0,57.0,61.0,54.0,60.0,67.0,71.0,72.0
unfilled_spots,92.0,13.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,14.0,10.0,23.0,10.0,19.0,25.0,30.0,31.0,26.0,34.0,40.0,42.0,49.0,48.0,51.0,56.0,54.0,60.0,64.0,63.0,69.0,69.0
unfilled_spots,89.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,8.0,9.0,17.0,20.0,21.0,21.0,25.0,27.0,31.0,35.0,34.0,38.0,42.0,45.0,50.0,45.0,47.0,55.0,56.0,66.0,65.0,68.0,71.0
unfilled_spots,91.0,17.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,10.0,13.0,13.0,21.0,23.0,25.0,20.0,33.0,31.0,35.0,31.0,45.0,35.0,48.0,49.0,50.0,55.0,56.0,59.0,59.0,63.0,70.0,63.0
unfilled_spots,95.0,11.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,6.0,0.0,13.0,14.0,14.0,19.0,24.0,31.0,16.0,30.0,32.0,34.0,38.0,45.0,46.0,41.0,51.0,53.0,55.0,56.0,65.0,70.0,64.0,76.0
unfilled_spots,94.0,14.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,5.0,13.0,10.0,9.0,18.0,17.0,20.0,23.0,30.0,32.0,32.0,38.0,37.0,38.0,42.0,52.0,53.0,58.0,59.0,56.0,59.0,63.0,69.0,70.0
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,181.25641025641025,181.6153846153846,179.5897435897436,163.43589743589743,147.48717948717947,130.53846153846155,121.65384615384616,116.73076923076923,103.14102564102564,81.67948717948718,75.47435897435898,77.02564102564102,72.55128205128206,74.82051282051282,78.41025641025641,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,181.30769230769232,173.9102564102564,150.0897435897436,151.28205128205127,128.32051282051282,120.65384615384616,111.43589743589743,101.28205128205128,86.06410256410257,89.61538461538461,80.47435897435898,74.37179487179488,73.33333333333333,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,175.73076923076923,172.15384615384616,163.62820512820514,136.92307692307693,132.96153846153845,120.56410256410257,113.01282051282051,94.84615384615384,89.46153846153847,86.65384615384616,80.02564102564102,77.44871794871794,74.98717948717949,78.66666666666667,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,179.5,170.67948717948718,146.93589743589743,132.69230769230768,116.82051282051282,110.56410256410257,99.73076923076923,92.83333333333333,83.03846153846153,72.48717948717949,75.61538461538461,74.87179487179488,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,181.43589743589743,181.34615384615384,179.48717948717947,161.3846153846154,144.24358974358975,123.24358974358974,121.12820512820512,111.02564102564102,105.91025641025641,97.71794871794872,82.93589743589743,78.76923076923077,74.33333333333333,73.33333333333333,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,181.52564102564102,179.39743589743588,161.34615384615384,144.96153846153845,126.35897435897436,117.35897435897436,105.15384615384616,106.96153846153847,95.07692307692308,86.41025641025641,75.47435897435898,77.34615384615384,76.34615384615384,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,176.03846153846155,159.71794871794873,151.53846153846155,128.10256410256412,124.53846153846153,109.44871794871794,98.02564102564102,91.14102564102564,85.11538461538461,75.3974358974359,71.12820512820512,77.85897435897436,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,181.4102564102564,175.83333333333334,163.34615384615384,139.64102564102564,134.96153846153845,114.56410256410257,110.26923076923077,103.8974358974359,91.3974358974359,84.6923076923077,78.91025641025641,71.2051282051282,74.85897435897436,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,179.46153846153845,177.89743589743588,161.73076923076923,141.96153846153845,129.87179487179486,118.25641025641026,108.05128205128206,111.32051282051282,91.3076923076923,86.64102564102564,75.71794871794872,74.33333333333333,74.76923076923077,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
reviews_per_program,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,175.65384615384616,159.48717948717947,141.16666666666666,134.74358974358975,117.91025641025641,114.21794871794872,109.02564102564102,88.38461538461539,84.3076923076923,78.53846153846153,77.23076923076923,78.07692307692308,77.0,80.66666666666667,84.33333333333333,88.0,91.66666666666667,95.33333333333333,99.0,102.66666666666667,106.33333333333333,110.0,113.66666666666667,117.33333333333333,121.0,124.66666666666667,128.33333333333334,132.0,135.66666666666666,139.33333333333334,143.0,146.66666666666666
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985014985014985,1.0,1.0,0.9853146853146854,0.9656706929434202,0.9382284382284383,0.9058633674018289,0.8856143856143857,0.8526806526806526,0.8275786713286714,0.7951460304401481,0.7494172494172494,0.7167832167832168,0.6814685314685315,0.649017649017649,0.6198347107438017,0.5928853754940712,0.5681818181818182,0.5454545454545454,0.5244755244755245,0.5050505050505051,0.487012987012987,0.4702194357366771,0.45454545454545453,0.4398826979472141,0.42613636363636365,0.4132231404958678,0.40106951871657753,0.38961038961038963,0.3787878787878788,0.36855036855036855,0.3588516746411483,0.34965034965034963,0.3409090909090909
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995629370629371,0.9976689976689976,0.9867132867132867,0.9691671964399237,0.9344405594405595,0.916083916083916,0.8908591408591409,0.8564102564102564,0.823208041958042,0.7825997531879885,0.7468919968919969,0.715495031284505,0.6818181818181818,0.6493506493506493,0.6198347107438017,0.5928853754940712,0.5681818181818182,0.5454545454545454,0.5244755244755245,0.5050505050505051,0.487012987012987,0.4702194357366771,0.45454545454545453,0.4398826979472141,0.42613636363636365,0.4132231404958678,0.40106951871657753,0.38961038961038963,0.3787878787878788,0.36855036855036855,0.3588516746411483,0.34965034965034963,0.3409090909090909
