Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
unmatched_applicants,2508.0,862.0,759.0,711.0,695.0,690.0,685.0,685.0,685.0,685.0,722.0,784.0,935.0,1086.0,1185.0,1321.0,1419.0,1498.0,1632.0,1709.0,1859.0,1860.0,1994.0,2031.0,2121.0,2204.0,2231.0,2306.0,2348.0,2397.0,2415.0,2462.0
unmatched_applicants,2502.0,844.0,777.0,713.0,693.0,689.0,685.0,685.0,685.0,694.0,719.0,830.0,896.0,1029.0,1206.0,1314.0,1449.0,1536.0,1648.0,1760.0,1870.0,1925.0,1967.0,2084.0,2119.0,2202.0,2246.0,2314.0,2332.0,2366.0,2397.0,2474.0
unmatched_applicants,2499.0,823.0,785.0,732.0,696.0,687.0,685.0,685.0,685.0,707.0,710.0,802.0,898.0,1049.0,1145.0,1324.0,1438.0,1530.0,1642.0,1777.0,1828.0,1915.0,2012.0,2050.0,2118.0,2180.0,2254.0,2303.0,2330.0,2393.0,2404.0,2455.0
unmatched_applicants,2493.0,828.0,775.0,726.0,701.0,690.0,693.0,685.0,685.0,694.0,730.0,860.0,951.0,1013.0,1179.0,1324.0,1449.0,1552.0,1643.0,1720.0,1844.0,1948.0,1995.0,2080.0,2129.0,2154.0,2253.0,2321.0,2353.0,2360.0,2433.0,2463.0
unmatched_applicants,2517.0,846.0,761.0,719.0,697.0,696.0,687.0,685.0,685.0,688.0,711.0,804.0,933.0,1049.0,1168.0,1325.0,1413.0,1567.0,1636.0,1752.0,1835.0,1940.0,1967.0,2082.0,2119.0,2213.0,2244.0,2300.0,2333.0,2385.0,2441.0,2474.0
unmatched_applicants,2510.0,831.0,779.0,723.0,692.0,691.0,693.0,685.0,685.0,689.0,734.0,803.0,926.0,1066.0,1192.0,1305.0,1403.0,1553.0,1646.0,1766.0,1830.0,1915.0,1976.0,2076.0,2106.0,2172.0,2230.0,2300.0,2349.0,2382.0,2442.0,2469.0
unmatched_applicants,2515.0,847.0,783.0,725.0,695.0,695.0,685.0,685.0,685.0,687.0,735.0,832.0,885.0,1057.0,1189.0,1352.0,1443.0,1541.0,1655.0,1787.0,1846.0,1933.0,1997.0,2041.0,2149.0,2201.0,2246.0,2296.0,2323.0,2394.0,2428.0,2465.0
unmatched_applicants,2506.0,848.0,767.0,721.0,692.0,685.0,685.0,685.0,685.0,686.0,729.0,779.0,926.0,1040.0,1170.0,1313.0,1457.0,1584.0,1651.0,1757.0,1827.0,1942.0,2001.0,2064.0,2139.0,2198.0,2228.0,2290.0,2347.0,2369.0,2436.0,2456.0
unmatched_applicants,2502.0,837.0,770.0,704.0,703.0,689.0,689.0,685.0,685.0,685.0,728.0,800.0,900.0,1060.0,1173.0,1350.0,1391.0,1552.0,1637.0,1720.0,1852.0,1910.0,2008.0,2058.0,2121.0,2201.0,2250.0,2309.0,2360.0,2365.0,2409.0,2479.0
unmatched_applicants,2498.0,812.0,757.0,713.0,693.0,689.0,685.0,685.0,685.0,685.0,707.0,820.0,883.0,1008.0,1127.0,1306.0,1456.0,1540.0,1634.0,1770.0,1846.0,1933.0,1950.0,2092.0,2144.0,2190.0,2277.0,2293.0,2337.0,2406.0,2416.0,2492.0
unfilled_spots,1823.0,177.0,74.0,26.0,10.0,5.0,0.0,0.0,0.0,0.0,37.0,99.0,250.0,401.0,500.0,636.0,734.0,813.0,947.0,1024.0,1174.0,1175.0,1309.0,1346.0,1436.0,1519.0,1546.0,1621.0,1663.0,1712.0,1730.0,1777.0
