Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
unmatched_applicants,3071.0,910.0,854.0,854.0,835.0,867.0,979.0,1201.0,1393.0,1629.0,1776.0,1939.0,2017.0,2179.0,2302.0,2388.0,2437.0,2519.0,2588.0,2632.0,2683.0,2737.0,2787.0,2819.0,2865.0,2892.0,2921.0,2944.0,2964.0,2991.0,3034.0
unmatched_applicants,3077.0,914.0,865.0,845.0,836.0,858.0,985.0,1180.0,1383.0,1597.0,1782.0,1946.0,2083.0,2166.0,2305.0,2377.0,2431.0,2515.0,2578.0,2640.0,2669.0,2739.0,2777.0,2816.0,2839.0,2894.0,2912.0,2947.0,2989.0,3004.0,3037.0
unmatched_applicants,3090.0,893.0,882.0,845.0,837.0,856.0,977.0,1165.0,1395.0,1603.0,1795.0,1959.0,2056.0,2169.0,2282.0,2378.0,2429.0,2511.0,2593.0,2642.0,2681.0,2733.0,2786.0,2819.0,2863.0,2890.0,2916.0,2945.0,2980.0,3004.0,3025.0
unmatched_applicants,3071.0,897.0,876.0,848.0,838.0,866.0,985.0,1197.0,1400.0,1599.0,1805.0,1934.0,2068.0,2175.0,2280.0,2373.0,2436.0,2508.0,2587.0,2654.0,2673.0,2749.0,2781.0,2827.0,2859.0,2861.0,2911.0,2943.0,2969.0,2991.0,3028.0
unmatched_applicants,3092.0,916.0,893.0,851.0,839.0,858.0,1005.0,1203.0,1390.0,1638.0,1791.0,1919.0,2057.0,2186.0,2274.0,2377.0,2430.0,2517.0,2581.0,2652.0,2684.0,2745.0,2758.0,2826.0,2852.0,2887.0,2919.0,2947.0,2967.0,3003.0,3030.0
unmatched_applicants,3085.0,898.0,866.0,853.0,834.0,866.0,988.0,1192.0,1438.0,1643.0,1789.0,1937.0,2059.0,2176.0,2298.0,2350.0,2436.0,2500.0,2572.0,2651.0,2681.0,2735.0,2771.0,2806.0,2863.0,2881.0,2917.0,2948.0,2965.0,3015.0,3005.0
unmatched_applicants,3093.0,902.0,893.0,845.0,836.0,847.0,972.0,1188.0,1454.0,1610.0,1779.0,1942.0,2074.0,2171.0,2284.0,2354.0,2432.0,2528.0,2574.0,2646.0,2685.0,2736.0,2776.0,2827.0,2847.0,2877.0,2931.0,2955.0,2967.0,3013.0,3015.0
unmatched_applicants,3091.0,900.0,883.0,842.0,847.0,852.0,970.0,1170.0,1429.0,1550.0,1767.0,1960.0,2069.0,2172.0,2291.0,2368.0,2434.0,2512.0,2592.0,2643.0,2693.0,2745.0,2779.0,2814.0,2834.0,2893.0,2901.0,2952.0,2983.0,3012.0,3031.0
unmatched_applicants,3078.0,931.0,883.0,838.0,839.0,865.0,1008.0,1174.0,1413.0,1637.0,1746.0,1931.0,2079.0,2201.0,2304.0,2372.0,2455.0,2515.0,2583.0,2619.0,2695.0,2748.0,2785.0,2810.0,2839.0,2887.0,2917.0,2951.0,2984.0,3000.0,3028.0
unmatched_applicants,3099.0,924.0,868.0,848.0,835.0,866.0,997.0,1168.0,1424.0,1628.0,1783.0,1938.0,2076.0,2168.0,2258.0,2342.0,2459.0,2526.0,2576.0,2648.0,2681.0,2744.0,2786.0,2811.0,2844.0,2898.0,2923.0,2921.0,2974.0,3003.0,3014.0
