Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,2923.0,867.0,898.0,845.0,836.0,833.0,833.0,833.0,833.0,854.0,954.0,1071.0,1224.0,1373.0,1515.0,1645.0,1740.0,1828.0,1908.0,2014.0,2098.0,2139.0,2200.0,2290.0,2366.0,2408.0,2444.0,2520.0,2548.0,2580.0,2598.0,2640.0,2677.0,2709.0,2724.0,2771.0,2801.0,2821.0,2825.0,2870.0
unmatched_applicants,2913.0,880.0,884.0,848.0,839.0,834.0,833.0,833.0,834.0,872.0,951.0,1074.0,1246.0,1379.0,1501.0,1599.0,1722.0,1829.0,1940.0,2011.0,2076.0,2178.0,2242.0,2297.0,2367.0,2400.0,2419.0,2505.0,2528.0,2583.0,2599.0,2639.0,2683.0,2701.0,2733.0,2778.0,2794.0,2840.0,2841.0,2864.0
unmatched_applicants,2929.0,871.0,879.0,861.0,834.0,833.0,833.0,833.0,843.0,864.0,944.0,1075.0,1190.0,1387.0,1520.0,1595.0,1740.0,1809.0,1949.0,2008.0,2126.0,2125.0,2221.0,2306.0,2346.0,2391.0,2459.0,2490.0,2553.0,2554.0,2629.0,2655.0,2700.0,2714.0,2724.0,2769.0,2787.0,2819.0,2825.0,2853.0
unmatched_applicants,2927.0,880.0,879.0,852.0,840.0,833.0,833.0,833.0,833.0,850.0,935.0,1077.0,1234.0,1328.0,1516.0,1633.0,1745.0,1822.0,1943.0,2024.0,2116.0,2151.0,2247.0,2273.0,2362.0,2420.0,2436.0,2513.0,2513.0,2557.0,2620.0,2654.0,2669.0,2715.0,2737.0,2749.0,2779.0,2810.0,2840.0,2855.0
unmatched_applicants,2921.0,855.0,857.0,847.0,840.0,839.0,833.0,835.0,838.0,872.0,942.0,1047.0,1202.0,1344.0,1456.0,1630.0,1745.0,1836.0,1933.0,1981.0,2081.0,2187.0,2229.0,2292.0,2327.0,2394.0,2438.0,2479.0,2529.0,2580.0,2634.0,2637.0,2682.0,2680.0,2751.0,2767.0,2800.0,2797.0,2843.0,2855.0
unmatched_applicants,2927.0,860.0,871.0,852.0,838.0,834.0,833.0,833.0,835.0,881.0,935.0,1070.0,1223.0,1362.0,1469.0,1618.0,1717.0,1818.0,1917.0,2033.0,2077.0,2187.0,2226.0,2303.0,2344.0,2397.0,2454.0,2482.0,2558.0,2565.0,2630.0,2650.0,2691.0,2705.0,2727.0,2736.0,2796.0,2820.0,2849.0,2863.0
unmatched_applicants,2927.0,898.0,890.0,857.0,835.0,834.0,833.0,833.0,837.0,885.0,965.0,1075.0,1213.0,1379.0,1485.0,1613.0,1735.0,1852.0,1913.0,2011.0,2097.0,2172.0,2262.0,2289.0,2341.0,2379.0,2450.0,2479.0,2547.0,2580.0,2585.0,2644.0,2689.0,2701.0,2733.0,2762.0,2799.0,2817.0,2832.0,2831.0
unmatched_applicants,2923.0,869.0,849.0,841.0,842.0,833.0,833.0,833.0,837.0,868.0,932.0,1090.0,1208.0,1361.0,1505.0,1661.0,1713.0,1855.0,1915.0,2031.0,2091.0,2164.0,2242.0,2306.0,2353.0,2372.0,2444.0,2503.0,2520.0,2585.0,2631.0,2628.0,2687.0,2709.0,2731.0,2765.0,2804.0,2806.0,2835.0,2855.0
unmatched_applicants,2923.0,877.0,884.0,855.0,838.0,834.0,833.0,833.0,838.0,877.0,909.0,1091.0,1207.0,1347.0,1501.0,1616.0,1746.0,1833.0,1940.0,2009.0,2093.0,2168.0,2222.0,2304.0,2336.0,2394.0,2429.0,2471.0,2559.0,2591.0,2619.0,2624.0,2675.0,2710.0,2734.0,2772.0,2803.0,2815.0,2840.0,2871.0
unmatched_applicants,2915.0,893.0,861.0,839.0,833.0,834.0,833.0,833.0,838.0,862.0,955.0,1073.0,1172.0,1364.0,1523.0,1629.0,1726.0,1860.0,1954.0,2024.0,2101.0,2174.0,2234.0,2279.0,2340.0,2372.0,2459.0,2501.0,2549.0,2582.0,2608.0,2651.0,2681.0,2699.0,2740.0,2741.0,2785.0,2819.0,2840.0,2872.0
unfilled_spots,2090.0,34.0,65.0,12.0,3.0,0.0,0.0,0.0,0.0,21.0,121.0,238.0,391.0,540.0,682.0,812.0,907.0,995.0,1075.0,1181.0,1265.0,1306.0,1367.0,1457.0,1533.0,1575.0,1611.0,1687.0,1715.0,1747.0,1765.0,1807.0,1844.0,1876.0,1891.0,1938.0,1968.0,1988.0,1992.0,2037.0
unfilled_spots,2080.0,47.0,51.0,15.0,6.0,1.0,0.0,0.0,1.0,39.0,118.0,241.0,413.0,546.0,668.0,766.0,889.0,996.0,1107.0,1178.0,1243.0,1345.0,1409.0,1464.0,1534.0,1567.0,1586.0,1672.0,1695.0,1750.0,1766.0,1806.0,1850.0,1868.0,1900.0,1945.0,1961.0,2007.0,2008.0,2031.0
unfilled_spots,2096.0,38.0,46.0,28.0,1.0,0.0,0.0,0.0,10.0,31.0,111.0,242.0,357.0,554.0,687.0,762.0,907.0,976.0,1116.0,1175.0,1293.0,1292.0,1388.0,1473.0,1513.0,1558.0,1626.0,1657.0,1720.0,1721.0,1796.0,1822.0,1867.0,1881.0,1891.0,1936.0,1954.0,1986.0,1992.0,2020.0
unfilled_spots,2094.0,47.0,46.0,19.0,7.0,0.0,0.0,0.0,0.0,17.0,102.0,244.0,401.0,495.0,683.0,800.0,912.0,989.0,1110.0,1191.0,1283.0,1318.0,1414.0,1440.0,1529.0,1587.0,1603.0,1680.0,1680.0,1724.0,1787.0,1821.0,1836.0,1882.0,1904.0,1916.0,1946.0,1977.0,2007.0,2022.0
unfilled_spots,2088.0,22.0,24.0,14.0,7.0,6.0,0.0,2.0,5.0,39.0,109.0,214.0,369.0,511.0,623.0,797.0,912.0,1003.0,1100.0,1148.0,1248.0,1354.0,1396.0,1459.0,1494.0,1561.0,1605.0,1646.0,1696.0,1747.0,1801.0,1804.0,1849.0,1847.0,1918.0,1934.0,1967.0,1964.0,2010.0,2022.0
unfilled_spots,2094.0,27.0,38.0,19.0,5.0,1.0,0.0,0.0,2.0,48.0,102.0,237.0,390.0,529.0,636.0,785.0,884.0,985.0,1084.0,1200.0,1244.0,1354.0,1393.0,1470.0,1511.0,1564.0,1621.0,1649.0,1725.0,1732.0,1797.0,1817.0,1858.0,1872.0,1894.0,1903.0,1963.0,1987.0,2016.0,2030.0
unfilled_spots,2094.0,65.0,57.0,24.0,2.0,1.0,0.0,0.0,4.0,52.0,132.0,242.0,380.0,546.0,652.0,780.0,902.0,1019.0,1080.0,1178.0,1264.0,1339.0,1429.0,1456.0,1508.0,1546.0,1617.0,1646.0,1714.0,1747.0,1752.0,1811.0,1856.0,1868.0,1900.0,1929.0,1966.0,1984.0,1999.0,1998.0
unfilled_spots,2090.0,36.0,16.0,8.0,9.0,0.0,0.0,0.0,4.0,35.0,99.0,257.0,375.0,528.0,672.0,828.0,880.0,1022.0,1082.0,1198.0,1258.0,1331.0,1409.0,1473.0,1520.0,1539.0,1611.0,1670.0,1687.0,1752.0,1798.0,1795.0,1854.0,1876.0,1898.0,1932.0,1971.0,1973.0,2002.0,2022.0
unfilled_spots,2090.0,44.0,51.0,22.0,5.0,1.0,0.0,0.0,5.0,44.0,76.0,258.0,374.0,514.0,668.0,783.0,913.0,1000.0,1107.0,1176.0,1260.0,1335.0,1389.0,1471.0,1503.0,1561.0,1596.0,1638.0,1726.0,1758.0,1786.0,1791.0,1842.0,1877.0,1901.0,1939.0,1970.0,1982.0,2007.0,2038.0
unfilled_spots,2082.0,60.0,28.0,6.0,0.0,1.0,0.0,0.0,5.0,29.0,122.0,240.0,339.0,531.0,690.0,796.0,893.0,1027.0,1121.0,1191.0,1268.0,1341.0,1401.0,1446.0,1507.0,1539.0,1626.0,1668.0,1716.0,1749.0,1775.0,1818.0,1848.0,1866.0,1907.0,1908.0,1952.0,1986.0,2007.0,2039.0
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,538.2705479452055,460.84589041095893,251.83219178082192,142.83904109589042,128.52739726027397,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,538.2910958904109,538.2397260273973,469.1164383561644,262.48972602739724,144.9041095890411,129.87671232876713,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,533.8869863013699,473.1575342465753,262.6917808219178,140.66095890410958,130.04109589041096,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,533.3219178082192,468.98972602739724,256.4657534246575,142.0068493150685,128.52739726027397,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,538.2431506849315,459.6678082191781,275.3013698630137,138.5582191780822,134.20890410958904,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,533.4657534246576,475.2568493150685,260.28767123287673,146.16095890410958,129.92808219178082,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,536.667808219178,472.13698630136986,273.4554794520548,149.26027397260273,129.94520547945206,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,536.5958904109589,468.5582191780822,270.66438356164383,140.64383561643837,131.3595890410959,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,538.2431506849315,473.1404109589041,258.7328767123288,143.18493150684932,128.52739726027397,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
reviews_per_program,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,539.8150684931506,538.2739726027397,473.97945205479454,256.9554794520548,143.2705479452055,131.4931506849315,141.38013698630138,154.23287671232876,167.08561643835617,179.93835616438355,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276,295.61301369863014,308.4657534246575,321.31849315068496,334.17123287671234,347.0239726027397,359.8767123287671,372.72945205479454,385.5821917808219,398.4349315068493,411.28767123287673,424.1404109589041,436.9931506849315,449.84589041095893,462.6986301369863,475.5513698630137,488.40410958904107,501.2568493150685
pct_interview_given_signal,0.0,1.024513722355449,1.0198507860378363,1.01714184208189,1.0132560618172128,1.008792965627498,1.0058619770849986,0.9946328651364622,0.9483746336264322,0.8615922077153092,0.7780442312816414,0.7073129375287649,0.6483701927347011,0.5984955625243396,0.5557458794868867,0.5186961541877609,0.48627764455102584,0.4576730772244949,0.4322467951564674,0.40949696383244283,0.3890221156408207,0.3704972529912578,0.35365646876438245,0.3382801005572354,0.32418509636735054,0.3112176925126565,0.2992477812621698,0.2881645301043116,0.27787293974344335,0.26829111423504876,0.25934807709388047,0.250982010090852,0.24313882227551292,0.23577097917625495,0.22883653861224745,0.22229835179475468,0.2161233975782337,0.2102822246707139,0.20474848191622141,0.1994985208414465
