Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
unmatched_applicants,4893.0,2518.0,2457.0,2438.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2448.0,2462.0,2507.0,2613.0,2767.0,2929.0,3090.0,3241.0,3431.0,3564.0,3709.0,3854.0,3967.0,4082.0,4206.0,4310.0,4402.0,4497.0,4586.0,4676.0
unmatched_applicants,4873.0,2540.0,2477.0,2436.0,2438.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2488.0,2512.0,2619.0,2746.0,2897.0,3074.0,3208.0,3386.0,3564.0,3719.0,3808.0,3986.0,4112.0,4227.0,4301.0,4427.0,4489.0,4604.0,4649.0
unmatched_applicants,4858.0,2543.0,2468.0,2438.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2438.0,2449.0,2511.0,2580.0,2747.0,2955.0,3120.0,3257.0,3379.0,3589.0,3678.0,3839.0,3983.0,4081.0,4210.0,4287.0,4413.0,4488.0,4602.0,4685.0
unmatched_applicants,4886.0,2519.0,2456.0,2441.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2437.0,2439.0,2513.0,2625.0,2742.0,2951.0,3039.0,3264.0,3427.0,3542.0,3662.0,3834.0,3965.0,4102.0,4209.0,4276.0,4389.0,4487.0,4600.0,4650.0
unmatched_applicants,4877.0,2523.0,2473.0,2439.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2437.0,2436.0,2461.0,2499.0,2591.0,2723.0,2941.0,3048.0,3221.0,3410.0,3554.0,3717.0,3854.0,3949.0,4061.0,4191.0,4330.0,4388.0,4503.0,4573.0,4652.0
unmatched_applicants,4897.0,2545.0,2460.0,2439.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2440.0,2461.0,2523.0,2658.0,2770.0,2941.0,3101.0,3246.0,3399.0,3556.0,3717.0,3848.0,3935.0,4086.0,4183.0,4278.0,4407.0,4526.0,4574.0,4619.0
unmatched_applicants,4866.0,2512.0,2462.0,2442.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2445.0,2457.0,2501.0,2621.0,2704.0,2952.0,3093.0,3237.0,3396.0,3563.0,3728.0,3855.0,3967.0,4094.0,4154.0,4304.0,4406.0,4508.0,4583.0,4683.0
unmatched_applicants,4886.0,2539.0,2459.0,2449.0,2436.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2439.0,2452.0,2535.0,2613.0,2737.0,2931.0,3089.0,3261.0,3360.0,3596.0,3663.0,3816.0,3984.0,4096.0,4212.0,4317.0,4392.0,4487.0,4618.0,4663.0
unmatched_applicants,4874.0,2514.0,2467.0,2441.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2440.0,2449.0,2502.0,2646.0,2782.0,2924.0,3062.0,3255.0,3415.0,3589.0,3696.0,3860.0,3955.0,4102.0,4190.0,4302.0,4413.0,4470.0,4558.0,4652.0
unmatched_applicants,4880.0,2537.0,2466.0,2442.0,2436.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2435.0,2458.0,2515.0,2564.0,2754.0,2886.0,3109.0,3232.0,3374.0,3545.0,3731.0,3855.0,3971.0,4096.0,4183.0,4293.0,4414.0,4488.0,4588.0,4661.0
unfilled_spots,2458.0,83.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,72.0,178.0,332.0,494.0,655.0,806.0,996.0,1129.0,1274.0,1419.0,1532.0,1647.0,1771.0,1875.0,1967.0,2062.0,2151.0,2241.0
unfilled_spots,2438.0,105.0,42.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,77.0,184.0,311.0,462.0,639.0,773.0,951.0,1129.0,1284.0,1373.0,1551.0,1677.0,1792.0,1866.0,1992.0,2054.0,2169.0,2214.0
unfilled_spots,2423.0,108.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,76.0,145.0,312.0,520.0,685.0,822.0,944.0,1154.0,1243.0,1404.0,1548.0,1646.0,1775.0,1852.0,1978.0,2053.0,2167.0,2250.0
unfilled_spots,2451.0,84.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,78.0,190.0,307.0,516.0,604.0,829.0,992.0,1107.0,1227.0,1399.0,1530.0,1667.0,1774.0,1841.0,1954.0,2052.0,2165.0,2215.0
unfilled_spots,2442.0,88.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,26.0,64.0,156.0,288.0,506.0,613.0,786.0,975.0,1119.0,1282.0,1419.0,1514.0,1626.0,1756.0,1895.0,1953.0,2068.0,2138.0,2217.0
unfilled_spots,2462.0,110.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,88.0,223.0,335.0,506.0,666.0,811.0,964.0,1121.0,1282.0,1413.0,1500.0,1651.0,1748.0,1843.0,1972.0,2091.0,2139.0,2184.0
unfilled_spots,2431.0,77.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,66.0,186.0,269.0,517.0,658.0,802.0,961.0,1128.0,1293.0,1420.0,1532.0,1659.0,1719.0,1869.0,1971.0,2073.0,2148.0,2248.0
unfilled_spots,2451.0,104.0,24.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,100.0,178.0,302.0,496.0,654.0,826.0,925.0,1161.0,1228.0,1381.0,1549.0,1661.0,1777.0,1882.0,1957.0,2052.0,2183.0,2228.0
unfilled_spots,2439.0,79.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,67.0,211.0,347.0,489.0,627.0,820.0,980.0,1154.0,1261.0,1425.0,1520.0,1667.0,1755.0,1867.0,1978.0,2035.0,2123.0,2217.0
unfilled_spots,2445.0,102.0,31.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,80.0,129.0,319.0,451.0,674.0,797.0,939.0,1110.0,1296.0,1420.0,1536.0,1661.0,1748.0,1858.0,1979.0,2053.0,2153.0,2226.0
reviews_per_program,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,294.88616891064873,277.780905752754,215.61811505507956,140.4014687882497,109.6217870257038,108.2313341493268,116.7454100367197,125.72582619339045,134.7062423500612,143.68665850673196,152.6670746634027,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224
reviews_per_program,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,295.15055079559363,275.4235006119951,216.20440636474908,145.03671970624234,110.13953488372093,109.14320685434517,116.7454100367197,125.97062423500611,134.7062423500612,143.68665850673196,152.6670746634027,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224
reviews_per_program,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.06976744186045,278.15422276621786,215.94124847001223,141.10159118727051,109.4173806609547,110.32313341493268,116.95348837209302,125.72582619339045,134.7062423500612,143.68665850673196,152.6670746634027,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224
reviews_per_program,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,296.35373317013466,295.1701346389229,274.2594859241126,216.14932680538556,145.4357405140759,110.14198286413709,109.84577723378213,116.94369645042839,125.72582619339045,134.7062423500612,143.68665850673196,152.6670746634027,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224
