Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,5222.0,2216.0,2053.0,2001.0,1982.0,1981.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,2017.0,2044.0,2108.0,2174.0,2294.0,2424.0,2569.0,2715.0,2820.0,2978.0,3118.0,3221.0,3314.0,3471.0,3576.0,3642.0,3749.0,3841.0,3964.0,4017.0,4083.0,4170.0,4311.0,4346.0,4411.0,4454.0
unmatched_applicants,5235.0,2210.0,2059.0,1995.0,1987.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1994.0,2031.0,2078.0,2176.0,2285.0,2395.0,2560.0,2643.0,2786.0,2911.0,3108.0,3182.0,3325.0,3438.0,3556.0,3643.0,3727.0,3842.0,3921.0,4001.0,4099.0,4183.0,4273.0,4330.0,4425.0,4489.0
unmatched_applicants,5228.0,2262.0,2039.0,2002.0,1985.0,1981.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1989.0,2003.0,2029.0,2092.0,2187.0,2305.0,2429.0,2528.0,2688.0,2790.0,2934.0,3125.0,3243.0,3334.0,3397.0,3550.0,3685.0,3753.0,3852.0,3911.0,4044.0,4126.0,4203.0,4256.0,4320.0,4436.0,4461.0
unmatched_applicants,5243.0,2205.0,2057.0,1996.0,1983.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1988.0,1983.0,1997.0,2036.0,2096.0,2207.0,2303.0,2393.0,2532.0,2732.0,2781.0,3004.0,3118.0,3165.0,3324.0,3466.0,3524.0,3667.0,3760.0,3834.0,3992.0,4054.0,4131.0,4162.0,4269.0,4343.0,4415.0,4479.0
unmatched_applicants,5214.0,2238.0,2059.0,2014.0,1984.0,1983.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1985.0,2005.0,2019.0,2078.0,2205.0,2290.0,2439.0,2536.0,2677.0,2835.0,2936.0,3097.0,3162.0,3287.0,3457.0,3547.0,3639.0,3774.0,3838.0,3922.0,4015.0,4098.0,4208.0,4248.0,4330.0,4356.0,4462.0
unmatched_applicants,5252.0,2232.0,2063.0,2001.0,1987.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1987.0,1992.0,2038.0,2085.0,2202.0,2288.0,2423.0,2553.0,2664.0,2812.0,2924.0,3101.0,3187.0,3346.0,3465.0,3551.0,3657.0,3738.0,3853.0,3959.0,4054.0,4131.0,4147.0,4282.0,4357.0,4390.0,4505.0
unmatched_applicants,5234.0,2234.0,2061.0,2006.0,1985.0,1981.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,2008.0,2056.0,2094.0,2171.0,2328.0,2442.0,2525.0,2682.0,2814.0,2980.0,3075.0,3180.0,3332.0,3405.0,3541.0,3662.0,3764.0,3813.0,3945.0,4021.0,4095.0,4188.0,4268.0,4357.0,4415.0,4467.0
unmatched_applicants,5244.0,2281.0,2056.0,2003.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1981.0,1983.0,1990.0,2019.0,2099.0,2149.0,2248.0,2391.0,2535.0,2674.0,2823.0,2966.0,3079.0,3194.0,3317.0,3426.0,3577.0,3665.0,3734.0,3856.0,3918.0,4021.0,4128.0,4229.0,4257.0,4322.0,4407.0,4461.0
unmatched_applicants,5229.0,2261.0,2068.0,2004.0,1983.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1985.0,2012.0,2023.0,2092.0,2161.0,2284.0,2413.0,2532.0,2694.0,2806.0,2889.0,3023.0,3170.0,3367.0,3455.0,3552.0,3653.0,3780.0,3837.0,3932.0,4086.0,4098.0,4190.0,4295.0,4305.0,4411.0,4475.0
unmatched_applicants,5240.0,2248.0,2061.0,1997.0,1982.0,1980.0,1981.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1981.0,2005.0,2039.0,2107.0,2221.0,2246.0,2414.0,2538.0,2690.0,2838.0,2938.0,3053.0,3250.0,3332.0,3438.0,3550.0,3656.0,3767.0,3860.0,3944.0,4008.0,4121.0,4195.0,4280.0,4353.0,4416.0,4460.0
unfilled_spots,3242.0,236.0,73.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,64.0,128.0,194.0,314.0,444.0,589.0,735.0,840.0,998.0,1138.0,1241.0,1334.0,1491.0,1596.0,1662.0,1769.0,1861.0,1984.0,2037.0,2103.0,2190.0,2331.0,2366.0,2431.0,2474.0
unfilled_spots,3255.0,230.0,79.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,51.0,98.0,196.0,305.0,415.0,580.0,663.0,806.0,931.0,1128.0,1202.0,1345.0,1458.0,1576.0,1663.0,1747.0,1862.0,1941.0,2021.0,2119.0,2203.0,2293.0,2350.0,2445.0,2509.0
unfilled_spots,3248.0,282.0,59.0,22.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,49.0,112.0,207.0,325.0,449.0,548.0,708.0,810.0,954.0,1145.0,1263.0,1354.0,1417.0,1570.0,1705.0,1773.0,1872.0,1931.0,2064.0,2146.0,2223.0,2276.0,2340.0,2456.0,2481.0
unfilled_spots,3263.0,225.0,77.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,17.0,56.0,116.0,227.0,323.0,413.0,552.0,752.0,801.0,1024.0,1138.0,1185.0,1344.0,1486.0,1544.0,1687.0,1780.0,1854.0,2012.0,2074.0,2151.0,2182.0,2289.0,2363.0,2435.0,2499.0
unfilled_spots,3234.0,258.0,79.0,34.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,39.0,98.0,225.0,310.0,459.0,556.0,697.0,855.0,956.0,1117.0,1182.0,1307.0,1477.0,1567.0,1659.0,1794.0,1858.0,1942.0,2035.0,2118.0,2228.0,2268.0,2350.0,2376.0,2482.0
unfilled_spots,3272.0,252.0,83.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,58.0,105.0,222.0,308.0,443.0,573.0,684.0,832.0,944.0,1121.0,1207.0,1366.0,1485.0,1571.0,1677.0,1758.0,1873.0,1979.0,2074.0,2151.0,2167.0,2302.0,2377.0,2410.0,2525.0
unfilled_spots,3254.0,254.0,81.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,76.0,114.0,191.0,348.0,462.0,545.0,702.0,834.0,1000.0,1095.0,1200.0,1352.0,1425.0,1561.0,1682.0,1784.0,1833.0,1965.0,2041.0,2115.0,2208.0,2288.0,2377.0,2435.0,2487.0
unfilled_spots,3264.0,301.0,76.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,39.0,119.0,169.0,268.0,411.0,555.0,694.0,843.0,986.0,1099.0,1214.0,1337.0,1446.0,1597.0,1685.0,1754.0,1876.0,1938.0,2041.0,2148.0,2249.0,2277.0,2342.0,2427.0,2481.0
unfilled_spots,3249.0,281.0,88.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,43.0,112.0,181.0,304.0,433.0,552.0,714.0,826.0,909.0,1043.0,1190.0,1387.0,1475.0,1572.0,1673.0,1800.0,1857.0,1952.0,2106.0,2118.0,2210.0,2315.0,2325.0,2431.0,2495.0
unfilled_spots,3260.0,268.0,81.0,17.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,59.0,127.0,241.0,266.0,434.0,558.0,710.0,858.0,958.0,1073.0,1270.0,1352.0,1458.0,1570.0,1676.0,1787.0,1880.0,1964.0,2028.0,2141.0,2215.0,2300.0,2373.0,2436.0,2480.0
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,498.3035495716034,459.25091799265607,399.82864137086904,316.8739290085679,238.65850673194615,182.24602203182374,154.5764993880049,154.015911872705,162.46756425948593,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.4014687882497,497.4124847001224,474.5593635250918,408.1970624235006,322.0856793145655,239.76009791921663,182.24602203182374,155.5581395348837,154.02080783353733,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,499.38066095471237,464.1260709914321,404.2264381884945,321.7466340269278,238.1077111383109,175.27417380660955,158.70869033047737,156.99755201958385,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,497.4749082007344,467.5373317013464,397.96695226438186,326.25214198286415,239.60832313341493,176.89596083231334,156.44798041615667,155.31946144430844,162.0452876376989,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.39167686658504,495.48959608323133,464.2484700122399,407.718482252142,317.3782129742962,236.8237454100367,173.18359853121174,155.19583843329252,155.26193390452877,162.49204406364748,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.436964504284,497.3843329253366,469.86780905752755,406.64137086903304,326.4565483476132,234.8249694002448,184.07099143206855,155.3219094247246,155.796817625459,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,498.8200734394125,466.95226438188496,400.4859241126071,327.04773561811504,241.0171358629131,181.36352509179926,157.0281517747858,154.3549571603427,162.05385556915544,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,497.8115055079559,468.8298653610771,405.4957160342717,325.7233782129743,233.062423500612,178.12729498164015,155.67686658506733,153.921664626683,162.08690330477356,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
reviews_per_program,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.9033047735618,502.3880048959608,499.4651162790698,469.3353733170135,407.24602203182377,317.91676866585067,240.8922888616891,175.87392900856793,158.06119951040392,154.80416156670748,161.64749082007344,170.62790697674419,179.60832313341493,188.58873929008567,197.56915544675644,206.54957160342718,215.52998776009792,224.51040391676867,233.4908200734394,242.47123623011015,251.4516523867809,260.43206854345163,269.4124847001224,278.3929008567931,287.3733170134639,296.35373317013466,305.3341493268054,314.31456548347614,323.2949816401469,332.27539779681763,341.25581395348837,350.2362301101591,359.21664626682985
