Parameter,0,1,2,3,4,5,6,7
unmatched_applicants,86.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,85.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,85.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,84.61538461538461,84.61538461538461,79.92307692307692,38.69230769230769,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,80.0,25.384615384615383,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,79.38461538461539,29.692307692307693,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,79.46153846153847,35.15384615384615,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,79.92307692307692,34.30769230769231,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,74.15384615384616,34.38461538461539,37.38461538461539,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,74.6923076923077,39.46153846153846,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,74.38461538461539,39.53846153846154,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,79.6923076923077,34.69230769230769,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
reviews_per_program,84.61538461538461,84.61538461538461,79.92307692307692,34.38461538461539,33.84615384615385,42.30769230769231,50.76923076923077,59.23076923076923
pct_interview_given_signal,0.0,1.0727272727272728,1.0318181818181817,0.8545454545454545,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.0909090909090908,1.0227272727272727,0.8666666666666667,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.1454545454545455,1.059090909090909,0.8636363636363636,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.0909090909090908,1.05,0.8454545454545455,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.0909090909090908,1.0636363636363637,0.8454545454545455,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.1090909090909091,1.009090909090909,0.8575757575757575,0.6454545454545455,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.1090909090909091,1.0318181818181817,0.8424242424242424,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.1454545454545455,1.0363636363636364,0.8303030303030303,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.1363636363636365,1.0454545454545454,0.8606060606060606,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_signal,0.0,1.1363636363636365,1.0363636363636364,0.8515151515151516,0.65,0.52,0.43333333333333335,0.37142857142857144
pct_interview_given_nosignal,0.26,0.1696969696969697,0.06704545454545455,0.005194805194805195,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16767676767676767,0.06931818181818182,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16161616161616163,0.060227272727272727,0.0012987012987012987,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16767676767676767,0.0625,0.00909090909090909,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16767676767676767,0.05909090909090909,0.00909090909090909,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16565656565656567,0.07272727272727272,0.003896103896103896,0.0030303030303030303,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16565656565656567,0.06704545454545455,0.01038961038961039,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16161616161616163,0.0659090909090909,0.015584415584415584,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.26,0.16262626262626262,0.06363636363636363,0.0025974025974025974,0.0,0.0,0.0,0.0
