Parameter,0,1,2,3,4,5,6,7,8,9
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,80.53846153846153,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,86.0,42.30769230769231,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,66.15384615384616,47.76923076923077,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,65.23076923076923,51.84615384615385,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,80.76923076923077,55.53846153846154,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,77.15384615384616,50.76923076923077,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,86.3076923076923,52.23076923076923,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,96.07692307692308,75.23076923076923,47.15384615384615,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,76.15384615384616,55.76923076923077,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
reviews_per_program,101.53846153846153,101.53846153846153,101.53846153846153,101.53846153846153,76.15384615384616,46.76923076923077,50.76923076923077,59.23076923076923,67.6923076923077,76.15384615384616
pct_interview_given_signal,0.0,1.209090909090909,1.1636363636363636,1.0909090909090908,1.0,0.850909090909091,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2181818181818183,1.1681818181818182,1.084848484848485,1.009090909090909,0.850909090909091,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2454545454545454,1.1590909090909092,1.093939393939394,0.9886363636363636,0.8472727272727273,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2272727272727273,1.1590909090909092,1.0909090909090908,0.9795454545454545,0.8418181818181818,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.190909090909091,1.1727272727272726,1.087878787878788,1.0,0.8345454545454546,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2454545454545454,1.1727272727272726,1.093939393939394,1.0045454545454546,0.8490909090909091,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2363636363636363,1.1545454545454545,1.0727272727272728,0.9931818181818182,0.8381818181818181,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2272727272727273,1.1818181818181819,1.0909090909090908,0.990909090909091,0.8490909090909091,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2545454545454546,1.1545454545454545,1.087878787878788,0.9840909090909091,0.8418181818181818,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_signal,0.0,1.2454545454545454,1.1454545454545455,1.0909090909090908,0.9727272727272728,0.8490909090909091,0.7090909090909091,0.6077922077922078,0.5318181818181819,0.4727272727272727
pct_interview_given_nosignal,0.35454545454545455,0.2768595041322314,0.19272727272727272,0.10909090909090909,0.031818181818181815,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.27603305785123966,0.1918181818181818,0.1111111111111111,0.02727272727272727,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.2735537190082645,0.19363636363636363,0.10808080808080808,0.0375,0.0025974025974025974,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.27520661157024795,0.19363636363636363,0.10909090909090909,0.042045454545454546,0.006493506493506494,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.2785123966942149,0.19090909090909092,0.1101010101010101,0.031818181818181815,0.011688311688311689,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.2735537190082645,0.19090909090909092,0.10808080808080808,0.029545454545454545,0.0012987012987012987,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.2743801652892562,0.19454545454545455,0.11515151515151516,0.035227272727272725,0.00909090909090909,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.27520661157024795,0.1890909090909091,0.10909090909090909,0.03636363636363636,0.0012987012987012987,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.2727272727272727,0.19454545454545455,0.1101010101010101,0.03977272727272727,0.006493506493506494,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.35454545454545455,0.2735537190082645,0.19636363636363635,0.10909090909090909,0.045454545454545456,0.0012987012987012987,0.0,0.0,0.0,0.0
pct_interview_given_application,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455
pct_interview_given_application,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455
pct_interview_given_application,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455
pct_interview_given_application,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455
pct_interview_given_application,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455
pct_interview_given_application,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455,0.35454545454545455
