Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,431.0,217.0,205.0,205.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0,211.0,212.0,232.0,242.0,256.0,268.0,290.0,304.0,316.0,327.0,339.0,352.0,357.0,364.0,372.0,382.0,391.0,398.0,399.0,413.0,421.0,423.0,427.0,434.0,433.0
unmatched_applicants,443.0,220.0,207.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,209.0,223.0,225.0,257.0,251.0,277.0,295.0,303.0,314.0,328.0,336.0,341.0,361.0,371.0,381.0,385.0,388.0,398.0,398.0,408.0,418.0,422.0,419.0,432.0,436.0
unmatched_applicants,445.0,218.0,203.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0,217.0,225.0,241.0,257.0,279.0,287.0,315.0,322.0,324.0,349.0,349.0,358.0,362.0,372.0,386.0,385.0,395.0,405.0,406.0,423.0,426.0,427.0,433.0,439.0
unmatched_applicants,442.0,219.0,204.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,211.0,217.0,226.0,242.0,258.0,280.0,291.0,312.0,311.0,322.0,341.0,356.0,362.0,374.0,372.0,384.0,388.0,398.0,401.0,406.0,414.0,423.0,425.0,436.0,440.0
unmatched_applicants,446.0,215.0,204.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0,213.0,210.0,225.0,248.0,269.0,272.0,292.0,300.0,319.0,326.0,342.0,347.0,347.0,373.0,385.0,384.0,398.0,401.0,397.0,414.0,409.0,422.0,423.0,431.0,435.0
unmatched_applicants,442.0,217.0,203.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,204.0,214.0,220.0,229.0,234.0,261.0,266.0,298.0,310.0,320.0,322.0,332.0,347.0,364.0,367.0,377.0,382.0,386.0,394.0,400.0,406.0,410.0,424.0,431.0,431.0,442.0
unmatched_applicants,440.0,213.0,203.0,201.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,210.0,219.0,237.0,250.0,257.0,275.0,283.0,305.0,317.0,322.0,334.0,351.0,366.0,370.0,368.0,383.0,386.0,397.0,405.0,412.0,414.0,417.0,429.0,429.0,434.0
unmatched_applicants,446.0,220.0,208.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,205.0,205.0,219.0,237.0,242.0,264.0,269.0,292.0,303.0,311.0,334.0,343.0,346.0,358.0,372.0,378.0,389.0,395.0,391.0,397.0,413.0,420.0,424.0,419.0,437.0,437.0
unmatched_applicants,445.0,220.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,204.0,203.0,209.0,232.0,244.0,268.0,268.0,298.0,308.0,323.0,331.0,336.0,347.0,361.0,374.0,379.0,381.0,388.0,397.0,395.0,410.0,422.0,424.0,432.0,431.0,430.0
unmatched_applicants,439.0,218.0,206.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,206.0,211.0,238.0,241.0,255.0,279.0,294.0,300.0,315.0,318.0,344.0,347.0,363.0,363.0,373.0,390.0,390.0,401.0,411.0,408.0,414.0,421.0,425.0,440.0,441.0
