Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,493.0,219.0,201.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,211.0,217.0,236.0,248.0,257.0,267.0,284.0,297.0,305.0,329.0,327.0,339.0,350.0,367.0,362.0,379.0,390.0,384.0,397.0,404.0,407.0,419.0,417.0,426.0,427.0,434.0,428.0,438.0,451.0
unmatched_applicants,490.0,215.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,207.0,211.0,230.0,243.0,264.0,276.0,285.0,294.0,306.0,316.0,336.0,345.0,354.0,360.0,370.0,377.0,379.0,391.0,392.0,404.0,405.0,416.0,417.0,421.0,426.0,440.0,433.0,438.0,447.0
unmatched_applicants,493.0,214.0,207.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,206.0,213.0,232.0,245.0,262.0,272.0,288.0,297.0,302.0,319.0,341.0,338.0,356.0,363.0,373.0,378.0,384.0,390.0,391.0,393.0,403.0,418.0,420.0,418.0,426.0,435.0,439.0,439.0,448.0
unmatched_applicants,488.0,218.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,207.0,211.0,233.0,244.0,264.0,272.0,283.0,293.0,317.0,304.0,333.0,346.0,351.0,369.0,369.0,377.0,383.0,396.0,396.0,402.0,407.0,413.0,412.0,421.0,428.0,433.0,440.0,447.0,450.0
unmatched_applicants,491.0,217.0,204.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,203.0,211.0,218.0,221.0,250.0,261.0,263.0,287.0,300.0,316.0,332.0,330.0,334.0,351.0,368.0,368.0,368.0,384.0,382.0,396.0,400.0,408.0,412.0,418.0,427.0,423.0,426.0,439.0,436.0,448.0
unmatched_applicants,494.0,221.0,203.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,212.0,238.0,242.0,264.0,277.0,282.0,294.0,311.0,320.0,331.0,334.0,343.0,361.0,368.0,374.0,382.0,388.0,395.0,411.0,409.0,410.0,412.0,423.0,428.0,433.0,421.0,436.0,448.0
unmatched_applicants,494.0,215.0,202.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,203.0,203.0,210.0,210.0,220.0,242.0,269.0,276.0,290.0,292.0,304.0,312.0,327.0,346.0,351.0,361.0,379.0,378.0,385.0,386.0,402.0,396.0,407.0,414.0,420.0,424.0,429.0,436.0,438.0,442.0,446.0
unmatched_applicants,493.0,210.0,205.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,206.0,218.0,228.0,255.0,250.0,258.0,281.0,292.0,306.0,322.0,335.0,339.0,352.0,354.0,374.0,376.0,379.0,387.0,397.0,408.0,406.0,420.0,419.0,419.0,430.0,428.0,441.0,442.0,448.0
unmatched_applicants,487.0,220.0,203.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,203.0,223.0,221.0,248.0,259.0,267.0,282.0,303.0,313.0,316.0,327.0,344.0,357.0,358.0,375.0,377.0,388.0,392.0,403.0,400.0,404.0,412.0,419.0,421.0,430.0,432.0,431.0,442.0,450.0
unmatched_applicants,488.0,219.0,204.0,205.0,201.0,201.0,201.0,201.0,201.0,201.0,202.0,202.0,206.0,220.0,224.0,240.0,263.0,261.0,285.0,296.0,313.0,313.0,338.0,344.0,352.0,361.0,364.0,383.0,387.0,393.0,402.0,404.0,412.0,412.0,423.0,423.0,429.0,430.0,435.0,437.0,443.0
unfilled_spots,292.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,35.0,47.0,56.0,66.0,83.0,96.0,104.0,128.0,126.0,138.0,149.0,166.0,161.0,178.0,189.0,183.0,196.0,203.0,206.0,218.0,216.0,225.0,226.0,233.0,227.0,237.0,250.0
unfilled_spots,289.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,29.0,42.0,63.0,75.0,84.0,93.0,105.0,115.0,135.0,144.0,153.0,159.0,169.0,176.0,178.0,190.0,191.0,203.0,204.0,215.0,216.0,220.0,225.0,239.0,232.0,237.0,246.0
unfilled_spots,292.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,31.0,44.0,61.0,71.0,87.0,96.0,101.0,118.0,140.0,137.0,155.0,162.0,172.0,177.0,183.0,189.0,190.0,192.0,202.0,217.0,219.0,217.0,225.0,234.0,238.0,238.0,247.0
unfilled_spots,287.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,32.0,43.0,63.0,71.0,82.0,92.0,116.0,103.0,132.0,145.0,150.0,168.0,168.0,176.0,182.0,195.0,195.0,201.0,206.0,212.0,211.0,220.0,227.0,232.0,239.0,246.0,249.0
unfilled_spots,290.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,17.0,20.0,49.0,60.0,62.0,86.0,99.0,115.0,131.0,129.0,133.0,150.0,167.0,167.0,167.0,183.0,181.0,195.0,199.0,207.0,211.0,217.0,226.0,222.0,225.0,238.0,235.0,247.0
unfilled_spots,293.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,37.0,41.0,63.0,76.0,81.0,93.0,110.0,119.0,130.0,133.0,142.0,160.0,167.0,173.0,181.0,187.0,194.0,210.0,208.0,209.0,211.0,222.0,227.0,232.0,220.0,235.0,247.0
unfilled_spots,293.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,9.0,19.0,41.0,68.0,75.0,89.0,91.0,103.0,111.0,126.0,145.0,150.0,160.0,178.0,177.0,184.0,185.0,201.0,195.0,206.0,213.0,219.0,223.0,228.0,235.0,237.0,241.0,245.0
unfilled_spots,292.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,27.0,54.0,49.0,57.0,80.0,91.0,105.0,121.0,134.0,138.0,151.0,153.0,173.0,175.0,178.0,186.0,196.0,207.0,205.0,219.0,218.0,218.0,229.0,227.0,240.0,241.0,247.0
unfilled_spots,286.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,20.0,47.0,58.0,66.0,81.0,102.0,112.0,115.0,126.0,143.0,156.0,157.0,174.0,176.0,187.0,191.0,202.0,199.0,203.0,211.0,218.0,220.0,229.0,231.0,230.0,241.0,249.0
unfilled_spots,287.0,18.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,19.0,23.0,39.0,62.0,60.0,84.0,95.0,112.0,112.0,137.0,143.0,151.0,160.0,163.0,182.0,186.0,192.0,201.0,203.0,211.0,211.0,222.0,222.0,228.0,229.0,234.0,236.0,242.0
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,413.4177215189873,339.7974683544304,213.0379746835443,99.13924050632912,88.0379746835443,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,423.3164556962025,329.9620253164557,184.62025316455697,132.8227848101266,97.0,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,418.50632911392404,316.8607594936709,199.9873417721519,108.32911392405063,97.30379746835443,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,417.8607594936709,339.4810126582278,194.45569620253164,103.64556962025317,83.40506329113924,95.45569620253164,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,409.11392405063293,329.67088607594934,190.35443037974684,94.81012658227849,96.86075949367088,95.44303797468355,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,413.55696202531647,312.126582278481,175.0632911392405,126.58227848101266,97.37974683544304,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,404.46835443037975,316.82278481012656,199.29113924050634,122.37974683544304,97.31645569620254,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,418.3544303797468,330.2025316455696,179.69620253164558,93.9620253164557,88.0379746835443,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,412.9746835443038,317.46835443037975,203.86075949367088,107.59493670886076,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,432.1898734177215,422.63291139240505,413.7848101265823,326.1645569620253,179.79746835443038,108.16455696202532,88.24050632911393,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968995945623659,0.9849749582637729,0.930625115933964,0.8597662771285476,0.7843375322507209,0.719810795770729,0.664440734557596,0.6169806820891963,0.5758486366165831,0.5398580968280468,0.5081017381911028,0.47987386384715264,0.45461734469730253,0.4318864774624374,0.4113204547261309,0.39262407042039765,0.37555345866298906,0.3599053978853645,0.3455091819699499,0.332220367278798,0.3199159092314351,0.30849034104459816,0.29785274307754306,0.28792431830829157,0.27863643707254027,0.2699290484140234,0.26174938028026506,0.2540508690955514,0.2467922728356785,0.23993693192357632,0.23345214997969588,0.22730867234865126,0.221480244852532,0.2159432387312187
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973765800143095,0.9828881469115192,0.9287701725097385,0.8532554257095158,0.7843375322507209,0.719810795770729,0.664440734557596,0.6169806820891963,0.5758486366165831,0.5398580968280468,0.5081017381911028,0.47987386384715264,0.45461734469730253,0.4318864774624374,0.4113204547261309,0.39262407042039765,0.37555345866298906,0.3599053978853645,0.3455091819699499,0.332220367278798,0.3199159092314351,0.30849034104459816,0.29785274307754306,0.28792431830829157,0.27863643707254027,0.2699290484140234,0.26174938028026506,0.2540508690955514,0.2467922728356785,0.23993693192357632,0.23345214997969588,0.22730867234865126,0.221480244852532,0.2159432387312187
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971380872883377,0.9745409015025042,0.9235763309219068,0.8579298831385642,0.7822127788738807,0.719810795770729,0.664440734557596,0.6169806820891963,0.5758486366165831,0.5398580968280468,0.5081017381911028,0.47987386384715264,0.45461734469730253,0.4318864774624374,0.4113204547261309,0.39262407042039765,0.37555345866298906,0.3599053978853645,0.3455091819699499,0.332220367278798,0.3199159092314351,0.30849034104459816,0.29785274307754306,0.28792431830829157,0.27863643707254027,0.2699290484140234,0.26174938028026506,0.2540508690955514,0.2467922728356785,0.23993693192357632,0.23345214997969588,0.22730867234865126,0.221480244852532,0.2159432387312187
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964226091104221,0.9830968280467446,0.9354479688369505,0.8590984974958263,0.7852481408407953,0.719671675013912,0.664440734557596,0.6169806820891963,0.5758486366165831,0.5398580968280468,0.5081017381911028,0.47987386384715264,0.45461734469730253,0.4318864774624374,0.4113204547261309,0.39262407042039765,0.37555345866298906,0.3599053978853645,0.3455091819699499,0.332220367278798,0.3199159092314351,0.30849034104459816,0.29785274307754306,0.28792431830829157,0.27863643707254027,0.2699290484140234,0.26174938028026506,0.2540508690955514,0.2467922728356785,0.23993693192357632,0.23345214997969588,0.22730867234865126,0.221480244852532,0.2159432387312187
