Parameter,0,1,2,3,4,5,6,7,8,9,10,11
unmatched_applicants,4858.0,4364.0,4364.0,4364.0,4365.0,4369.0,4397.0,4452.0,4521.0,4642.0,4727.0,4808.0
unmatched_applicants,4868.0,4364.0,4364.0,4364.0,4368.0,4367.0,4399.0,4438.0,4550.0,4628.0,4733.0,4804.0
unmatched_applicants,4897.0,4364.0,4364.0,4366.0,4364.0,4366.0,4398.0,4445.0,4521.0,4635.0,4710.0,4795.0
unmatched_applicants,4866.0,4364.0,4364.0,4364.0,4364.0,4365.0,4399.0,4450.0,4534.0,4617.0,4715.0,4797.0
unmatched_applicants,4874.0,4364.0,4364.0,4364.0,4364.0,4370.0,4396.0,4445.0,4523.0,4650.0,4690.0,4793.0
unmatched_applicants,4867.0,4364.0,4364.0,4364.0,4364.0,4371.0,4411.0,4461.0,4533.0,4643.0,4698.0,4779.0
unmatched_applicants,4883.0,4364.0,4364.0,4364.0,4364.0,4376.0,4399.0,4439.0,4547.0,4644.0,4720.0,4810.0
unmatched_applicants,4864.0,4364.0,4364.0,4364.0,4364.0,4366.0,4382.0,4448.0,4532.0,4625.0,4695.0,4800.0
unmatched_applicants,4882.0,4364.0,4364.0,4364.0,4364.0,4371.0,4399.0,4456.0,4527.0,4610.0,4689.0,4791.0
unmatched_applicants,4864.0,4364.0,4364.0,4364.0,4364.0,4369.0,4406.0,4462.0,4506.0,4638.0,4716.0,4771.0
unfilled_spots,494.0,0.0,0.0,0.0,1.0,5.0,33.0,88.0,157.0,278.0,363.0,444.0
unfilled_spots,504.0,0.0,0.0,0.0,4.0,3.0,35.0,74.0,186.0,264.0,369.0,440.0
unfilled_spots,533.0,0.0,0.0,2.0,0.0,2.0,34.0,81.0,157.0,271.0,346.0,431.0
unfilled_spots,502.0,0.0,0.0,0.0,0.0,1.0,35.0,86.0,170.0,253.0,351.0,433.0
unfilled_spots,510.0,0.0,0.0,0.0,0.0,6.0,32.0,81.0,159.0,286.0,326.0,429.0
unfilled_spots,503.0,0.0,0.0,0.0,0.0,7.0,47.0,97.0,169.0,279.0,334.0,415.0
unfilled_spots,519.0,0.0,0.0,0.0,0.0,12.0,35.0,75.0,183.0,280.0,356.0,446.0
unfilled_spots,500.0,0.0,0.0,0.0,0.0,2.0,18.0,84.0,168.0,261.0,331.0,436.0
unfilled_spots,518.0,0.0,0.0,0.0,0.0,7.0,35.0,92.0,163.0,246.0,325.0,427.0
unfilled_spots,500.0,0.0,0.0,0.0,0.0,5.0,42.0,98.0,142.0,274.0,352.0,407.0
reviews_per_program,217.53191489361703,216.91489361702128,98.77203647416414,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,216.20060790273556,96.03951367781156,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,217.53191489361703,100.9726443768997,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,216.93313069908814,103.80243161094225,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,216.95440729483283,98.11246200607903,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,216.91185410334347,93.24620060790274,54.80547112462006,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,217.53191489361703,102.96960486322189,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
reviews_per_program,217.53191489361703,217.53191489361703,103.72036474164133,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894
