Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12
unmatched_applicants,4687.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4652.0
unmatched_applicants,4709.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4654.0
unmatched_applicants,4704.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4651.0
unmatched_applicants,4694.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0
unmatched_applicants,4702.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4653.0
unmatched_applicants,4720.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4651.0,4650.0
unmatched_applicants,4712.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4650.0
unmatched_applicants,4701.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4653.0
unmatched_applicants,4705.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4651.0
unmatched_applicants,4701.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4648.0,4649.0,4649.0,4654.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
unfilled_spots,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
unfilled_spots,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
unfilled_spots,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
unfilled_spots,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
unfilled_spots,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
unfilled_spots,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,219.2401215805471,84.35258358662614,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,216.87234042553192,81.74164133738601,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,225.30091185410333,85.21580547112463,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,221.9969604863222,86.30699088145897,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,220.01823708206686,82.209726443769,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,216.1823708206687,83.17629179331307,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,220.77203647416414,83.5258358662614,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,219.9483282674772,82.17021276595744,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,222.08814589665653,85.1063829787234,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
reviews_per_program,271.9148936170213,271.9148936170213,271.9148936170213,218.8115501519757,81.03039513677811,91.17629179331307,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703
pct_interview_given_signal,0.0,1.006539235412475,1.0038564721663312,0.9801028392577689,0.82390174379611,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.0060362173038229,1.0031857813547955,0.9859154929577465,0.8248658618376928,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.0082159624413145,1.0030181086519114,0.9847417840375586,0.823608316566063,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.0072099262240106,1.0038564721663312,0.9844064386317908,0.8233568075117371,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.0060362173038229,1.004946344735077,0.9835121842164096,0.8245305164319249,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.006203890006707,1.0035211267605635,0.9832327297116029,0.8251592890677397,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.0072099262240106,1.0039403085177734,0.9848535658394814,0.8248658618376928,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.0068745808182429,1.004610999329309,0.9835121842164096,0.8246981891348089,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.0063715627095908,1.0032696177062375,0.9853565839481332,0.823775989268947,0.6619718309859155,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
pct_interview_given_signal,0.0,1.005868544600939,1.0040241448692153,0.9857478202548625,0.8250754527162978,0.6619382964453387,0.5516431924882629,0.47283702213279677,0.4137323943661972,0.3677621283255086,0.33098591549295775,0.30089628681177977,0.27582159624413144
