Parameter,0,1,2,3,4,5,6
unmatched_applicants,4377.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0
unmatched_applicants,4374.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0
unmatched_applicants,4375.0,4364.0,4364.0,4364.0,4364.0,4364.0,4365.0
unmatched_applicants,4373.0,4364.0,4364.0,4364.0,4364.0,4364.0,4369.0
unmatched_applicants,4370.0,4364.0,4364.0,4364.0,4364.0,4364.0,4368.0
unmatched_applicants,4370.0,4364.0,4364.0,4364.0,4366.0,4364.0,4365.0
unmatched_applicants,4385.0,4364.0,4364.0,4364.0,4364.0,4366.0,4364.0
unmatched_applicants,4373.0,4364.0,4364.0,4364.0,4364.0,4364.0,4366.0
unmatched_applicants,4374.0,4364.0,4364.0,4364.0,4364.0,4364.0,4364.0
unmatched_applicants,4379.0,4364.0,4364.0,4364.0,4364.0,4366.0,4367.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,1.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,6.0,0.0,0.0,0.0,0.0,0.0,4.0
unfilled_spots,6.0,0.0,0.0,0.0,2.0,0.0,1.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,2.0,0.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,2.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,15.0,0.0,0.0,0.0,0.0,2.0,3.0
reviews_per_program,126.8936170212766,126.8936170212766,112.8936170212766,60.744680851063826,72.69604863221885,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,113.92401215805471,59.77811550151976,72.51063829787235,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,114.30091185410335,59.504559270516715,72.51063829787235,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,113.42553191489361,61.09118541033435,72.51063829787235,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,112.14893617021276,59.79331306990881,72.51063829787235,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,111.65349544072949,60.16717325227963,72.51063829787235,90.63829787234043,108.76595744680851
reviews_per_program,126.8936170212766,126.8936170212766,111.40121580547113,57.735562310030396,72.51063829787235,90.63829787234043,108.76595744680851
