Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12
unmatched_applicants,1756.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1727.0,1724.0,1738.0,1754.0
unmatched_applicants,1762.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1726.0,1732.0,1752.0
unmatched_applicants,1751.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1727.0,1728.0,1751.0
unmatched_applicants,1754.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1725.0,1736.0,1745.0
unmatched_applicants,1756.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1738.0,1734.0
unmatched_applicants,1761.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1727.0,1738.0
unmatched_applicants,1752.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1730.0,1737.0,1742.0
unmatched_applicants,1748.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1727.0,1743.0,1750.0
unmatched_applicants,1762.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1723.0,1732.0,1727.0,1752.0
unmatched_applicants,1755.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1727.0,1723.0,1732.0,1741.0
unfilled_spots,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,31.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,29.0
unfilled_spots,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,28.0
unfilled_spots,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,22.0
unfilled_spots,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0
unfilled_spots,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,15.0
unfilled_spots,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,14.0,19.0
unfilled_spots,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,27.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,29.0
unfilled_spots,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,18.0
reviews_per_program,304.85714285714283,304.85714285714283,253.4835164835165,80.13186813186813,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,251.4065934065934,80.81318681318682,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,237.0,80.98901098901099,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,238.76923076923077,78.28571428571429,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,236.7032967032967,86.65934065934066,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,254.5164835164835,77.91208791208791,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,234.46153846153845,82.7032967032967,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,236.8131868131868,85.73626373626374,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,262.3076923076923,78.2967032967033,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
reviews_per_program,304.85714285714283,304.85714285714283,239.5934065934066,83.37362637362638,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934
pct_interview_given_signal,0.0,1.0,0.979381443298969,0.7683536394876601,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9840674789128397,0.7694470477975632,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9735238987816307,0.7685098406747891,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9784442361761949,0.7689784442361762,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9735238987816307,0.7664792252421119,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9821930646672915,0.767572633552015,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9742268041237113,0.7685098406747891,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9707122774133083,0.7650734145579506,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9917994376757263,0.767728834739144,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_signal,0.0,1.0,0.9744611059044048,0.7666354264292409,0.577788191190253,0.46223055295220244,0.3851921274601687,0.3301646806801446,0.2888940955951265,0.25679475164011245,0.23111527647610122,0.21010479679645566,0.19259606373008434
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.032035443469370366,0.0006091846298031865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.031183436994121155,0.00028116213683223993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.03310045156343188,0.0005623242736644799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.03220584476442021,0.0004217432052483599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.03310045156343188,0.0011715089034676663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.03152423958422084,0.0008434864104967198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.0329726505921445,0.0005623242736644799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.03361165544858141,0.0015932521087160263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.029777626309959955,0.0007966260543580131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.17778098190469324,0.10926273039675101,0.03293005026838204,0.0011246485473289597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_interview_given_application,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324,0.17778098190469324
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
