Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
unmatched_applicants,1958.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1731.0,1746.0,1770.0,1777.0,1804.0,1819.0,1839.0,1852.0,1870.0,1879.0,1893.0,1905.0,1910.0,1930.0,1934.0,1946.0,1955.0
unmatched_applicants,1954.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1735.0,1739.0,1769.0,1784.0,1788.0,1821.0,1840.0,1851.0,1866.0,1875.0,1892.0,1899.0,1917.0,1929.0,1933.0,1944.0,1951.0
unmatched_applicants,1958.0,1723.0,1723.0,1723.0,1723.0,1723.0,1730.0,1724.0,1756.0,1767.0,1785.0,1802.0,1825.0,1842.0,1856.0,1878.0,1885.0,1891.0,1907.0,1917.0,1922.0,1929.0,1944.0,1943.0
unmatched_applicants,1962.0,1723.0,1723.0,1723.0,1723.0,1724.0,1723.0,1729.0,1750.0,1772.0,1787.0,1798.0,1813.0,1838.0,1855.0,1867.0,1880.0,1887.0,1899.0,1918.0,1926.0,1944.0,1951.0,1950.0
unmatched_applicants,1951.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1726.0,1766.0,1756.0,1777.0,1808.0,1823.0,1841.0,1860.0,1866.0,1881.0,1891.0,1906.0,1918.0,1925.0,1936.0,1941.0,1955.0
unmatched_applicants,1949.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1736.0,1750.0,1757.0,1793.0,1801.0,1815.0,1839.0,1847.0,1870.0,1879.0,1893.0,1896.0,1916.0,1926.0,1935.0,1945.0,1949.0
unmatched_applicants,1955.0,1723.0,1723.0,1723.0,1723.0,1726.0,1726.0,1732.0,1755.0,1766.0,1783.0,1800.0,1811.0,1844.0,1846.0,1877.0,1889.0,1907.0,1906.0,1920.0,1920.0,1933.0,1945.0,1953.0
unmatched_applicants,1957.0,1723.0,1723.0,1723.0,1723.0,1723.0,1724.0,1730.0,1749.0,1771.0,1780.0,1800.0,1815.0,1821.0,1850.0,1870.0,1879.0,1898.0,1903.0,1912.0,1920.0,1929.0,1947.0,1952.0
unmatched_applicants,1960.0,1723.0,1723.0,1723.0,1723.0,1723.0,1725.0,1737.0,1744.0,1763.0,1790.0,1806.0,1826.0,1838.0,1855.0,1878.0,1880.0,1902.0,1895.0,1915.0,1930.0,1925.0,1944.0,1949.0
unmatched_applicants,1957.0,1723.0,1723.0,1723.0,1723.0,1723.0,1727.0,1734.0,1748.0,1763.0,1787.0,1804.0,1821.0,1825.0,1855.0,1871.0,1893.0,1895.0,1900.0,1923.0,1923.0,1940.0,1938.0,1958.0
unfilled_spots,235.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,23.0,47.0,54.0,81.0,96.0,116.0,129.0,147.0,156.0,170.0,182.0,187.0,207.0,211.0,223.0,232.0
unfilled_spots,231.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,16.0,46.0,61.0,65.0,98.0,117.0,128.0,143.0,152.0,169.0,176.0,194.0,206.0,210.0,221.0,228.0
unfilled_spots,235.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,33.0,44.0,62.0,79.0,102.0,119.0,133.0,155.0,162.0,168.0,184.0,194.0,199.0,206.0,221.0,220.0
unfilled_spots,239.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,27.0,49.0,64.0,75.0,90.0,115.0,132.0,144.0,157.0,164.0,176.0,195.0,203.0,221.0,228.0,227.0
unfilled_spots,228.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,33.0,54.0,85.0,100.0,118.0,137.0,143.0,158.0,168.0,183.0,195.0,202.0,213.0,218.0,232.0
unfilled_spots,226.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,27.0,34.0,70.0,78.0,92.0,116.0,124.0,147.0,156.0,170.0,173.0,193.0,203.0,212.0,222.0,226.0
unfilled_spots,232.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,32.0,43.0,60.0,77.0,88.0,121.0,123.0,154.0,166.0,184.0,183.0,197.0,197.0,210.0,222.0,230.0
