Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
unmatched_applicants,1958.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1777.0,1777.0,1787.0,1795.0,1800.0,1821.0,1830.0,1832.0,1849.0,1867.0,1873.0,1876.0,1882.0,1894.0,1904.0,1908.0,1916.0,1923.0,1928.0,1938.0,1944.0
unmatched_applicants,1956.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1773.0,1771.0,1772.0,1774.0,1780.0,1793.0,1790.0,1804.0,1821.0,1828.0,1845.0,1862.0,1863.0,1877.0,1887.0,1897.0,1896.0,1905.0,1919.0,1912.0,1933.0,1931.0,1938.0
unmatched_applicants,1959.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1771.0,1774.0,1784.0,1779.0,1797.0,1810.0,1809.0,1833.0,1835.0,1845.0,1859.0,1875.0,1880.0,1884.0,1898.0,1906.0,1908.0,1915.0,1923.0,1920.0,1940.0,1937.0
unmatched_applicants,1957.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1774.0,1781.0,1798.0,1804.0,1817.0,1831.0,1841.0,1857.0,1848.0,1864.0,1876.0,1884.0,1899.0,1905.0,1912.0,1923.0,1928.0,1929.0,1934.0,1942.0
unmatched_applicants,1956.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1772.0,1778.0,1788.0,1782.0,1796.0,1821.0,1827.0,1841.0,1846.0,1866.0,1865.0,1883.0,1882.0,1892.0,1910.0,1912.0,1911.0,1926.0,1929.0,1933.0,1940.0
unmatched_applicants,1962.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1777.0,1775.0,1786.0,1799.0,1806.0,1813.0,1822.0,1846.0,1845.0,1864.0,1866.0,1879.0,1877.0,1896.0,1910.0,1905.0,1912.0,1924.0,1926.0,1928.0,1943.0
unmatched_applicants,1957.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1772.0,1773.0,1776.0,1784.0,1793.0,1802.0,1808.0,1828.0,1837.0,1846.0,1853.0,1864.0,1880.0,1892.0,1903.0,1899.0,1912.0,1919.0,1924.0,1929.0,1934.0,1941.0
unmatched_applicants,1955.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1771.0,1776.0,1780.0,1788.0,1793.0,1810.0,1822.0,1838.0,1845.0,1860.0,1870.0,1876.0,1885.0,1900.0,1900.0,1910.0,1915.0,1926.0,1932.0,1935.0,1946.0
unmatched_applicants,1955.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1772.0,1781.0,1787.0,1802.0,1796.0,1818.0,1821.0,1843.0,1854.0,1861.0,1878.0,1875.0,1886.0,1891.0,1902.0,1904.0,1911.0,1931.0,1929.0,1931.0,1945.0
unmatched_applicants,1959.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1771.0,1772.0,1780.0,1784.0,1793.0,1808.0,1809.0,1822.0,1834.0,1860.0,1861.0,1864.0,1873.0,1884.0,1891.0,1903.0,1916.0,1906.0,1922.0,1931.0,1939.0,1948.0
