Parameter,0,1,2,3,4,5,6
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unmatched_applicants,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,176.14285714285714,93.8021978021978,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,172.3846153846154,95.10989010989012,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,172.46153846153845,97.62637362637362,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,174.57142857142858,96.4065934065934,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,170.6153846153846,95.08791208791209,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,183.3846153846154,95.06593406593407,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,180.4065934065934,95.35164835164835,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,175.69230769230768,96.27472527472527,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,173.1098901098901,96.17582417582418,117.25274725274726,140.7032967032967
reviews_per_program,211.05494505494505,211.05494505494505,211.05494505494505,177.45054945054946,97.34065934065934,117.25274725274726,140.7032967032967
pct_interview_given_signal,0.0,1.0271790065604498,1.011012183692596,0.9853170884098719,0.810215557638238,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.022492970946579,1.0168697282099344,0.9876601062168072,0.8100984067478912,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.0243673851921276,1.0164011246485474,0.9825054670415495,0.8096298031865042,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.0243673851921276,1.0089034676663542,0.9884411121524523,0.8096298031865042,0.6481724461105904,0.5401437050921587
pct_interview_given_signal,0.0,1.0206185567010309,1.0164011246485474,0.9825054670415495,0.8100984067478912,0.6481724461105904,0.5401437050921587
