Parameter,0,1,2,3,4,5,6,7,8,9,10,11
unmatched_applicants,297.0,214.0,208.0,208.0,211.0,215.0,229.0,244.0,267.0,263.0,274.0,298.0
unmatched_applicants,310.0,219.0,210.0,209.0,209.0,219.0,221.0,245.0,256.0,269.0,282.0,291.0
unmatched_applicants,295.0,218.0,212.0,209.0,210.0,218.0,223.0,246.0,258.0,267.0,278.0,291.0
unmatched_applicants,297.0,211.0,210.0,210.0,210.0,220.0,227.0,236.0,256.0,260.0,279.0,296.0
unmatched_applicants,302.0,216.0,210.0,211.0,209.0,215.0,221.0,241.0,256.0,268.0,281.0,288.0
unmatched_applicants,291.0,222.0,211.0,209.0,211.0,215.0,236.0,246.0,258.0,272.0,284.0,298.0
unmatched_applicants,296.0,219.0,210.0,209.0,210.0,217.0,226.0,239.0,260.0,270.0,279.0,281.0
unmatched_applicants,290.0,216.0,211.0,208.0,210.0,214.0,231.0,247.0,256.0,267.0,276.0,288.0
unmatched_applicants,302.0,215.0,210.0,208.0,211.0,214.0,228.0,242.0,257.0,266.0,284.0,291.0
unmatched_applicants,299.0,215.0,211.0,209.0,214.0,218.0,221.0,240.0,251.0,266.0,280.0,292.0
unfilled_spots,89.0,6.0,0.0,0.0,3.0,7.0,21.0,36.0,59.0,55.0,66.0,90.0
unfilled_spots,102.0,11.0,2.0,1.0,1.0,11.0,13.0,37.0,48.0,61.0,74.0,83.0
unfilled_spots,87.0,10.0,4.0,1.0,2.0,10.0,15.0,38.0,50.0,59.0,70.0,83.0
unfilled_spots,89.0,3.0,2.0,2.0,2.0,12.0,19.0,28.0,48.0,52.0,71.0,88.0
unfilled_spots,94.0,8.0,2.0,3.0,1.0,7.0,13.0,33.0,48.0,60.0,73.0,80.0
unfilled_spots,83.0,14.0,3.0,1.0,3.0,7.0,28.0,38.0,50.0,64.0,76.0,90.0
unfilled_spots,88.0,11.0,2.0,1.0,2.0,9.0,18.0,31.0,52.0,62.0,71.0,73.0
unfilled_spots,82.0,8.0,3.0,0.0,2.0,6.0,23.0,39.0,48.0,59.0,68.0,80.0
unfilled_spots,94.0,7.0,2.0,0.0,3.0,6.0,20.0,34.0,49.0,58.0,76.0,83.0
unfilled_spots,91.0,7.0,3.0,1.0,6.0,10.0,13.0,32.0,43.0,58.0,72.0,84.0
reviews_per_program,47.20661157024794,47.20661157024794,43.47107438016529,32.45454545454545,23.537190082644628,21.58677685950413,23.776859504132233,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727
reviews_per_program,47.20661157024794,46.86776859504132,43.59504132231405,32.02479338842975,23.958677685950413,21.330578512396695,24.34710743801653,27.735537190082646,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727
reviews_per_program,47.20661157024794,47.20661157024794,43.33057851239669,31.776859504132233,25.28099173553719,22.355371900826448,24.05785123966942,27.537190082644628,31.570247933884296,35.40495867768595,39.33884297520661,43.27272727272727
reviews_per_program,47.20661157024794,47.20661157024794,44.46280991735537,32.21487603305785,23.859504132231404,22.884297520661157,23.776859504132233,27.710743801652892,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727
reviews_per_program,47.20661157024794,47.20661157024794,42.8099173553719,31.454545454545453,24.107438016528924,21.570247933884296,24.39669421487603,27.71900826446281,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727
