Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
unmatched_applicants,1285.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,984.0,994.0,1020.0,1030.0,1079.0,1092.0,1140.0,1154.0,1182.0,1212.0,1238.0
unmatched_applicants,1297.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,988.0,987.0,1025.0,1043.0,1079.0,1098.0,1117.0,1154.0,1187.0,1222.0,1244.0
unmatched_applicants,1307.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,990.0,1014.0,1042.0,1071.0,1115.0,1124.0,1161.0,1194.0,1224.0,1234.0
unmatched_applicants,1291.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,987.0,1013.0,1016.0,1048.0,1080.0,1094.0,1126.0,1153.0,1179.0,1204.0,1231.0
unmatched_applicants,1298.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,985.0,981.0,997.0,1000.0,1030.0,1083.0,1106.0,1130.0,1148.0,1195.0,1210.0,1242.0
unmatched_applicants,1278.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,985.0,992.0,1006.0,1045.0,1074.0,1099.0,1134.0,1146.0,1187.0,1217.0,1229.0
unmatched_applicants,1292.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,985.0,994.0,1020.0,1031.0,1078.0,1093.0,1122.0,1149.0,1195.0,1212.0,1228.0
unmatched_applicants,1291.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,982.0,981.0,988.0,1008.0,1040.0,1053.0,1106.0,1139.0,1145.0,1188.0,1215.0,1232.0
unmatched_applicants,1297.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,983.0,995.0,1020.0,1032.0,1080.0,1092.0,1129.0,1146.0,1170.0,1218.0,1234.0
unmatched_applicants,1288.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,989.0,1022.0,1033.0,1065.0,1098.0,1125.0,1160.0,1193.0,1210.0,1225.0
unfilled_spots,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,39.0,49.0,98.0,111.0,159.0,173.0,201.0,231.0,257.0
unfilled_spots,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,44.0,62.0,98.0,117.0,136.0,173.0,206.0,241.0,263.0
unfilled_spots,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,61.0,90.0,134.0,143.0,180.0,213.0,243.0,253.0
unfilled_spots,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,35.0,67.0,99.0,113.0,145.0,172.0,198.0,223.0,250.0
unfilled_spots,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,19.0,49.0,102.0,125.0,149.0,167.0,214.0,229.0,261.0
unfilled_spots,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,25.0,64.0,93.0,118.0,153.0,165.0,206.0,236.0,248.0
unfilled_spots,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,39.0,50.0,97.0,112.0,141.0,168.0,214.0,231.0,247.0
unfilled_spots,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,27.0,59.0,72.0,125.0,158.0,164.0,207.0,234.0,251.0
