Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1610.0,981.0,981.0,981.0,981.0,981.0,981.0,989.0,1002.0,1034.0,1056.0,1078.0,1136.0,1163.0,1206.0,1217.0,1258.0,1280.0,1308.0,1320.0,1342.0,1364.0,1395.0,1397.0,1411.0,1420.0,1435.0,1451.0,1460.0,1467.0,1473.0,1492.0,1489.0,1493.0,1505.0,1515.0,1518.0,1533.0,1536.0,1542.0,1551.0
unmatched_applicants,1607.0,981.0,981.0,981.0,981.0,981.0,986.0,983.0,995.0,1024.0,1052.0,1082.0,1124.0,1154.0,1194.0,1238.0,1258.0,1283.0,1303.0,1319.0,1345.0,1359.0,1397.0,1403.0,1414.0,1422.0,1437.0,1441.0,1465.0,1467.0,1474.0,1500.0,1490.0,1501.0,1507.0,1517.0,1531.0,1531.0,1534.0,1542.0,1556.0
unmatched_applicants,1606.0,981.0,981.0,981.0,981.0,981.0,981.0,987.0,1001.0,1010.0,1048.0,1094.0,1133.0,1173.0,1195.0,1219.0,1256.0,1280.0,1302.0,1329.0,1360.0,1366.0,1379.0,1396.0,1401.0,1423.0,1443.0,1443.0,1465.0,1474.0,1473.0,1478.0,1489.0,1505.0,1504.0,1520.0,1528.0,1529.0,1536.0,1543.0,1554.0
unmatched_applicants,1606.0,981.0,981.0,981.0,981.0,981.0,981.0,984.0,1002.0,1019.0,1038.0,1106.0,1144.0,1155.0,1217.0,1227.0,1263.0,1287.0,1316.0,1315.0,1338.0,1367.0,1382.0,1404.0,1411.0,1421.0,1442.0,1443.0,1454.0,1463.0,1486.0,1479.0,1497.0,1502.0,1511.0,1525.0,1522.0,1535.0,1543.0,1539.0,1554.0
unmatched_applicants,1609.0,981.0,981.0,981.0,981.0,981.0,981.0,982.0,994.0,1009.0,1050.0,1096.0,1118.0,1163.0,1202.0,1234.0,1263.0,1291.0,1313.0,1334.0,1358.0,1370.0,1374.0,1402.0,1403.0,1423.0,1440.0,1446.0,1469.0,1473.0,1479.0,1497.0,1497.0,1501.0,1502.0,1527.0,1520.0,1533.0,1537.0,1543.0,1553.0
unmatched_applicants,1607.0,981.0,981.0,981.0,981.0,981.0,981.0,987.0,998.0,1028.0,1055.0,1095.0,1134.0,1165.0,1192.0,1230.0,1261.0,1287.0,1311.0,1323.0,1334.0,1365.0,1383.0,1401.0,1409.0,1413.0,1448.0,1444.0,1469.0,1457.0,1483.0,1492.0,1509.0,1509.0,1516.0,1524.0,1524.0,1528.0,1532.0,1537.0,1550.0
unmatched_applicants,1611.0,981.0,981.0,981.0,981.0,981.0,981.0,985.0,1006.0,1028.0,1053.0,1104.0,1143.0,1174.0,1211.0,1233.0,1251.0,1287.0,1288.0,1323.0,1338.0,1368.0,1371.0,1393.0,1398.0,1433.0,1426.0,1445.0,1462.0,1466.0,1480.0,1501.0,1492.0,1503.0,1510.0,1517.0,1521.0,1532.0,1540.0,1541.0,1548.0
unmatched_applicants,1608.0,981.0,981.0,981.0,981.0,981.0,981.0,985.0,996.0,1018.0,1056.0,1092.0,1131.0,1169.0,1189.0,1213.0,1270.0,1280.0,1308.0,1336.0,1350.0,1368.0,1374.0,1397.0,1406.0,1421.0,1437.0,1456.0,1460.0,1468.0,1475.0,1488.0,1497.0,1515.0,1509.0,1517.0,1524.0,1535.0,1533.0,1528.0,1548.0
unmatched_applicants,1603.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,995.0,1031.0,1049.0,1084.0,1130.0,1150.0,1207.0,1215.0,1270.0,1278.0,1305.0,1330.0,1343.0,1362.0,1370.0,1404.0,1413.0,1420.0,1439.0,1449.0,1454.0,1467.0,1478.0,1486.0,1497.0,1508.0,1513.0,1515.0,1520.0,1527.0,1540.0,1539.0,1549.0
unmatched_applicants,1609.0,981.0,981.0,981.0,981.0,981.0,981.0,986.0,999.0,1022.0,1042.0,1082.0,1122.0,1174.0,1188.0,1225.0,1248.0,1286.0,1300.0,1322.0,1347.0,1366.0,1383.0,1397.0,1410.0,1427.0,1435.0,1444.0,1457.0,1474.0,1484.0,1490.0,1494.0,1507.0,1515.0,1520.0,1529.0,1532.0,1540.0,1555.0,1551.0
