Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unmatched_applicants,1347.0,687.0,690.0,678.0,676.0,676.0,676.0,676.0,692.0,700.0,742.0,806.0,873.0,915.0,989.0,1058.0,1102.0,1152.0,1193.0,1253.0
unmatched_applicants,1351.0,716.0,702.0,677.0,677.0,676.0,676.0,677.0,690.0,708.0,736.0,805.0,866.0,935.0,980.0,1049.0,1095.0,1159.0,1194.0,1261.0
unmatched_applicants,1351.0,698.0,686.0,679.0,676.0,676.0,676.0,681.0,676.0,713.0,747.0,789.0,868.0,916.0,981.0,1035.0,1103.0,1152.0,1177.0,1230.0
unmatched_applicants,1346.0,696.0,689.0,678.0,678.0,676.0,676.0,677.0,683.0,694.0,733.0,817.0,868.0,910.0,984.0,1053.0,1095.0,1150.0,1213.0,1236.0
unmatched_applicants,1351.0,705.0,696.0,677.0,676.0,676.0,676.0,679.0,686.0,690.0,722.0,778.0,865.0,946.0,977.0,1030.0,1086.0,1175.0,1201.0,1251.0
unmatched_applicants,1358.0,710.0,684.0,678.0,680.0,676.0,676.0,677.0,678.0,710.0,749.0,831.0,865.0,922.0,991.0,1059.0,1123.0,1158.0,1198.0,1226.0
unmatched_applicants,1347.0,701.0,687.0,681.0,676.0,676.0,676.0,676.0,690.0,709.0,725.0,784.0,863.0,927.0,984.0,1042.0,1119.0,1169.0,1215.0,1248.0
unmatched_applicants,1363.0,698.0,686.0,679.0,676.0,677.0,676.0,676.0,680.0,710.0,742.0,801.0,847.0,925.0,989.0,1033.0,1096.0,1163.0,1198.0,1235.0
unmatched_applicants,1342.0,703.0,692.0,681.0,677.0,676.0,676.0,679.0,680.0,708.0,749.0,797.0,856.0,936.0,1008.0,1030.0,1088.0,1147.0,1182.0,1263.0
unmatched_applicants,1345.0,703.0,688.0,681.0,676.0,676.0,676.0,676.0,686.0,691.0,744.0,803.0,879.0,958.0,990.0,1038.0,1086.0,1161.0,1221.0,1228.0
unfilled_spots,671.0,11.0,14.0,2.0,0.0,0.0,0.0,0.0,16.0,24.0,66.0,130.0,197.0,239.0,313.0,382.0,426.0,476.0,517.0,577.0
unfilled_spots,675.0,40.0,26.0,1.0,1.0,0.0,0.0,1.0,14.0,32.0,60.0,129.0,190.0,259.0,304.0,373.0,419.0,483.0,518.0,585.0
unfilled_spots,675.0,22.0,10.0,3.0,0.0,0.0,0.0,5.0,0.0,37.0,71.0,113.0,192.0,240.0,305.0,359.0,427.0,476.0,501.0,554.0
unfilled_spots,670.0,20.0,13.0,2.0,2.0,0.0,0.0,1.0,7.0,18.0,57.0,141.0,192.0,234.0,308.0,377.0,419.0,474.0,537.0,560.0
unfilled_spots,675.0,29.0,20.0,1.0,0.0,0.0,0.0,3.0,10.0,14.0,46.0,102.0,189.0,270.0,301.0,354.0,410.0,499.0,525.0,575.0
unfilled_spots,682.0,34.0,8.0,2.0,4.0,0.0,0.0,1.0,2.0,34.0,73.0,155.0,189.0,246.0,315.0,383.0,447.0,482.0,522.0,550.0
