Parameter,0,1,2,3,4
unmatched_applicants,684.0,676.0,676.0,676.0,676.0
unmatched_applicants,680.0,676.0,676.0,676.0,676.0
unmatched_applicants,677.0,676.0,676.0,676.0,677.0
unmatched_applicants,686.0,676.0,676.0,676.0,676.0
unmatched_applicants,678.0,676.0,676.0,676.0,676.0
unmatched_applicants,685.0,676.0,678.0,676.0,676.0
unmatched_applicants,683.0,676.0,676.0,676.0,676.0
unmatched_applicants,678.0,676.0,676.0,676.0,676.0
unmatched_applicants,680.0,676.0,678.0,676.0,676.0
unmatched_applicants,684.0,676.0,676.0,676.0,676.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,1.0
unfilled_spots,10.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0
unfilled_spots,9.0,0.0,2.0,0.0,0.0
unfilled_spots,7.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,2.0,0.0,0.0
unfilled_spots,8.0,0.0,0.0,0.0,0.0
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,50.938983050847455
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,50.983050847457626
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,50.8
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,50.95593220338983
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,50.905084745762714
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017
reviews_per_program,51.0406779661017,51.0406779661017,51.0406779661017,51.0406779661017,50.884745762711866
pct_interview_given_signal,0.0,1.01441190144119,1.0104602510460252,1.0100728343406167,1.006276150627615
pct_interview_given_signal,0.0,1.0158066015806602,1.0148768014876801,1.0085231675189834,1.0065086006508601
pct_interview_given_signal,0.0,1.01906090190609,1.0139470013947,1.0110026344335967,1.0063923756392377
pct_interview_given_signal,0.0,1.0153417015341701,1.0174337517433751,1.0103827677049435,1.0075546257554626
pct_interview_given_signal,0.0,1.0185960018596,1.01348210134821,1.0106927010692701,1.0069735006973501
pct_interview_given_signal,0.0,1.0181311018131103,1.0137145513714552,1.0072834340616768,1.007205950720595
pct_interview_given_signal,0.0,1.0237099023709901,1.0130172013017202,1.0106927010692701,1.00604370060437
pct_interview_given_signal,0.0,1.0185960018596,1.0153417015341701,1.0103827677049435,1.006276150627615
pct_interview_given_signal,0.0,1.0213854021385402,1.0125523012552302,1.0111576011157601,1.0068572756857275
pct_interview_given_signal,0.0,1.0172013017201302,1.0111576011157601,1.01022780102278,1.00557880055788
pct_interview_given_nosignal,0.8678355582121272,0.8471253680458701,0.80650860065086,0.7630172013017201,0.6869673020300635
pct_interview_given_nosignal,0.8692966726439529,0.8446459011312568,0.8089260808926081,0.7588331008833101,0.6810785681078568
pct_interview_given_nosignal,0.8665736866573687,0.8415465674879901,0.8086471408647141,0.7611576011157601,0.6852626685262668
pct_interview_given_nosignal,0.8666401009497244,0.8437935843793585,0.80604370060437,0.7586006508600651,0.6773593677359367
pct_interview_given_nosignal,0.8690974297668859,0.8404618007128467,0.8124593212459321,0.7596466759646676,0.6830931349759801
pct_interview_given_nosignal,0.8673042438732815,0.8434836510150318,0.802417480241748,0.7625523012552301,0.6762746009607934
pct_interview_given_nosignal,0.8667065152420801,0.8430962343096234,0.8122733612273362,0.7612738261273826,0.6882070354873702
pct_interview_given_nosignal,0.8707577870757787,0.8461955679528901,0.8105067410506741,0.7620874012087401,0.6772044010537734
pct_interview_given_nosignal,0.867437072457993,0.8418565008523168,0.8113435611343561,0.7613900511390052,0.6847977684797768
pct_interview_given_nosignal,0.8661087866108786,0.8429412676274601,0.8100418410041841,0.7603440260344027,0.6824732682473268
pct_interview_given_application,0.8678355582121272,0.8710234442452016,0.8647805007637643,0.8688981868898187,0.8694295012286644
pct_interview_given_application,0.8692966726439529,0.8690974297668859,0.8677691439197716,0.8658431294414558,0.8670385867038587
pct_interview_given_application,0.8665736866573687,0.8669057581191473,0.8673042438732815,0.8682340439662616,0.8687653583051073
pct_interview_given_application,0.8666401009497244,0.8683004582586172,0.8664408580726572,0.8665072723650129,0.866042372318523
pct_interview_given_application,0.8690974297668859,0.8659095437338116,0.8698944012751544,0.8672378295809258,0.8681676296739058
pct_interview_given_application,0.8673042438732815,0.8684332868433287,0.8627880719930929,0.867437072457993,0.8653782293949658
pct_interview_given_application,0.8667065152420801,0.8688981868898187,0.8696287441057315,0.8681676296739058,0.8698279869827987
pct_interview_given_application,0.8707577870757787,0.8708242013681344,0.8690310154745301,0.8684997011356844,0.8652454008102544
pct_interview_given_application,0.867437072457993,0.8675034867503487,0.868831772597463,0.8684332868433287,0.868831772597463
pct_interview_given_application,0.8661087866108786,0.8678355582121272,0.8675034867503487,0.867437072457993,0.8671050009962143
pct_of_app_match_via_signal_given_matched,0.0,0.9552542372881356,0.9911864406779661,0.9986440677966102,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9450847457627118,0.9864406779661017,0.9979661016949153,0.9979661016949153
pct_of_app_match_via_signal_given_matched,0.0,0.9511864406779661,0.9884745762711864,0.9993220338983051,1.0
