Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1188.0,726.0,727.0,728.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,730.0,731.0,736.0,762.0,787.0,798.0,822.0,854.0,874.0,895.0,918.0,931.0,935.0,966.0,981.0,993.0,1021.0,1045.0,1055.0,1051.0,1079.0,1076.0,1092.0,1109.0,1115.0,1126.0
unmatched_applicants,1198.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,728.0,733.0,728.0,744.0,763.0,775.0,790.0,804.0,834.0,874.0,893.0,898.0,929.0,947.0,966.0,991.0,996.0,1024.0,1035.0,1047.0,1061.0,1076.0,1081.0,1102.0,1115.0,1120.0,1136.0
unmatched_applicants,1196.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,727.0,734.0,739.0,756.0,764.0,803.0,817.0,838.0,870.0,883.0,904.0,929.0,944.0,959.0,987.0,1003.0,1018.0,1032.0,1053.0,1047.0,1070.0,1093.0,1101.0,1115.0,1128.0,1128.0
unmatched_applicants,1197.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,730.0,737.0,741.0,747.0,768.0,796.0,823.0,845.0,871.0,888.0,907.0,921.0,947.0,970.0,991.0,995.0,1019.0,1032.0,1051.0,1060.0,1074.0,1088.0,1103.0,1109.0,1121.0,1139.0
unmatched_applicants,1195.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,730.0,739.0,744.0,754.0,766.0,796.0,838.0,847.0,873.0,891.0,908.0,929.0,957.0,960.0,977.0,997.0,1020.0,1046.0,1058.0,1065.0,1081.0,1091.0,1097.0,1105.0,1119.0,1139.0
unmatched_applicants,1197.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,728.0,730.0,741.0,764.0,757.0,798.0,813.0,841.0,867.0,880.0,913.0,935.0,947.0,971.0,980.0,997.0,1014.0,1034.0,1053.0,1076.0,1081.0,1095.0,1097.0,1113.0,1124.0,1129.0
unmatched_applicants,1201.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,740.0,742.0,756.0,779.0,786.0,811.0,843.0,866.0,888.0,907.0,928.0,947.0,964.0,972.0,990.0,1021.0,1044.0,1043.0,1051.0,1080.0,1100.0,1111.0,1110.0,1111.0,1137.0
unmatched_applicants,1198.0,726.0,728.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,750.0,755.0,772.0,809.0,806.0,848.0,869.0,894.0,903.0,933.0,939.0,980.0,983.0,1009.0,1018.0,1033.0,1051.0,1058.0,1079.0,1081.0,1097.0,1105.0,1131.0,1131.0
unmatched_applicants,1190.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,730.0,740.0,740.0,757.0,765.0,793.0,812.0,838.0,878.0,892.0,912.0,927.0,947.0,969.0,974.0,1001.0,1013.0,1039.0,1046.0,1058.0,1075.0,1076.0,1092.0,1113.0,1116.0,1141.0
unmatched_applicants,1189.0,726.0,726.0,728.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,730.0,738.0,757.0,773.0,784.0,808.0,840.0,884.0,877.0,906.0,940.0,940.0,965.0,986.0,1008.0,1015.0,1023.0,1060.0,1070.0,1061.0,1099.0,1104.0,1116.0,1120.0,1140.0
unfilled_spots,462.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10.0,36.0,61.0,72.0,96.0,128.0,148.0,169.0,192.0,205.0,209.0,240.0,255.0,267.0,295.0,319.0,329.0,325.0,353.0,350.0,366.0,383.0,389.0,400.0
unfilled_spots,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,18.0,37.0,49.0,64.0,78.0,108.0,148.0,167.0,172.0,203.0,221.0,240.0,265.0,270.0,298.0,309.0,321.0,335.0,350.0,355.0,376.0,389.0,394.0,410.0
unfilled_spots,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,13.0,30.0,38.0,77.0,91.0,112.0,144.0,157.0,178.0,203.0,218.0,233.0,261.0,277.0,292.0,306.0,327.0,321.0,344.0,367.0,375.0,389.0,402.0,402.0
unfilled_spots,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,15.0,21.0,42.0,70.0,97.0,119.0,145.0,162.0,181.0,195.0,221.0,244.0,265.0,269.0,293.0,306.0,325.0,334.0,348.0,362.0,377.0,383.0,395.0,413.0
unfilled_spots,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,18.0,28.0,40.0,70.0,112.0,121.0,147.0,165.0,182.0,203.0,231.0,234.0,251.0,271.0,294.0,320.0,332.0,339.0,355.0,365.0,371.0,379.0,393.0,413.0
unfilled_spots,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,15.0,38.0,31.0,72.0,87.0,115.0,141.0,154.0,187.0,209.0,221.0,245.0,254.0,271.0,288.0,308.0,327.0,350.0,355.0,369.0,371.0,387.0,398.0,403.0
unfilled_spots,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,30.0,53.0,60.0,85.0,117.0,140.0,162.0,181.0,202.0,221.0,238.0,246.0,264.0,295.0,318.0,317.0,325.0,354.0,374.0,385.0,384.0,385.0,411.0
unfilled_spots,472.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,29.0,46.0,83.0,80.0,122.0,143.0,168.0,177.0,207.0,213.0,254.0,257.0,283.0,292.0,307.0,325.0,332.0,353.0,355.0,371.0,379.0,405.0,405.0
unfilled_spots,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,14.0,31.0,39.0,67.0,86.0,112.0,152.0,166.0,186.0,201.0,221.0,243.0,248.0,275.0,287.0,313.0,320.0,332.0,349.0,350.0,366.0,387.0,390.0,415.0
unfilled_spots,463.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,31.0,47.0,58.0,82.0,114.0,158.0,151.0,180.0,214.0,214.0,239.0,260.0,282.0,289.0,297.0,334.0,344.0,335.0,373.0,378.0,390.0,394.0,414.0
reviews_per_program,345.97222222222223,345.97222222222223,345.97222222222223,345.97222222222223,345.97222222222223,345.97222222222223,345.97222222222223,344.75925925925924,331.6388888888889,281.5740740740741,186.38425925925927,122.98148148148148,103.11574074074075,96.74074074074075,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75,206.11111111111111,213.47222222222223,220.83333333333334,228.19444444444446,235.55555555555554,242.91666666666666,250.27777777777777,257.6388888888889,265.0,272.3611111111111,279.72222222222223,287.0833333333333,294.44444444444446
