Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unmatched_applicants,436.0,282.0,275.0,274.0,274.0,274.0,274.0,277.0,278.0,278.0,295.0,301.0,315.0,324.0,330.0,342.0,343.0,363.0,370.0,377.0,376.0,389.0,397.0,396.0,405.0,409.0,410.0,422.0,422.0,431.0
unmatched_applicants,429.0,276.0,277.0,274.0,274.0,274.0,275.0,274.0,278.0,284.0,289.0,300.0,312.0,312.0,329.0,342.0,345.0,358.0,362.0,376.0,375.0,391.0,390.0,400.0,404.0,406.0,413.0,421.0,419.0,428.0
unmatched_applicants,435.0,277.0,276.0,274.0,274.0,274.0,276.0,274.0,277.0,284.0,291.0,299.0,311.0,317.0,336.0,337.0,342.0,358.0,362.0,373.0,375.0,386.0,387.0,402.0,402.0,408.0,415.0,420.0,426.0,423.0
unmatched_applicants,438.0,274.0,275.0,274.0,274.0,274.0,274.0,275.0,279.0,281.0,290.0,294.0,310.0,319.0,324.0,340.0,344.0,361.0,366.0,374.0,381.0,384.0,392.0,390.0,404.0,408.0,418.0,414.0,420.0,427.0
unmatched_applicants,436.0,281.0,274.0,276.0,274.0,274.0,274.0,277.0,278.0,288.0,291.0,303.0,311.0,321.0,325.0,341.0,339.0,360.0,360.0,370.0,378.0,383.0,391.0,399.0,402.0,409.0,413.0,413.0,419.0,424.0
unmatched_applicants,437.0,281.0,274.0,275.0,274.0,274.0,274.0,276.0,277.0,278.0,293.0,300.0,304.0,317.0,319.0,334.0,350.0,359.0,362.0,378.0,378.0,386.0,392.0,391.0,407.0,405.0,410.0,420.0,425.0,423.0
unmatched_applicants,432.0,276.0,275.0,274.0,274.0,274.0,274.0,274.0,277.0,280.0,293.0,299.0,314.0,323.0,333.0,345.0,350.0,358.0,357.0,370.0,381.0,386.0,395.0,397.0,401.0,414.0,416.0,421.0,424.0,428.0
unmatched_applicants,439.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,278.0,284.0,287.0,296.0,311.0,321.0,328.0,336.0,346.0,356.0,363.0,369.0,382.0,390.0,397.0,398.0,408.0,411.0,417.0,419.0,420.0,422.0
unmatched_applicants,435.0,282.0,274.0,274.0,274.0,274.0,274.0,274.0,277.0,278.0,292.0,302.0,305.0,326.0,329.0,336.0,345.0,355.0,361.0,379.0,379.0,391.0,390.0,396.0,403.0,410.0,412.0,421.0,419.0,428.0
unmatched_applicants,436.0,281.0,276.0,274.0,274.0,274.0,274.0,274.0,274.0,284.0,296.0,294.0,305.0,316.0,333.0,339.0,345.0,354.0,368.0,371.0,384.0,384.0,388.0,399.0,405.0,408.0,411.0,419.0,425.0,428.0
