Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
unmatched_applicants,539.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,495.0,497.0,505.0
unmatched_applicants,517.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,496.0,500.0,502.0
unmatched_applicants,532.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,495.0,496.0,498.0,512.0
unmatched_applicants,534.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,495.0,500.0,498.0,508.0
unmatched_applicants,532.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,494.0,508.0
unmatched_applicants,536.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,503.0,503.0
unmatched_applicants,531.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,496.0,496.0,505.0
unmatched_applicants,535.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,497.0,503.0,505.0
unmatched_applicants,534.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,494.0,499.0,509.0
unmatched_applicants,528.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,500.0,502.0,496.0
unfilled_spots,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0
unfilled_spots,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,19.0
unfilled_spots,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,5.0,15.0
unfilled_spots,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
unfilled_spots,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
unfilled_spots,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,12.0
unfilled_spots,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,12.0
unfilled_spots,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,16.0
unfilled_spots,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,3.0
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,121.65714285714286,117.06285714285714,102.62857142857143,84.72571428571429,73.82285714285715,72.34285714285714,75.62285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,121.76571428571428,116.91428571428571,102.68571428571428,85.30857142857143,74.25714285714285,73.24,76.33142857142857,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,121.78857142857143,113.90285714285714,102.23428571428572,83.01714285714286,73.42857142857143,73.22857142857143,75.89142857142858,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,122.16,115.10857142857142,103.02857142857142,83.73714285714286,73.44571428571429,72.45714285714286,75.89142857142858,81.56571428571428,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,121.22857142857143,117.62285714285714,101.13714285714286,86.73714285714286,72.79428571428572,71.44571428571429,75.62285714285714,81.61714285714285,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,122.16,115.85714285714286,104.62285714285714,83.96571428571428,74.35428571428571,70.49714285714286,76.22857142857143,81.64571428571429,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,122.16,113.77142857142857,100.25142857142858,81.86857142857143,72.81142857142858,73.29714285714286,76.19428571428571,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,121.26857142857143,114.98857142857143,103.46285714285715,83.96571428571428,73.50857142857143,72.96571428571428,75.88,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,121.20571428571428,116.00571428571429,102.70285714285714,83.72,73.33142857142857,71.60571428571428,76.14285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
reviews_per_program,122.16,122.16,122.16,122.16,122.16,122.16,122.16,120.74285714285715,116.42857142857143,103.01142857142857,84.98857142857143,75.16571428571429,72.26857142857143,75.81142857142858,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143
pct_interview_given_signal,0.0,1.0618860510805501,1.0466601178781925,1.0366732154551408,1.0329076620825148,1.0278978388998035,1.02030124426981,1.0140331181588549,1.0054027504911591,0.981335952848723,0.943614931237721,0.88024647258439,0.8150785854616895,0.7537403657246486,0.699901768172888,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.0412573673870333,1.0422396856581533,1.039947609692207,1.030451866404715,1.0243614931237721,1.022920759659463,1.0140331181588549,1.006753438113949,0.9800261951538966,0.9392927308447937,0.882032505804608,0.8139325474787165,0.7529847362853257,0.699901768172888,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.0510805500982319,1.0446954813359528,1.039947609692207,1.0333988212180747,1.0278978388998035,1.0211198428290766,1.0119281504350266,1.0031925343811394,0.9826457105435494,0.944204322200393,0.881139489194499,0.81262278978389,0.7536648027807163,0.699901768172888,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.0481335952848723,1.0417485265225934,1.0356908971840209,1.0275049115913557,1.0288801571709234,1.0185003274394238,1.0165590794274488,1.0028241650294696,0.9823182711198428,0.9365422396856582,0.8819432041435971,0.8140962671905697,0.7536648027807163,0.6997614369912994,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.0481335952848723,1.0466601178781925,1.0347085789129011,1.0356090373280944,1.0196463654223968,1.0204649639816634,1.0124894751613809,1.0066306483300589,0.9828640034926872,0.9414538310412573,0.8772995177710305,0.8151604453176162,0.7537403657246486,0.6997614369912994,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.050098231827112,1.0392927308447937,1.0392927308447937,1.0289783889980353,1.0294695481335954,1.0209561231172233,1.0166994106090372,1.0035609037328095,0.9854835188823401,0.9430255402750491,0.8797106626183246,0.8156516044531762,0.7532114251171226,0.6997614369912994,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.0481335952848723,1.0378192534381139,1.0409299279633268,1.0324165029469548,1.0292730844793714,1.0211198428290766,1.0152960987931519,1.0027013752455796,0.9830822964418249,0.9397838899803537,0.88024647258439,0.81286836935167,0.7533625510049872,0.699901768172888,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.0599214145383105,1.0412573673870333,1.0350360183366076,1.031188605108055,1.0275049115913557,1.022920759659463,1.0154364299747405,1.0017190569744596,0.982209124645274,0.9364440078585462,0.8809608858724772,0.8140962671905697,0.7533625510049872,0.699901768172888,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.044204322200393,1.0427308447937131,1.0353634577603144,1.026031434184676,1.0208251473477408,1.0219384413883432,1.0161380858826832,1.006385068762279,0.9853743724077713,0.9415520628683693,0.879442757635292,0.8143418467583498,0.7532869880610549,0.699901768172888,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_signal,0.0,1.0510805500982319,1.043222003929273,1.0350360183366076,1.0294695481335954,1.0263261296660118,1.0204649639816634,1.0123491439797923,1.0050343811394893,0.9819908316961362,0.943909626719057,0.8790855509912484,0.8146692861820564,0.7535136768928518,0.699901768172888,0.6532416502946955,0.612414047151277,0.576389691436496,0.5443680419122462
pct_interview_given_nosignal,0.46660117878192536,0.4368369351669941,0.4055423430875814,0.37158917266972274,0.3333525944759043,0.2911959724950884,0.24512115258677145,0.19288520909346057,0.13503098080701223,0.08055009823182711,0.032952312913020185,0.011591355599214145,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.46660117878192536,0.43786836935166995,0.4060076517423224,0.3710434402968784,0.33393042875303364,0.29230108055009824,0.24407334643091028,0.19288520909346057,0.134199788423757,0.08153241650294696,0.03688158599749956,0.00962671905697446,0.0034926871862038856,0.0012278978388998035,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.46660117878192536,0.43737721021611004,0.405749146934133,0.3710434402968784,0.33323702762047847,0.2911959724950884,0.24479371316306484,0.1939376929553747,0.13639111379779356,0.07956777996070727,0.03241650294695481,0.010609037328094302,0.005239030779305829,0.00012278978388998034,0.0,0.0,0.0,0.0,0.0
