Parameter,0,1,2,3,4,5
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
reviews_per_program,400.6666666666667,400.6666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666
pct_interview_given_signal,0.0,1.0299500831946755,0.718801996672213,0.47920133111480867,0.3594009983361065,0.2875207986688852
pct_interview_given_signal,0.0,1.0316139767054908,0.718801996672213,0.47920133111480867,0.3594009983361065,0.2875207986688852
pct_interview_given_signal,0.0,1.0399334442595674,0.718801996672213,0.47920133111480867,0.3594009983361065,0.2875207986688852
pct_interview_given_signal,0.0,1.0332778702163061,0.718801996672213,0.47920133111480867,0.3594009983361065,0.2875207986688852
pct_interview_given_signal,0.0,1.0366056572379367,0.718801996672213,0.47920133111480867,0.3594009983361065,0.2875207986688852
pct_interview_given_signal,0.0,1.0282861896838602,0.718801996672213,0.47920133111480867,0.3594009983361065,0.2875207986688852
pct_interview_given_signal,0.0,1.0299500831946755,0.718801996672213,0.47920133111480867,0.3594009983361065,0.2875207986688852
