Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,697.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,563.0,562.0,564.0,571.0,577.0,579.0,587.0,591.0,605.0,609.0,610.0,615.0,628.0,637.0,631.0,643.0,645.0,648.0,654.0,660.0,659.0,668.0,671.0,672.0,676.0,679.0,681.0,683.0
unmatched_applicants,696.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,563.0,569.0,574.0,580.0,585.0,587.0,602.0,597.0,612.0,616.0,617.0,628.0,636.0,635.0,635.0,643.0,650.0,653.0,660.0,662.0,664.0,669.0,671.0,676.0,677.0,681.0,682.0
unmatched_applicants,694.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,564.0,562.0,565.0,569.0,572.0,578.0,587.0,598.0,605.0,611.0,614.0,619.0,622.0,634.0,642.0,643.0,645.0,653.0,656.0,655.0,660.0,664.0,667.0,671.0,673.0,678.0,684.0,686.0
unmatched_applicants,696.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,564.0,566.0,572.0,583.0,586.0,598.0,602.0,607.0,611.0,621.0,627.0,634.0,628.0,641.0,650.0,648.0,655.0,661.0,663.0,664.0,669.0,674.0,675.0,677.0,681.0,684.0
unmatched_applicants,696.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,564.0,562.0,564.0,566.0,571.0,582.0,583.0,598.0,600.0,613.0,612.0,621.0,623.0,631.0,630.0,640.0,640.0,650.0,654.0,657.0,658.0,663.0,669.0,669.0,673.0,677.0,679.0,684.0
unmatched_applicants,694.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,564.0,564.0,570.0,586.0,590.0,600.0,599.0,609.0,613.0,617.0,626.0,628.0,640.0,641.0,644.0,649.0,656.0,654.0,661.0,666.0,664.0,673.0,671.0,679.0,680.0,679.0
unmatched_applicants,698.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,572.0,575.0,583.0,591.0,595.0,608.0,605.0,616.0,623.0,627.0,629.0,642.0,632.0,648.0,653.0,655.0,659.0,660.0,661.0,668.0,670.0,679.0,680.0,682.0,682.0
unmatched_applicants,695.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,568.0,572.0,580.0,576.0,587.0,599.0,604.0,610.0,618.0,622.0,635.0,631.0,634.0,637.0,643.0,647.0,655.0,658.0,663.0,662.0,668.0,675.0,673.0,679.0,681.0,684.0
unmatched_applicants,697.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,564.0,562.0,571.0,581.0,581.0,584.0,599.0,606.0,607.0,616.0,624.0,632.0,629.0,638.0,641.0,646.0,650.0,656.0,661.0,659.0,666.0,664.0,670.0,673.0,679.0,683.0,682.0
unmatched_applicants,694.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,570.0,575.0,584.0,581.0,596.0,601.0,605.0,613.0,624.0,628.0,635.0,636.0,643.0,652.0,645.0,655.0,664.0,663.0,660.0,666.0,667.0,674.0,682.0,683.0,683.0
unfilled_spots,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,15.0,17.0,25.0,29.0,43.0,47.0,48.0,53.0,66.0,75.0,69.0,81.0,83.0,86.0,92.0,98.0,97.0,106.0,109.0,110.0,114.0,117.0,119.0,121.0
unfilled_spots,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,18.0,23.0,25.0,40.0,35.0,50.0,54.0,55.0,66.0,74.0,73.0,73.0,81.0,88.0,91.0,98.0,100.0,102.0,107.0,109.0,114.0,115.0,119.0,120.0
unfilled_spots,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,7.0,10.0,16.0,25.0,36.0,43.0,49.0,52.0,57.0,60.0,72.0,80.0,81.0,83.0,91.0,94.0,93.0,98.0,102.0,105.0,109.0,111.0,116.0,122.0,124.0
unfilled_spots,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,21.0,24.0,36.0,40.0,45.0,49.0,59.0,65.0,72.0,66.0,79.0,88.0,86.0,93.0,99.0,101.0,102.0,107.0,112.0,113.0,115.0,119.0,122.0
