Parameter,0,1,2,3,4
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unmatched_applicants,562.0,562.0,562.0,562.0,562.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,84.49090909090908
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,84.65454545454546
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,84.9090909090909
reviews_per_program,85.30909090909091,85.30909090909091,85.30909090909091,85.30909090909091,84.81818181818181
pct_interview_given_signal,0.0,1.0831202046035806,1.061381074168798,1.037936913895993,1.0242966751918159
pct_interview_given_signal,0.0,1.0805626598465474,1.0620204603580563,1.036231884057971,1.020460358056266
pct_interview_given_signal,0.0,1.0626598465473145,1.0473145780051152,1.0387894288150044,1.0195012787723785
pct_interview_given_signal,0.0,1.081841432225064,1.065856777493606,1.0439045183290707,1.020780051150895
pct_interview_given_signal,0.0,1.092071611253197,1.0556265984654731,1.0387894288150044,1.020780051150895
pct_interview_given_signal,0.0,1.0754475703324808,1.063299232736573,1.0404944586530265,1.0230179028132993
pct_interview_given_signal,0.0,1.078005115089514,1.067774936061381,1.0375106564364875,1.022378516624041
pct_interview_given_signal,0.0,1.092071611253197,1.0505115089514065,1.0439045183290707,1.0284526854219949
pct_interview_given_signal,0.0,1.0856777493606138,1.0549872122762147,1.0447570332480818,1.0159846547314577
pct_interview_given_signal,0.0,1.0728900255754477,1.061381074168798,1.0434782608695652,1.024936061381074
pct_interview_given_nosignal,0.8883205456095482,0.8442455242966752,0.7960358056265985,0.7348678601875532,0.6042199488491049
pct_interview_given_nosignal,0.8870417732310315,0.8442455242966752,0.7953964194373402,0.7254901960784313,0.612531969309463
pct_interview_given_nosignal,0.8870417732310315,0.8460358056265984,0.801150895140665,0.726768968456948,0.6214833759590793
pct_interview_given_nosignal,0.8832054560954816,0.8437340153452686,0.7992327365728901,0.7178175618073316,0.5946291560102301
pct_interview_given_nosignal,0.88384484228474,0.8447570332480818,0.7982736572890026,0.717391304347826,0.6074168797953964
pct_interview_given_nosignal,0.8855498721227621,0.8329923273657289,0.7845268542199488,0.7212276214833759,0.5991048593350383
pct_interview_given_nosignal,0.88384484228474,0.8439897698209718,0.7886828644501279,0.731457800511509,0.6118925831202046
pct_interview_given_nosignal,0.8827791986359761,0.8416879795396419,0.8014705882352942,0.7203751065643649,0.600383631713555
pct_interview_given_nosignal,0.8844842284739983,0.8483375959079283,0.7861253196930946,0.7144075021312873,0.6054987212276215
pct_interview_given_nosignal,0.8808610400682012,0.8460358056265984,0.7989130434782609,0.7225063938618926,0.592071611253197
pct_interview_given_application,0.8883205456095482,0.8840579710144928,0.8844842284739983,0.8864023870417732,0.8842710997442456
pct_interview_given_application,0.8870417732310315,0.8836317135549873,0.8842710997442456,0.8808610400682012,0.8844842284739983
pct_interview_given_application,0.8870417732310315,0.8821398124467178,0.8832054560954816,0.8827791986359761,0.8868286445012787
pct_interview_given_application,0.8832054560954816,0.8834185848252344,0.8881074168797954,0.8808610400682012,0.8787297527706734
pct_interview_given_application,0.88384484228474,0.8859761295822677,0.8840579710144928,0.8780903665814151,0.8829923273657289
pct_interview_given_application,0.8855498721227621,0.8734015345268542,0.8774509803921569,0.8808610400682012,0.8817135549872123
pct_interview_given_application,0.88384484228474,0.8829923273657289,0.8817135549872123,0.8844842284739983,0.8855498721227621
pct_interview_given_application,0.8827791986359761,0.8834185848252344,0.8844842284739983,0.8821398124467178,0.8857630008525149
pct_interview_given_application,0.8844842284739983,0.8878942881500427,0.8757459505541347,0.8795822676896846,0.879156010230179
pct_interview_given_application,0.8808610400682012,0.88384484228474,0.8864023870417732,0.8829923273657289,0.8806479113384484
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9954545454545455,1.0,1.0,1.0
