Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,344.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,219.0,220.0,224.0,231.0,235.0,240.0,253.0,253.0,259.0,265.0,268.0,278.0,284.0,281.0,292.0,295.0,294.0,297.0,301.0,304.0,306.0,311.0,313.0,314.0,318.0,319.0,319.0,324.0,325.0,326.0,327.0,329.0
unmatched_applicants,344.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,218.0,223.0,222.0,231.0,237.0,243.0,249.0,250.0,263.0,268.0,276.0,272.0,281.0,281.0,291.0,292.0,300.0,299.0,297.0,302.0,306.0,312.0,312.0,313.0,317.0,320.0,322.0,324.0,328.0,327.0,327.0,331.0
unmatched_applicants,346.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,215.0,218.0,219.0,221.0,228.0,239.0,241.0,246.0,253.0,261.0,267.0,271.0,270.0,277.0,285.0,290.0,294.0,293.0,298.0,306.0,306.0,306.0,307.0,314.0,315.0,316.0,320.0,319.0,327.0,325.0,329.0,329.0,333.0
unmatched_applicants,347.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,215.0,220.0,220.0,220.0,233.0,234.0,245.0,244.0,249.0,266.0,269.0,268.0,276.0,282.0,286.0,289.0,293.0,293.0,299.0,299.0,307.0,307.0,310.0,312.0,312.0,320.0,316.0,323.0,322.0,329.0,327.0,330.0,331.0
unmatched_applicants,344.0,214.0,215.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,220.0,223.0,227.0,239.0,243.0,247.0,252.0,266.0,269.0,272.0,276.0,289.0,285.0,290.0,294.0,293.0,303.0,304.0,304.0,308.0,310.0,307.0,314.0,317.0,319.0,322.0,320.0,325.0,327.0,327.0,332.0
unmatched_applicants,344.0,214.0,214.0,214.0,214.0,214.0,214.0,215.0,214.0,216.0,218.0,222.0,235.0,238.0,246.0,251.0,249.0,263.0,268.0,272.0,278.0,277.0,284.0,286.0,291.0,291.0,302.0,304.0,306.0,309.0,309.0,315.0,315.0,316.0,320.0,324.0,326.0,326.0,330.0,330.0,333.0
unmatched_applicants,345.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,217.0,218.0,216.0,229.0,234.0,244.0,245.0,260.0,256.0,265.0,264.0,276.0,277.0,289.0,288.0,292.0,295.0,299.0,301.0,309.0,311.0,312.0,313.0,314.0,321.0,319.0,324.0,323.0,323.0,328.0,331.0,331.0
unmatched_applicants,347.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,217.0,219.0,226.0,234.0,234.0,240.0,251.0,252.0,259.0,259.0,270.0,273.0,276.0,280.0,290.0,294.0,297.0,297.0,301.0,304.0,309.0,312.0,308.0,314.0,319.0,323.0,325.0,327.0,326.0,325.0,330.0,332.0
unmatched_applicants,341.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,217.0,220.0,224.0,227.0,235.0,244.0,247.0,255.0,260.0,263.0,266.0,276.0,285.0,283.0,289.0,295.0,294.0,300.0,302.0,308.0,310.0,311.0,313.0,313.0,320.0,317.0,320.0,326.0,326.0,329.0,326.0,333.0
unmatched_applicants,343.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,217.0,222.0,224.0,231.0,237.0,244.0,247.0,254.0,259.0,265.0,271.0,279.0,281.0,288.0,292.0,293.0,291.0,299.0,299.0,302.0,310.0,309.0,314.0,312.0,321.0,321.0,322.0,323.0,327.0,329.0,327.0,332.0
