Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
unmatched_applicants,2033.0,1262.0,1261.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1259.0,1265.0,1269.0,1305.0,1312.0,1408.0,1442.0,1495.0,1572.0,1609.0,1684.0,1762.0,1811.0,1857.0,1902.0
unmatched_applicants,2032.0,1260.0,1264.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1294.0,1299.0,1355.0,1376.0,1464.0,1524.0,1565.0,1640.0,1711.0,1751.0,1818.0,1867.0,1925.0
unmatched_applicants,2039.0,1262.0,1266.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1272.0,1291.0,1323.0,1384.0,1434.0,1492.0,1583.0,1663.0,1666.0,1758.0,1811.0,1854.0,1883.0
unmatched_applicants,2040.0,1268.0,1261.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1261.0,1263.0,1282.0,1328.0,1379.0,1458.0,1516.0,1566.0,1643.0,1698.0,1756.0,1806.0,1852.0,1912.0
unmatched_applicants,2030.0,1263.0,1267.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1260.0,1272.0,1298.0,1331.0,1373.0,1439.0,1523.0,1585.0,1615.0,1685.0,1745.0,1819.0,1868.0,1906.0
unmatched_applicants,2020.0,1260.0,1263.0,1259.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1277.0,1290.0,1340.0,1387.0,1483.0,1513.0,1569.0,1637.0,1669.0,1737.0,1799.0,1845.0,1899.0
unmatched_applicants,2029.0,1262.0,1260.0,1260.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1262.0,1271.0,1277.0,1341.0,1391.0,1442.0,1502.0,1569.0,1641.0,1665.0,1751.0,1787.0,1852.0,1918.0
unmatched_applicants,2037.0,1268.0,1261.0,1259.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1264.0,1272.0,1293.0,1331.0,1387.0,1439.0,1511.0,1568.0,1633.0,1690.0,1769.0,1800.0,1844.0,1914.0
unmatched_applicants,2024.0,1268.0,1261.0,1260.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1285.0,1286.0,1340.0,1404.0,1452.0,1507.0,1555.0,1628.0,1689.0,1747.0,1805.0,1860.0,1910.0
unmatched_applicants,2006.0,1265.0,1264.0,1260.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1260.0,1266.0,1297.0,1357.0,1382.0,1462.0,1514.0,1569.0,1649.0,1670.0,1751.0,1814.0,1865.0,1908.0
unfilled_spots,775.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,47.0,54.0,150.0,184.0,237.0,314.0,351.0,426.0,504.0,553.0,599.0,644.0
unfilled_spots,774.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,41.0,97.0,118.0,206.0,266.0,307.0,382.0,453.0,493.0,560.0,609.0,667.0
unfilled_spots,781.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,65.0,126.0,176.0,234.0,325.0,405.0,408.0,500.0,553.0,596.0,625.0
unfilled_spots,782.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,24.0,70.0,121.0,200.0,258.0,308.0,385.0,440.0,498.0,548.0,594.0,654.0
unfilled_spots,772.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,40.0,73.0,115.0,181.0,265.0,327.0,357.0,427.0,487.0,561.0,610.0,648.0
unfilled_spots,762.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,82.0,129.0,225.0,255.0,311.0,379.0,411.0,479.0,541.0,587.0,641.0
unfilled_spots,771.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,19.0,83.0,133.0,184.0,244.0,311.0,383.0,407.0,493.0,529.0,594.0,660.0
unfilled_spots,779.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,35.0,73.0,129.0,181.0,253.0,310.0,375.0,432.0,511.0,542.0,586.0,656.0
unfilled_spots,766.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,82.0,146.0,194.0,249.0,297.0,370.0,431.0,489.0,547.0,602.0,652.0
unfilled_spots,748.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,39.0,99.0,124.0,204.0,256.0,311.0,391.0,412.0,493.0,556.0,607.0,650.0
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,226.42821782178217,209.46534653465346,162.41831683168317,117.06188118811882,95.89356435643565,98.37871287128714,105.78465346534654,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,224.53217821782178,208.7351485148515,161.16831683168317,113.67079207920793,96.9009900990099,99.11138613861387,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,225.94059405940595,208.21534653465346,160.01732673267327,116.6509900990099,97.74009900990099,97.66584158415841,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,224.69306930693068,209.61138613861385,164.11138613861385,114.87128712871286,100.0569306930693,98.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
