Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,2223.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1806.0,1814.0,1839.0,1860.0,1917.0,1968.0,2010.0,2060.0
unmatched_applicants,2208.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1801.0,1798.0,1798.0,1803.0,1823.0,1861.0,1922.0,1961.0,2009.0,2061.0
unmatched_applicants,2228.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1798.0,1799.0,1829.0,1849.0,1911.0,1964.0,2026.0,2091.0
unmatched_applicants,2218.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1802.0,1808.0,1842.0,1869.0,1914.0,1959.0,2023.0,2082.0
unmatched_applicants,2215.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1801.0,1806.0,1841.0,1858.0,1900.0,1957.0,2027.0,2072.0
unmatched_applicants,2233.0,1797.0,1797.0,1798.0,1797.0,1797.0,1797.0,1797.0,1797.0,1801.0,1809.0,1825.0,1851.0,1915.0,1959.0,2026.0,2077.0
unmatched_applicants,2217.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1818.0,1831.0,1872.0,1910.0,1955.0,2023.0,2069.0
unmatched_applicants,2222.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1800.0,1811.0,1829.0,1859.0,1912.0,1965.0,2015.0,2063.0
unmatched_applicants,2228.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1801.0,1807.0,1832.0,1854.0,1924.0,1966.0,2005.0,2075.0
unmatched_applicants,2204.0,1798.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1800.0,1808.0,1833.0,1858.0,1884.0,1969.0,2022.0,2055.0
unfilled_spots,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,42.0,63.0,120.0,171.0,213.0,263.0
unfilled_spots,411.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,26.0,64.0,125.0,164.0,212.0,264.0
unfilled_spots,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,32.0,52.0,114.0,167.0,229.0,294.0
unfilled_spots,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,45.0,72.0,117.0,162.0,226.0,285.0
unfilled_spots,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,44.0,61.0,103.0,160.0,230.0,275.0
unfilled_spots,436.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,28.0,54.0,118.0,162.0,229.0,280.0
unfilled_spots,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,34.0,75.0,113.0,158.0,226.0,272.0
unfilled_spots,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,32.0,62.0,115.0,168.0,218.0,266.0
unfilled_spots,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,35.0,57.0,127.0,169.0,208.0,278.0
unfilled_spots,407.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,36.0,61.0,87.0,172.0,225.0,258.0
reviews_per_program,166.56498673740052,166.56498673740052,166.56498673740052,166.56498673740052,164.79840848806367,129.16445623342176,80.92307692307692,65.87267904509284,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992
reviews_per_program,166.56498673740052,166.56498673740052,166.56498673740052,166.17506631299736,164.026525198939,130.58355437665782,79.80901856763926,64.03713527851458,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992
