Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,2577.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1798.0,1800.0,1814.0,1819.0,1849.0,1905.0,1916.0,1947.0,2021.0,2038.0,2078.0,2107.0,2157.0,2169.0,2203.0,2243.0,2280.0,2294.0,2331.0,2350.0,2392.0,2405.0,2421.0,2452.0,2475.0,2486.0,2520.0
unmatched_applicants,2586.0,1801.0,1799.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1803.0,1797.0,1801.0,1838.0,1861.0,1883.0,1929.0,1949.0,2013.0,2024.0,2075.0,2120.0,2156.0,2175.0,2219.0,2263.0,2266.0,2303.0,2316.0,2363.0,2375.0,2408.0,2425.0,2445.0,2460.0,2482.0,2502.0
unmatched_applicants,2588.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1798.0,1797.0,1819.0,1832.0,1844.0,1880.0,1919.0,1949.0,1991.0,2015.0,2074.0,2107.0,2150.0,2176.0,2214.0,2242.0,2278.0,2299.0,2343.0,2365.0,2380.0,2400.0,2412.0,2445.0,2463.0,2478.0,2498.0
unmatched_applicants,2584.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1799.0,1802.0,1817.0,1833.0,1848.0,1869.0,1909.0,1972.0,2007.0,2057.0,2081.0,2107.0,2152.0,2192.0,2205.0,2247.0,2268.0,2302.0,2324.0,2343.0,2363.0,2394.0,2424.0,2457.0,2467.0,2474.0,2506.0
unmatched_applicants,2597.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1798.0,1803.0,1813.0,1823.0,1860.0,1896.0,1935.0,1945.0,1995.0,2033.0,2052.0,2111.0,2147.0,2178.0,2221.0,2234.0,2266.0,2307.0,2337.0,2358.0,2363.0,2421.0,2432.0,2451.0,2472.0,2480.0,2494.0
unmatched_applicants,2593.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1800.0,1813.0,1822.0,1857.0,1883.0,1913.0,1963.0,1994.0,2040.0,2065.0,2116.0,2133.0,2180.0,2218.0,2245.0,2273.0,2305.0,2326.0,2355.0,2368.0,2405.0,2429.0,2455.0,2467.0,2478.0,2490.0
unmatched_applicants,2588.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1798.0,1809.0,1826.0,1864.0,1903.0,1915.0,1969.0,2006.0,2049.0,2075.0,2120.0,2161.0,2200.0,2211.0,2250.0,2281.0,2311.0,2329.0,2354.0,2373.0,2403.0,2425.0,2447.0,2475.0,2490.0,2506.0
unmatched_applicants,2587.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1799.0,1805.0,1837.0,1863.0,1889.0,1928.0,1955.0,1979.0,2031.0,2060.0,2100.0,2149.0,2165.0,2229.0,2248.0,2263.0,2311.0,2330.0,2361.0,2377.0,2398.0,2439.0,2457.0,2462.0,2478.0,2502.0
unmatched_applicants,2590.0,1797.0,1798.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1803.0,1802.0,1802.0,1810.0,1851.0,1871.0,1922.0,1943.0,2011.0,2035.0,2081.0,2102.0,2146.0,2178.0,2213.0,2256.0,2280.0,2307.0,2322.0,2359.0,2386.0,2399.0,2431.0,2433.0,2471.0,2492.0,2508.0
unmatched_applicants,2580.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1798.0,1798.0,1806.0,1828.0,1837.0,1887.0,1914.0,1957.0,2009.0,2038.0,2078.0,2088.0,2167.0,2177.0,2225.0,2233.0,2270.0,2306.0,2340.0,2345.0,2379.0,2416.0,2437.0,2451.0,2466.0,2502.0,2510.0
