Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
unmatched_applicants,1998.0,1194.0,1185.0,1185.0,1204.0,1242.0,1330.0,1398.0,1476.0,1533.0,1596.0,1640.0,1663.0,1711.0,1746.0,1771.0,1794.0,1813.0,1836.0,1859.0,1870.0,1894.0,1899.0,1914.0,1918.0,1933.0,1944.0,1952.0,1960.0,1976.0,1968.0
unmatched_applicants,1997.0,1195.0,1185.0,1186.0,1204.0,1251.0,1327.0,1395.0,1466.0,1527.0,1585.0,1636.0,1675.0,1721.0,1738.0,1781.0,1787.0,1810.0,1841.0,1854.0,1878.0,1885.0,1895.0,1912.0,1917.0,1922.0,1946.0,1959.0,1966.0,1965.0,1965.0
unmatched_applicants,2000.0,1189.0,1185.0,1185.0,1210.0,1250.0,1326.0,1402.0,1471.0,1535.0,1588.0,1635.0,1683.0,1709.0,1735.0,1760.0,1788.0,1799.0,1838.0,1859.0,1869.0,1882.0,1895.0,1914.0,1925.0,1928.0,1947.0,1955.0,1958.0,1966.0,1992.0
unmatched_applicants,2006.0,1202.0,1185.0,1185.0,1200.0,1268.0,1335.0,1405.0,1485.0,1528.0,1587.0,1635.0,1670.0,1713.0,1737.0,1757.0,1780.0,1810.0,1835.0,1855.0,1871.0,1874.0,1901.0,1917.0,1926.0,1937.0,1938.0,1951.0,1956.0,1968.0,1973.0
unmatched_applicants,2006.0,1191.0,1185.0,1185.0,1210.0,1274.0,1322.0,1406.0,1459.0,1541.0,1595.0,1634.0,1667.0,1705.0,1731.0,1759.0,1782.0,1819.0,1832.0,1871.0,1873.0,1878.0,1899.0,1910.0,1920.0,1940.0,1935.0,1958.0,1966.0,1981.0,1980.0
unmatched_applicants,2002.0,1189.0,1185.0,1186.0,1204.0,1255.0,1330.0,1394.0,1460.0,1540.0,1574.0,1650.0,1668.0,1704.0,1736.0,1757.0,1784.0,1823.0,1839.0,1856.0,1872.0,1886.0,1896.0,1901.0,1921.0,1943.0,1949.0,1967.0,1949.0,1973.0,1983.0
unmatched_applicants,1991.0,1196.0,1185.0,1185.0,1216.0,1238.0,1335.0,1395.0,1464.0,1544.0,1572.0,1629.0,1683.0,1697.0,1746.0,1765.0,1790.0,1817.0,1839.0,1838.0,1861.0,1886.0,1898.0,1912.0,1931.0,1932.0,1941.0,1956.0,1964.0,1971.0,1978.0
unmatched_applicants,2003.0,1189.0,1185.0,1187.0,1199.0,1231.0,1320.0,1415.0,1470.0,1518.0,1606.0,1625.0,1669.0,1703.0,1743.0,1771.0,1800.0,1827.0,1829.0,1851.0,1869.0,1882.0,1906.0,1905.0,1926.0,1936.0,1945.0,1967.0,1963.0,1976.0,1981.0
unmatched_applicants,2014.0,1188.0,1185.0,1186.0,1216.0,1251.0,1334.0,1395.0,1475.0,1528.0,1587.0,1619.0,1674.0,1702.0,1734.0,1771.0,1808.0,1816.0,1843.0,1852.0,1868.0,1892.0,1898.0,1915.0,1918.0,1937.0,1945.0,1950.0,1972.0,1972.0,1990.0
unmatched_applicants,1997.0,1188.0,1185.0,1187.0,1201.0,1255.0,1336.0,1406.0,1474.0,1549.0,1582.0,1646.0,1686.0,1708.0,1747.0,1775.0,1791.0,1811.0,1827.0,1842.0,1869.0,1891.0,1898.0,1919.0,1917.0,1926.0,1940.0,1959.0,1961.0,1967.0,1980.0
unfilled_spots,813.0,9.0,0.0,0.0,19.0,57.0,145.0,213.0,291.0,348.0,411.0,455.0,478.0,526.0,561.0,586.0,609.0,628.0,651.0,674.0,685.0,709.0,714.0,729.0,733.0,748.0,759.0,767.0,775.0,791.0,783.0
unfilled_spots,812.0,10.0,0.0,1.0,19.0,66.0,142.0,210.0,281.0,342.0,400.0,451.0,490.0,536.0,553.0,596.0,602.0,625.0,656.0,669.0,693.0,700.0,710.0,727.0,732.0,737.0,761.0,774.0,781.0,780.0,780.0
unfilled_spots,815.0,4.0,0.0,0.0,25.0,65.0,141.0,217.0,286.0,350.0,403.0,450.0,498.0,524.0,550.0,575.0,603.0,614.0,653.0,674.0,684.0,697.0,710.0,729.0,740.0,743.0,762.0,770.0,773.0,781.0,807.0
unfilled_spots,821.0,17.0,0.0,0.0,15.0,83.0,150.0,220.0,300.0,343.0,402.0,450.0,485.0,528.0,552.0,572.0,595.0,625.0,650.0,670.0,686.0,689.0,716.0,732.0,741.0,752.0,753.0,766.0,771.0,783.0,788.0
unfilled_spots,821.0,6.0,0.0,0.0,25.0,89.0,137.0,221.0,274.0,356.0,410.0,449.0,482.0,520.0,546.0,574.0,597.0,634.0,647.0,686.0,688.0,693.0,714.0,725.0,735.0,755.0,750.0,773.0,781.0,796.0,795.0
unfilled_spots,817.0,4.0,0.0,1.0,19.0,70.0,145.0,209.0,275.0,355.0,389.0,465.0,483.0,519.0,551.0,572.0,599.0,638.0,654.0,671.0,687.0,701.0,711.0,716.0,736.0,758.0,764.0,782.0,764.0,788.0,798.0
unfilled_spots,806.0,11.0,0.0,0.0,31.0,53.0,150.0,210.0,279.0,359.0,387.0,444.0,498.0,512.0,561.0,580.0,605.0,632.0,654.0,653.0,676.0,701.0,713.0,727.0,746.0,747.0,756.0,771.0,779.0,786.0,793.0
unfilled_spots,818.0,4.0,0.0,2.0,14.0,46.0,135.0,230.0,285.0,333.0,421.0,440.0,484.0,518.0,558.0,586.0,615.0,642.0,644.0,666.0,684.0,697.0,721.0,720.0,741.0,751.0,760.0,782.0,778.0,791.0,796.0
unfilled_spots,829.0,3.0,0.0,1.0,31.0,66.0,149.0,210.0,290.0,343.0,402.0,434.0,489.0,517.0,549.0,586.0,623.0,631.0,658.0,667.0,683.0,707.0,713.0,730.0,733.0,752.0,760.0,765.0,787.0,787.0,805.0
unfilled_spots,812.0,3.0,0.0,2.0,16.0,70.0,151.0,221.0,289.0,364.0,397.0,461.0,501.0,523.0,562.0,590.0,606.0,626.0,642.0,657.0,684.0,706.0,713.0,734.0,732.0,741.0,755.0,774.0,776.0,782.0,795.0
reviews_per_program,281.82758620689657,281.82758620689657,216.58620689655172,56.49425287356322,35.05747126436781,42.701149425287355,51.241379310344826,59.7816091954023,68.32183908045977,76.86206896551724,85.40229885057471,93.94252873563218,102.48275862068965,111.02298850574712,119.5632183908046,128.10344827586206,136.64367816091954,145.183908045977,153.72413793103448,162.26436781609195,170.80459770114942,179.3448275862069,187.88505747126436,196.42528735632183,204.9655172413793,213.50574712643677,222.04597701149424,230.58620689655172,239.1264367816092,247.66666666666666,256.2068965517241
reviews_per_program,281.82758620689657,281.82758620689657,214.32183908045977,49.15325670498084,34.160919540229884,42.701149425287355,51.241379310344826,59.7816091954023,68.32183908045977,76.86206896551724,85.40229885057471,93.94252873563218,102.48275862068965,111.02298850574712,119.5632183908046,128.10344827586206,136.64367816091954,145.183908045977,153.72413793103448,162.26436781609195,170.80459770114942,179.3448275862069,187.88505747126436,196.42528735632183,204.9655172413793,213.50574712643677,222.04597701149424,230.58620689655172,239.1264367816092,247.66666666666666,256.2068965517241
reviews_per_program,281.82758620689657,281.82758620689657,210.37164750957854,53.45593869731801,34.160919540229884,42.701149425287355,51.241379310344826,59.7816091954023,68.32183908045977,76.86206896551724,85.40229885057471,93.94252873563218,102.48275862068965,111.02298850574712,119.5632183908046,128.10344827586206,136.64367816091954,145.183908045977,153.72413793103448,162.26436781609195,170.80459770114942,179.3448275862069,187.88505747126436,196.42528735632183,204.9655172413793,213.50574712643677,222.04597701149424,230.58620689655172,239.1264367816092,247.66666666666666,256.2068965517241
