Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1885.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1187.0,1185.0,1187.0,1195.0,1223.0,1250.0,1282.0,1312.0,1348.0,1399.0,1430.0,1451.0,1475.0,1503.0,1525.0,1536.0,1573.0,1596.0,1614.0,1640.0,1646.0,1650.0,1683.0,1704.0,1698.0,1721.0,1742.0,1733.0,1760.0,1779.0,1790.0
unmatched_applicants,1894.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1188.0,1189.0,1207.0,1224.0,1254.0,1290.0,1330.0,1347.0,1392.0,1427.0,1438.0,1474.0,1504.0,1521.0,1548.0,1575.0,1586.0,1605.0,1638.0,1644.0,1659.0,1689.0,1705.0,1723.0,1730.0,1735.0,1748.0,1758.0,1768.0,1779.0
unmatched_applicants,1891.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1187.0,1191.0,1204.0,1232.0,1255.0,1303.0,1328.0,1354.0,1382.0,1411.0,1454.0,1467.0,1503.0,1533.0,1566.0,1579.0,1597.0,1616.0,1648.0,1635.0,1667.0,1667.0,1703.0,1724.0,1722.0,1741.0,1749.0,1761.0,1768.0,1775.0
unmatched_applicants,1894.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1186.0,1194.0,1203.0,1232.0,1249.0,1280.0,1324.0,1358.0,1397.0,1412.0,1456.0,1478.0,1501.0,1529.0,1572.0,1580.0,1574.0,1607.0,1626.0,1649.0,1671.0,1692.0,1703.0,1722.0,1724.0,1742.0,1743.0,1765.0,1767.0,1793.0
unmatched_applicants,1898.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1188.0,1193.0,1235.0,1263.0,1293.0,1325.0,1365.0,1373.0,1415.0,1459.0,1493.0,1510.0,1534.0,1548.0,1560.0,1582.0,1607.0,1633.0,1647.0,1674.0,1687.0,1707.0,1714.0,1727.0,1735.0,1742.0,1758.0,1769.0,1784.0
unmatched_applicants,1887.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1186.0,1189.0,1209.0,1234.0,1253.0,1283.0,1319.0,1367.0,1399.0,1426.0,1447.0,1478.0,1504.0,1516.0,1559.0,1558.0,1596.0,1611.0,1625.0,1658.0,1663.0,1684.0,1704.0,1720.0,1722.0,1731.0,1740.0,1756.0,1775.0,1795.0
unmatched_applicants,1890.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1189.0,1192.0,1210.0,1237.0,1237.0,1282.0,1321.0,1352.0,1398.0,1420.0,1443.0,1479.0,1504.0,1535.0,1553.0,1577.0,1593.0,1609.0,1636.0,1640.0,1656.0,1686.0,1698.0,1716.0,1725.0,1738.0,1750.0,1753.0,1780.0,1790.0
unmatched_applicants,1892.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1196.0,1207.0,1244.0,1272.0,1278.0,1308.0,1362.0,1399.0,1420.0,1446.0,1463.0,1498.0,1529.0,1549.0,1573.0,1589.0,1619.0,1620.0,1649.0,1663.0,1684.0,1693.0,1717.0,1720.0,1714.0,1754.0,1758.0,1781.0,1784.0
unmatched_applicants,1889.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1194.0,1205.0,1215.0,1257.0,1285.0,1321.0,1360.0,1387.0,1408.0,1448.0,1480.0,1508.0,1533.0,1559.0,1576.0,1607.0,1608.0,1644.0,1652.0,1667.0,1687.0,1693.0,1702.0,1727.0,1745.0,1748.0,1762.0,1771.0,1770.0
unmatched_applicants,1891.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1187.0,1192.0,1192.0,1210.0,1228.0,1259.0,1307.0,1326.0,1366.0,1392.0,1423.0,1447.0,1462.0,1515.0,1534.0,1561.0,1577.0,1580.0,1612.0,1650.0,1650.0,1655.0,1686.0,1697.0,1714.0,1719.0,1737.0,1751.0,1765.0,1776.0,1780.0
unfilled_spots,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,38.0,65.0,97.0,127.0,163.0,214.0,245.0,266.0,290.0,318.0,340.0,351.0,388.0,411.0,429.0,455.0,461.0,465.0,498.0,519.0,513.0,536.0,557.0,548.0,575.0,594.0,605.0
unfilled_spots,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,22.0,39.0,69.0,105.0,145.0,162.0,207.0,242.0,253.0,289.0,319.0,336.0,363.0,390.0,401.0,420.0,453.0,459.0,474.0,504.0,520.0,538.0,545.0,550.0,563.0,573.0,583.0,594.0
unfilled_spots,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,19.0,47.0,70.0,118.0,143.0,169.0,197.0,226.0,269.0,282.0,318.0,348.0,381.0,394.0,412.0,431.0,463.0,450.0,482.0,482.0,518.0,539.0,537.0,556.0,564.0,576.0,583.0,590.0
unfilled_spots,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,47.0,64.0,95.0,139.0,173.0,212.0,227.0,271.0,293.0,316.0,344.0,387.0,395.0,389.0,422.0,441.0,464.0,486.0,507.0,518.0,537.0,539.0,557.0,558.0,580.0,582.0,608.0
unfilled_spots,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,50.0,78.0,108.0,140.0,180.0,188.0,230.0,274.0,308.0,325.0,349.0,363.0,375.0,397.0,422.0,448.0,462.0,489.0,502.0,522.0,529.0,542.0,550.0,557.0,573.0,584.0,599.0
unfilled_spots,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,49.0,68.0,98.0,134.0,182.0,214.0,241.0,262.0,293.0,319.0,331.0,374.0,373.0,411.0,426.0,440.0,473.0,478.0,499.0,519.0,535.0,537.0,546.0,555.0,571.0,590.0,610.0
unfilled_spots,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,25.0,52.0,52.0,97.0,136.0,167.0,213.0,235.0,258.0,294.0,319.0,350.0,368.0,392.0,408.0,424.0,451.0,455.0,471.0,501.0,513.0,531.0,540.0,553.0,565.0,568.0,595.0,605.0
unfilled_spots,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,59.0,87.0,93.0,123.0,177.0,214.0,235.0,261.0,278.0,313.0,344.0,364.0,388.0,404.0,434.0,435.0,464.0,478.0,499.0,508.0,532.0,535.0,529.0,569.0,573.0,596.0,599.0
unfilled_spots,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,30.0,72.0,100.0,136.0,175.0,202.0,223.0,263.0,295.0,323.0,348.0,374.0,391.0,422.0,423.0,459.0,467.0,482.0,502.0,508.0,517.0,542.0,560.0,563.0,577.0,586.0,585.0
unfilled_spots,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,25.0,43.0,74.0,122.0,141.0,181.0,207.0,238.0,262.0,277.0,330.0,349.0,376.0,392.0,395.0,427.0,465.0,465.0,470.0,501.0,512.0,529.0,534.0,552.0,566.0,580.0,591.0,595.0
reviews_per_program,461.17241379310343,461.17241379310343,461.17241379310343,461.17241379310343,461.17241379310343,448.50191570881225,343.40996168582376,162.97701149425288,95.52490421455938,76.86206896551724,85.40229885057471,93.94252873563218,102.48275862068965,111.02298850574712,119.5632183908046,128.10344827586206,136.64367816091954,145.183908045977,153.72413793103448,162.26436781609195,170.80459770114942,179.3448275862069,187.88505747126436,196.42528735632183,204.9655172413793,213.50574712643677,222.04597701149424,230.58620689655172,239.1264367816092,247.66666666666666,256.2068965517241,264.7471264367816,273.28735632183907,281.82758620689657,290.367816091954,298.9080459770115,307.44827586206895,315.98850574712645,324.5287356321839,333.0689655172414,341.60919540229884
