Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
unmatched_applicants,133.0,97.0,96.0,95.0,96.0,99.0,102.0,99.0,108.0,112.0,112.0,115.0,120.0,128.0,123.0,127.0
unmatched_applicants,135.0,96.0,99.0,95.0,95.0,98.0,102.0,104.0,108.0,108.0,113.0,117.0,120.0,118.0,126.0,131.0
unmatched_applicants,132.0,97.0,96.0,96.0,97.0,99.0,98.0,100.0,105.0,110.0,112.0,119.0,119.0,125.0,124.0,128.0
unmatched_applicants,136.0,100.0,96.0,96.0,95.0,99.0,101.0,103.0,106.0,113.0,110.0,119.0,118.0,124.0,126.0,129.0
unmatched_applicants,132.0,101.0,95.0,95.0,97.0,101.0,102.0,106.0,108.0,110.0,114.0,120.0,120.0,126.0,123.0,129.0
unmatched_applicants,133.0,98.0,96.0,95.0,96.0,95.0,100.0,103.0,105.0,112.0,117.0,119.0,122.0,126.0,124.0,127.0
unmatched_applicants,134.0,97.0,97.0,95.0,97.0,100.0,100.0,104.0,106.0,109.0,115.0,118.0,121.0,124.0,127.0,129.0
unmatched_applicants,134.0,96.0,95.0,97.0,96.0,97.0,103.0,106.0,109.0,113.0,116.0,120.0,122.0,125.0,126.0,127.0
unmatched_applicants,134.0,100.0,96.0,95.0,97.0,99.0,98.0,103.0,108.0,112.0,112.0,119.0,120.0,123.0,126.0,128.0
unmatched_applicants,136.0,99.0,95.0,96.0,96.0,99.0,101.0,103.0,106.0,114.0,114.0,115.0,119.0,126.0,124.0,126.0
unfilled_spots,38.0,2.0,1.0,0.0,1.0,4.0,7.0,4.0,13.0,17.0,17.0,20.0,25.0,33.0,28.0,32.0
unfilled_spots,40.0,1.0,4.0,0.0,0.0,3.0,7.0,9.0,13.0,13.0,18.0,22.0,25.0,23.0,31.0,36.0
unfilled_spots,37.0,2.0,1.0,1.0,2.0,4.0,3.0,5.0,10.0,15.0,17.0,24.0,24.0,30.0,29.0,33.0
unfilled_spots,41.0,5.0,1.0,1.0,0.0,4.0,6.0,8.0,11.0,18.0,15.0,24.0,23.0,29.0,31.0,34.0
unfilled_spots,37.0,6.0,0.0,0.0,2.0,6.0,7.0,11.0,13.0,15.0,19.0,25.0,25.0,31.0,28.0,34.0
unfilled_spots,38.0,3.0,1.0,0.0,1.0,0.0,5.0,8.0,10.0,17.0,22.0,24.0,27.0,31.0,29.0,32.0
unfilled_spots,39.0,2.0,2.0,0.0,2.0,5.0,5.0,9.0,11.0,14.0,20.0,23.0,26.0,29.0,32.0,34.0
unfilled_spots,39.0,1.0,0.0,2.0,1.0,2.0,8.0,11.0,14.0,18.0,21.0,25.0,27.0,30.0,31.0,32.0
unfilled_spots,39.0,5.0,1.0,0.0,2.0,4.0,3.0,8.0,13.0,17.0,17.0,24.0,25.0,28.0,31.0,33.0
unfilled_spots,41.0,4.0,0.0,1.0,1.0,4.0,6.0,8.0,11.0,19.0,19.0,20.0,24.0,31.0,29.0,31.0
reviews_per_program,40.20779220779221,39.77922077922078,29.935064935064936,19.376623376623378,13.012987012987013,12.012987012987013,13.402597402597403,15.636363636363637,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,39.675324675324674,31.584415584415584,17.68831168831169,11.64935064935065,12.753246753246753,13.714285714285714,15.883116883116884,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,39.324675324675326,30.493506493506494,16.92207792207792,12.597402597402597,11.168831168831169,13.402597402597403,15.922077922077921,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,39.72727272727273,31.662337662337663,17.727272727272727,11.597402597402597,12.051948051948052,14.233766233766234,15.636363636363637,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,39.62337662337662,29.753246753246753,17.2987012987013,11.727272727272727,11.935064935064934,13.974025974025974,15.636363636363637,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,37.77922077922078,30.584415584415584,15.467532467532468,11.428571428571429,12.675324675324676,13.7012987012987,15.636363636363637,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,40.20779220779221,30.493506493506494,17.376623376623378,12.688311688311689,12.285714285714286,13.402597402597403,15.636363636363637,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,38.48051948051948,31.16883116883117,18.16883116883117,12.922077922077921,12.766233766233766,13.402597402597403,15.636363636363637,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,39.116883116883116,28.636363636363637,20.38961038961039,11.545454545454545,11.168831168831169,13.402597402597403,15.636363636363637,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
reviews_per_program,40.20779220779221,38.8051948051948,31.103896103896105,16.623376623376622,12.545454545454545,12.441558441558442,13.402597402597403,16.31168831168831,17.87012987012987,20.103896103896105,22.337662337662337,24.571428571428573,26.805194805194805,29.038961038961038,31.272727272727273,33.506493506493506
pct_interview_given_signal,0.0,1.0232558139534884,0.938953488372093,0.8003875968992248,0.6366279069767442,0.5325581395348837,0.4476744186046512,0.38372093023255816,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0116279069767442,0.9651162790697675,0.7965116279069767,0.6482558139534884,0.5267441860465116,0.44573643410852715,0.38205980066445183,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0232558139534884,0.9593023255813954,0.8081395348837209,0.6468023255813954,0.5372093023255814,0.4476744186046512,0.38205980066445183,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.005813953488372,0.9476744186046512,0.7945736434108527,0.6555232558139535,0.536046511627907,0.44476744186046513,0.38372093023255816,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0,0.9447674418604651,0.7965116279069767,0.6540697674418605,0.5337209302325582,0.44573643410852715,0.38372093023255816,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0232558139534884,0.9447674418604651,0.7965116279069767,0.6598837209302325,0.5290697674418605,0.44476744186046513,0.38372093023255816,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0174418604651163,0.9302325581395349,0.8003875968992248,0.6453488372093024,0.5325581395348837,0.4476744186046512,0.38372093023255816,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0116279069767442,0.9098837209302325,0.7751937984496124,0.6497093023255814,0.5302325581395348,0.4476744186046512,0.38372093023255816,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0116279069767442,0.9156976744186046,0.7829457364341085,0.6511627906976745,0.5372093023255814,0.4476744186046512,0.38372093023255816,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_signal,0.0,1.0116279069767442,0.9273255813953488,0.7945736434108527,0.6540697674418605,0.5302325581395348,0.4476744186046512,0.38205980066445183,0.33575581395348836,0.29844961240310075,0.2686046511627907,0.2441860465116279,0.2238372093023256,0.20661896243291591,0.19186046511627908,0.17906976744186046
pct_interview_given_nosignal,0.14922480620155038,0.09781121751025992,0.05050872093023256,0.018992248062015504,0.009966777408637873,0.0017889087656529517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09849521203830369,0.047238372093023256,0.019767441860465116,0.006644518272425249,0.004025044722719142,0.0009689922480620155,0.0010570824524312897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09781121751025992,0.04796511627906977,0.01744186046511628,0.0070598006644518275,0.0,0.0,0.0010570824524312897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09883720930232558,0.04941860465116279,0.020155038759689922,0.004568106312292359,0.0004472271914132379,0.0014534883720930232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09917920656634747,0.049781976744186045,0.019767441860465116,0.0049833887043189366,0.0013416815742397137,0.0009689922480620155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09781121751025992,0.049781976744186045,0.019767441860465116,0.0033222591362126247,0.0031305903398926656,0.0014534883720930232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09815321477428181,0.05159883720930233,0.018992248062015504,0.007475083056478406,0.0017889087656529517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09849521203830369,0.054142441860465115,0.024031007751937984,0.006229235880398671,0.0026833631484794273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09849521203830369,0.0534156976744186,0.02248062015503876,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.14922480620155038,0.09849521203830369,0.051962209302325583,0.020155038759689922,0.0049833887043189366,0.0026833631484794273,0.0,0.0010570824524312897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_interview_given_application,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038,0.14922480620155038
pct_of_app_match_via_signal_given_matched,0.0,0.96,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9342105263157895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9583333333333334,1.0,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9436619718309859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.918918918918919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9078947368421053,0.974025974025974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9027777777777778,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9178082191780822,0.974025974025974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
