Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
unmatched_applicants,117.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,97.0,96.0,99.0,100.0,99.0,99.0,102.0,104.0,105.0,107.0,108.0,112.0
unmatched_applicants,114.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,98.0,98.0,99.0,101.0,103.0,102.0,103.0,105.0,112.0,109.0,111.0
unmatched_applicants,116.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,97.0,97.0,99.0,102.0,101.0,103.0,100.0,106.0,109.0,110.0,112.0
unmatched_applicants,116.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,95.0,95.0,98.0,98.0,98.0,103.0,103.0,105.0,106.0,106.0,105.0,110.0
unmatched_applicants,115.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,98.0,97.0,98.0,101.0,103.0,103.0,104.0,106.0,109.0,110.0,110.0
unmatched_applicants,115.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,97.0,96.0,101.0,100.0,100.0,101.0,104.0,107.0,108.0,107.0,109.0,111.0
unmatched_applicants,115.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,95.0,97.0,100.0,100.0,97.0,102.0,104.0,101.0,104.0,105.0,105.0,107.0,110.0
unmatched_applicants,114.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,97.0,99.0,99.0,99.0,101.0,102.0,104.0,106.0,107.0,107.0,109.0,111.0
unmatched_applicants,114.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,96.0,97.0,98.0,98.0,100.0,103.0,103.0,104.0,105.0,105.0,110.0,111.0
unmatched_applicants,114.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,95.0,95.0,97.0,95.0,99.0,101.0,101.0,99.0,102.0,104.0,104.0,107.0,109.0,112.0
unfilled_spots,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,4.0,4.0,7.0,9.0,10.0,12.0,13.0,17.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,6.0,8.0,7.0,8.0,10.0,17.0,14.0,16.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,6.0,8.0,5.0,11.0,14.0,15.0,17.0
unfilled_spots,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,8.0,8.0,10.0,11.0,11.0,10.0,15.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,6.0,8.0,8.0,9.0,11.0,14.0,15.0,15.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,5.0,6.0,9.0,12.0,13.0,12.0,14.0,16.0
unfilled_spots,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,5.0,2.0,7.0,9.0,6.0,9.0,10.0,10.0,12.0,15.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,6.0,7.0,9.0,11.0,12.0,12.0,14.0,16.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,8.0,8.0,9.0,10.0,10.0,15.0,16.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,6.0,6.0,4.0,7.0,9.0,9.0,12.0,14.0,17.0
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,66.77922077922078,64.16883116883118,62.25974025974026,52.42857142857143,39.81818181818182,32.63636363636363,28.61038961038961,28.350649350649352,30.155844155844157,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,67.14285714285714,63.675324675324674,51.64935064935065,41.1948051948052,34.90909090909091,29.818181818181817,31.844155844155843,29.5974025974026,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,65.28571428571429,58.22077922077922,51.42857142857143,44.1948051948052,35.18181818181818,29.428571428571427,30.77922077922078,29.493506493506494,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,67.02597402597402,63.01298701298701,51.35064935064935,40.4025974025974,36.27272727272727,29.5974025974026,30.116883116883116,30.09090909090909,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,68.7012987012987,67.0909090909091,61.27272727272727,51.98701298701299,40.506493506493506,35.922077922077925,28.09090909090909,28.246753246753247,29.038961038961038,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,68.49350649350649,65.66233766233766,61.883116883116884,51.72727272727273,43.77922077922078,34.96103896103896,30.92207792207792,27.766233766233768,31.103896103896105,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,67.66233766233766,64.77922077922078,60.90909090909091,53.35064935064935,43.01298701298701,32.714285714285715,28.545454545454547,28.38961038961039,29.545454545454547,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,68.44155844155844,67.06493506493507,63.064935064935064,52.77922077922078,43.116883116883116,36.8051948051948,30.571428571428573,27.90909090909091,30.207792207792206,32.33766233766234,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,68.55844155844156,67.01298701298701,60.48051948051948,54.54545454545455,44.4025974025974,34.077922077922075,30.896103896103895,29.584415584415584,31.532467532467532,31.68831168831169,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
reviews_per_program,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,69.24675324675324,67.6103896103896,66.98701298701299,61.41558441558441,54.246753246753244,42.142857142857146,34.64935064935065,31.87012987012987,30.5974025974026,29.441558441558442,31.272727272727273,33.506493506493506,35.74025974025974,37.97402597402598,40.20779220779221,42.44155844155844,44.675324675324674,46.90909090909091,49.142857142857146,51.37662337662338,53.61038961038961,55.84415584415584,58.077922077922075,60.311688311688314,62.54545454545455
pct_interview_given_signal,0.0,1.1337209302325582,1.072674418604651,1.073643410852713,1.069767441860465,1.0348837209302326,1.0174418604651163,1.004983388704319,0.9709302325581395,0.9308785529715762,0.8691860465116279,0.8023255813953488,0.7427325581395349,0.6878354203935599,0.6395348837209303,0.5968992248062015,0.559593023255814,0.5266757865937073,0.4974160206718346,0.47123623011015914,0.4476744186046512,0.4263565891472868,0.4069767441860465,0.38928210313447925,0.37306201550387597,0.3581395348837209,0.3443649373881932,0.33161068044788977,0.31976744186046513
pct_interview_given_signal,0.0,1.0872093023255813,1.0755813953488371,1.062015503875969,1.0625,1.0453488372093023,1.0261627906976745,0.9975083056478405,0.9643895348837209,0.9205426356589147,0.8604651162790697,0.804968287526427,0.7306201550387597,0.6882826475849732,0.6395348837209303,0.5968992248062015,0.559593023255814,0.5266757865937073,0.4974160206718346,0.47123623011015914,0.4476744186046512,0.4263565891472868,0.4069767441860465,0.38928210313447925,0.37306201550387597,0.3581395348837209,0.3443649373881932,0.33161068044788977,0.31976744186046513
pct_interview_given_signal,0.0,1.0930232558139534,1.0872093023255813,1.071705426356589,1.052325581395349,1.0476744186046512,1.0310077519379846,1.0033222591362125,0.9709302325581395,0.9186046511627907,0.8616279069767442,0.7996828752642706,0.7374031007751938,0.6869409660107334,0.6395348837209303,0.5968992248062015,0.559593023255814,0.5266757865937073,0.4974160206718346,0.47123623011015914,0.4476744186046512,0.4263565891472868,0.4069767441860465,0.38928210313447925,0.37306201550387597,0.3581395348837209,0.3443649373881932,0.33161068044788977,0.31976744186046513
