Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
unmatched_applicants,1006.0,833.0,833.0,835.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,834.0,833.0,835.0
unmatched_applicants,988.0,833.0,833.0,834.0,833.0,834.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,838.0
unmatched_applicants,1015.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,835.0,847.0
unmatched_applicants,1023.0,833.0,833.0,835.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,836.0,837.0
unmatched_applicants,1005.0,833.0,833.0,834.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,845.0
unmatched_applicants,1002.0,833.0,833.0,835.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,838.0
unmatched_applicants,983.0,834.0,835.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,836.0
unmatched_applicants,1006.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,834.0,837.0
unmatched_applicants,984.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,838.0,836.0
unmatched_applicants,996.0,833.0,838.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,836.0
unfilled_spots,173.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
unfilled_spots,155.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
unfilled_spots,190.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
unfilled_spots,172.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
unfilled_spots,169.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,150.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
unfilled_spots,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
unfilled_spots,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
unfilled_spots,163.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,203.06849315068493,190.87671232876713,170.44520547945206,169.7876712328767
reviews_per_program,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.64383561643837,205.30479452054794,201.91095890410958,190.89383561643837,173.1404109589041,170.58561643835617
