Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
unmatched_applicants,1677.0,847.0,859.0,845.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,845.0,876.0,943.0,992.0,1122.0,1193.0,1259.0,1315.0,1448.0
unmatched_applicants,1719.0,833.0,848.0,848.0,836.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,844.0,873.0,891.0,981.0,1109.0,1221.0,1274.0,1364.0,1455.0
unmatched_applicants,1689.0,835.0,868.0,836.0,835.0,834.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,834.0,864.0,910.0,1012.0,1077.0,1169.0,1256.0,1396.0,1427.0
unmatched_applicants,1715.0,833.0,849.0,849.0,838.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,841.0,877.0,908.0,1017.0,1118.0,1183.0,1296.0,1374.0,1476.0
unmatched_applicants,1692.0,840.0,858.0,847.0,834.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,837.0,839.0,855.0,925.0,1004.0,1098.0,1190.0,1310.0,1371.0,1456.0
unmatched_applicants,1672.0,834.0,854.0,838.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,841.0,868.0,920.0,996.0,1064.0,1208.0,1262.0,1390.0,1501.0
unmatched_applicants,1710.0,850.0,862.0,837.0,835.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,836.0,848.0,893.0,986.0,1079.0,1200.0,1278.0,1365.0,1471.0
unmatched_applicants,1705.0,840.0,844.0,846.0,836.0,834.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,838.0,842.0,861.0,915.0,982.0,1077.0,1196.0,1270.0,1356.0,1477.0
unmatched_applicants,1715.0,838.0,853.0,847.0,834.0,834.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,848.0,861.0,911.0,1005.0,1099.0,1236.0,1286.0,1393.0,1435.0
unmatched_applicants,1686.0,837.0,856.0,844.0,834.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,837.0,847.0,932.0,1003.0,1103.0,1173.0,1260.0,1375.0,1470.0
unfilled_spots,844.0,14.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,110.0,159.0,289.0,360.0,426.0,482.0,615.0
unfilled_spots,886.0,0.0,15.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,40.0,58.0,148.0,276.0,388.0,441.0,531.0,622.0
unfilled_spots,856.0,2.0,35.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,77.0,179.0,244.0,336.0,423.0,563.0,594.0
unfilled_spots,882.0,0.0,16.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,44.0,75.0,184.0,285.0,350.0,463.0,541.0,643.0
unfilled_spots,859.0,7.0,25.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,22.0,92.0,171.0,265.0,357.0,477.0,538.0,623.0
unfilled_spots,839.0,1.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,35.0,87.0,163.0,231.0,375.0,429.0,557.0,668.0
unfilled_spots,877.0,17.0,29.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,60.0,153.0,246.0,367.0,445.0,532.0,638.0
unfilled_spots,872.0,7.0,11.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,28.0,82.0,149.0,244.0,363.0,437.0,523.0,644.0
unfilled_spots,882.0,5.0,20.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,78.0,172.0,266.0,403.0,453.0,560.0,602.0
unfilled_spots,853.0,4.0,23.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,99.0,170.0,270.0,340.0,427.0,542.0,637.0
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,309.277397260274,267.3321917808219,209.67123287671234,186.0958904109589,193.7294520547945,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,320.59589041095893,310.3424657534247,261.1164383561644,211.28082191780823,189.78424657534248,194.46575342465752,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,320.6335616438356,308.80479452054794,264.013698630137,204.6335616438356,188.66438356164383,193.67123287671234,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,314.75,265.5342465753425,215.47602739726028,188.8664383561644,193.2054794520548,206.05479452054794,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,311.69520547945206,267.7808219178082,212.96575342465752,185.9623287671233,193.63013698630138,206.12328767123287,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,320.6678082191781,312.83561643835617,268.6335616438356,206.9417808219178,187.64383561643837,194.1404109589041,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,320.6506849315069,311.291095890411,263.8082191780822,209.37671232876713,188.59246575342465,193.70890410958904,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,320.6746575342466,311.41438356164383,267.027397260274,208.84931506849315,191.1164383561644,192.79109589041096,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,313.458904109589,269.35616438356163,209.33219178082192,187.43493150684932,193.24657534246575,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
reviews_per_program,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,321.31849315068496,320.0308219178082,312.1027397260274,268.73972602739724,210.8458904109589,186.2294520547945,193.20890410958904,205.64383561643837,218.49657534246575,231.34931506849315,244.20205479452054,257.05479452054794,269.9075342465753,282.76027397260276
pct_interview_given_signal,0.0,1.0431654676258992,1.0371702637889688,1.0310862421174172,1.0298427924327205,1.0268052224886757,1.0222488675726087,1.0186898100567165,1.0145550226485478,1.0118423779494923,1.0081268318678391,1.0028098733134705,0.9835242916777689,0.945561499518334,0.8877088805146359,0.8297895017319478,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0436983746336264,1.0322408739674926,1.03055333510969,1.0284439115374366,1.0252065014654943,1.0210498268052224,1.017395607323665,1.0133559818811617,1.011753560114871,1.0086064481747934,1.0038514642831189,0.9853006483701927,0.9437373178380373,0.8871759735069088,0.8295230482280842,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0423661071143087,1.035171862509992,1.0319744204636292,1.0306421529443113,1.0264321875832667,1.0223376854072297,1.0192227170644437,1.015021316280309,1.0115167125558813,1.0079936051159073,1.0036819029624786,0.9866107114308553,0.9473446883518826,0.8869095200030452,0.8296651567634781,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.043431921129763,1.035171862509992,1.0310862421174172,1.0272448707700506,1.0249400479616306,1.0212274624744648,1.0176620608275284,1.0157540634159339,1.0118127720046186,1.00833999467093,1.002858319405082,0.985988986588507,0.9430404394433172,0.8875185565833048,0.829878319566569,0.777960964561684,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0367705835331735,1.0331734612310153,1.0297539745980993,1.0299094058086864,1.025259792166267,1.0209166000532908,1.0193369114232425,1.0154543032240875,1.0118423779494923,1.007673860911271,1.0029552115883051,0.9856115107913669,0.9437988071081597,0.8875375889764379,0.8298427924327205,0.7779776179056754,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0402344790834,1.0335731414868106,1.0293987032596146,1.0300426325606182,1.026219024780176,1.0211386446398436,1.0191846522781776,1.014421795896616,1.011753560114871,1.0075406341593391,1.0027372041760532,0.9868993693933742,0.9449261103937363,0.8874995241901716,0.8298250288657962,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0362376765254464,1.0349054090061285,1.0303756994404476,1.0293098854249934,1.025419664268585,1.023181454836131,1.0183091621940543,1.01435518252065,1.011753560114871,1.0076472155608847,1.0033670033670035,0.9877875477395861,0.9446391604664987,0.8871569411137756,0.8297895017319478,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0413002930988542,1.040101252331468,1.0341060484945377,1.0275113242739142,1.026165734079403,1.022293276489919,1.0185756156979178,1.0155209166000534,1.0115167125558813,1.0075139888089528,1.0034881185960323,0.9849897859490185,0.9458074565988235,0.8869856495755777,0.8299138467004175,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0418332001065813,1.0343725019984014,1.033306687982947,1.0268451905142553,1.0256861177724488,1.0225597299937828,1.0188420692017814,1.0151545430322408,1.011220653107144,1.0079403144151347,1.0035850107792554,0.9857891464606093,0.9462788743364283,0.8877469453009021,0.8298605559996447,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_signal,0.0,1.0402344790834,1.0362376765254464,1.0344613198330224,1.0268451905142553,1.0278177458033573,1.0217159605648813,1.0173575425373986,1.0154209965361045,1.0119311957841135,1.0081268318678391,1.0027614272218588,0.9867883471000977,0.9437988071081597,0.88822275512923,0.8298605559996447,0.7780442312816414,0.7322769235591918,0.6915948722503479,0.6551951421319085,0.622435385025313,0.5927956047860125,0.5658503500230119
pct_interview_given_nosignal,0.4979483080202505,0.47523092637001507,0.45105944230123146,0.4252476806433641,0.3966350728940657,0.3657340794031442,0.33237971026687424,0.2954377238949581,0.25483926584222816,0.20888289368505195,0.15782929212185806,0.10127136386129192,0.04972432310561807,0.013034017230659917,0.0018893975728508103,0.00018651745270450307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.4752087219113598,0.45148808489440334,0.4253203497807814,0.39690152639792925,0.3661337596589395,0.332758354719733,0.29594102495781155,0.2554035203209981,0.20893285371702638,0.15750954791722177,0.10045297095656808,0.04808460923568837,0.015010214050981437,0.0025676428554126398,0.0005861977084998667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.47526423305799803,0.45123321632549035,0.4251265654143352,0.3964828137490008,0.3658273381294964,0.33235166252962545,0.295230482280842,0.2546198335449288,0.20906608046895817,0.15791810995647926,0.10058619770849987,0.04687532025661522,0.011102229327648991,0.0029067654966935543,0.00037303490540900613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.4752198241406875,0.45123321632549035,0.4252476806433641,0.39712991511552664,0.36620037303490544,0.3327022592452354,0.2958374041507535,0.25427501136345826,0.20889954702904343,0.15768718358646416,0.10123329907502569,0.047449220111090616,0.015765165645261568,0.0021316280309086064,5.329070077271516e-05,0.00014802972436865324,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.4754973798738787,0.4514069903497492,0.42542935348690747,0.39662238463197697,0.36612043698374636,0.3328004263256062,0.2951860733635314,0.2544160749831507,0.20888289368505195,0.15813127275957012,0.10115716950249325,0.047797659308450674,0.014943600675015543,0.002107404985102827,0.00010658140154543032,0.00011842377949492258,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.47535305089261926,0.4513722355448974,0.425477799578519,0.39659700810779946,0.3658806288302691,0.3327303069824842,0.29524528525327887,0.2549019607843137,0.20893285371702638,0.15822009059419131,0.10132846104069125,0.046608866752751645,0.013722355448974153,0.002155851076714386,0.0001332267519317879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.475519584332534,0.4512563861953915,0.4253445728265872,0.39673657899077563,0.3660804689581668,0.33208520902576183,0.29558575361932676,0.2549333082553565,0.20893285371702638,0.15814903632649435,0.10083361881923034,0.045789009817786795,0.014033217870148326,0.0025918659012184194,0.00018651745270450307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.47530864197530864,0.45080457373231847,0.42483588886466583,0.39707916206717164,0.3658939515054623,0.3323656863982498,0.2954821328122687,0.25438472751210794,0.20906608046895817,0.15823785416111555,0.10073845685356476,0.04837155916292607,0.012767563726796341,0.002809873313470436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.47528643751665334,0.4513027259351939,0.4249448925707919,0.3972060446880591,0.3660138555822009,0.33228154318650344,0.29537851200521065,0.25455713860284324,0.2092326139088729,0.15795363709032773,0.10066232728103232,0.0476336879214577,0.012256861177724487,0.001840951481239251,7.993605115907275e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.4979483080202505,0.47535305089261926,0.4511405368458856,0.4247874427730543,0.3972060446880591,0.3654809485744738,0.332547996690367,0.2959558279302484,0.25443174871867213,0.20883293365307753,0.15782929212185806,0.10130942864755814,0.04671134886962225,0.014943600675015543,0.0012353753360947605,7.993605115907275e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
pct_interview_given_application,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505,0.4979483080202505
