Parameter,0,1,2,3,4
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,835.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unmatched_applicants,833.0,833.0,833.0,833.0,833.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,2.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
reviews_per_program,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438,77.11643835616438
pct_interview_given_signal,0.0,1.0173194777511325,1.0105249134026113,1.010569322319922,1.0066613375965894
pct_interview_given_signal,0.0,1.0122568611777245,1.0126565414335198,1.0090594191313615,1.0067945643485212
pct_interview_given_signal,0.0,1.0167865707434052,1.0149213962163603,1.0101252331468158,1.007593924860112
pct_interview_given_signal,0.0,1.012523314681588,1.013722355448974,1.0095923261390887,1.00632827071676
pct_interview_given_signal,0.0,1.0223820943245403,1.014388489208633,1.0108357758237854,1.0065947242206235
pct_interview_given_signal,0.0,1.016253663735678,1.014388489208633,1.0107469579891641,1.007593924860112
pct_interview_given_signal,0.0,1.0191846522781776,1.0129229949373835,1.0103028688160582,1.0061950439648282
pct_interview_given_signal,0.0,1.0151878497202238,1.0142552624567014,1.0106581401545431,1.007527311484146
pct_interview_given_signal,0.0,1.0223820943245403,1.014388489208633,1.0076383337774224,1.0061950439648282
pct_interview_given_signal,0.0,1.0191846522781776,1.0139888089528377,1.0097699618083311,1.0067945643485212
pct_interview_given_nosignal,1.0,0.9965361044497735,0.9947375432986943,0.9894306776800782,0.9866773248068212
pct_interview_given_nosignal,1.0,0.9975486277644551,0.9936717292832401,0.9909405808686385,0.9864108713029577
pct_interview_given_nosignal,1.0,0.996642685851319,0.9925393018918198,0.9898747668531841,0.9848121502797762
pct_interview_given_nosignal,1.0,0.9974953370636824,0.993138822275513,0.9904076738609112,0.9873434585664802
pct_interview_given_nosignal,1.0,0.9955235811350919,0.9928057553956835,0.9891642241762146,0.986810551558753
pct_interview_given_nosignal,1.0,0.9967492672528644,0.9928057553956835,0.9892530420108357,0.9848121502797762
pct_interview_given_nosignal,1.0,0.9961630695443645,0.9935385025313083,0.9896971311839418,0.9876099120703438
pct_interview_given_nosignal,1.0,0.9969624300559552,0.9928723687716493,0.989341859845457,0.9849453770317079
pct_interview_given_nosignal,1.0,0.9955235811350919,0.9928057553956835,0.9923616662225775,0.9876099120703438
pct_interview_given_nosignal,1.0,0.9961630695443645,0.9930055955235811,0.9902300381916689,0.9864108713029577
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_interview_given_application,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9643835616438357,0.9818493150684932,0.9952054794520548,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9613013698630137,0.9825342465753425,0.9934931506849315,0.9976027397260274
pct_of_app_match_via_signal_given_matched,0.0,0.9544520547945206,0.9852739726027397,0.9924657534246575,0.9976027397260274
pct_of_app_match_via_signal_given_matched,0.0,0.9660958904109589,0.9876712328767123,0.9965753424657534,0.9993150684931507
pct_of_app_match_via_signal_given_matched,0.0,0.9486301369863014,0.9780821917808219,0.9938356164383562,0.998972602739726
pct_of_app_match_via_signal_given_matched,0.0,0.9554794520547946,0.9839041095890411,0.9928082191780822,0.9986291980808774
pct_of_app_match_via_signal_given_matched,0.0,0.9623287671232876,0.9732876712328767,0.9965753424657534,0.9996575342465753
pct_of_app_match_via_signal_given_matched,0.0,0.9582191780821918,0.9873287671232877,0.9958904109589041,0.998972602739726
pct_of_app_match_via_signal_given_matched,0.0,0.9571917808219178,0.9856164383561644,0.9962328767123287,0.9993150684931507
pct_of_app_match_via_signal_given_matched,0.0,0.9585616438356165,0.9839041095890411,0.9965753424657534,1.0
