Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,6576.0,2560.0,2463.0,2446.0,2493.0,2780.0,3126.0,3529.0,3857.0,4128.0,4385.0,4626.0,4818.0,4973.0,5120.0,5261.0,5337.0,5479.0,5573.0,5627.0,5715.0,5781.0,5880.0,5908.0,5954.0,6001.0,6080.0,6104.0,6147.0,6192.0,6219.0,6258.0,6264.0,6319.0,6337.0,6363.0,6387.0,6412.0,6456.0,6469.0,6488.0
unmatched_applicants,6579.0,2582.0,2468.0,2444.0,2498.0,2853.0,3112.0,3490.0,3791.0,4142.0,4433.0,4612.0,4836.0,4981.0,5104.0,5280.0,5349.0,5460.0,5568.0,5626.0,5736.0,5774.0,5840.0,5902.0,5959.0,6026.0,6031.0,6108.0,6145.0,6196.0,6223.0,6257.0,6302.0,6297.0,6345.0,6372.0,6362.0,6422.0,6444.0,6458.0,6481.0
unmatched_applicants,6563.0,2558.0,2474.0,2453.0,2496.0,2763.0,3096.0,3472.0,3876.0,4128.0,4383.0,4657.0,4827.0,4959.0,5154.0,5252.0,5377.0,5498.0,5588.0,5648.0,5726.0,5754.0,5861.0,5921.0,5947.0,6049.0,6072.0,6089.0,6161.0,6189.0,6218.0,6267.0,6310.0,6305.0,6328.0,6370.0,6391.0,6398.0,6441.0,6473.0,6472.0
unmatched_applicants,6582.0,2580.0,2485.0,2439.0,2498.0,2744.0,3092.0,3487.0,3852.0,4139.0,4375.0,4600.0,4806.0,4974.0,5093.0,5239.0,5340.0,5488.0,5569.0,5645.0,5714.0,5793.0,5875.0,5911.0,5975.0,6019.0,6043.0,6118.0,6154.0,6181.0,6214.0,6251.0,6263.0,6304.0,6349.0,6377.0,6391.0,6426.0,6420.0,6463.0,6472.0
unmatched_applicants,6569.0,2607.0,2485.0,2440.0,2491.0,2739.0,3114.0,3454.0,3843.0,4133.0,4407.0,4638.0,4814.0,4959.0,5137.0,5242.0,5361.0,5480.0,5562.0,5661.0,5719.0,5795.0,5861.0,5906.0,5955.0,6025.0,6073.0,6103.0,6163.0,6186.0,6248.0,6263.0,6286.0,6315.0,6330.0,6362.0,6380.0,6410.0,6427.0,6461.0,6481.0
unmatched_applicants,6548.0,2587.0,2457.0,2446.0,2505.0,2759.0,3142.0,3470.0,3837.0,4123.0,4383.0,4578.0,4830.0,4953.0,5149.0,5239.0,5363.0,5469.0,5585.0,5645.0,5728.0,5781.0,5832.0,5901.0,5950.0,6007.0,6066.0,6113.0,6158.0,6181.0,6194.0,6263.0,6268.0,6288.0,6343.0,6350.0,6381.0,6423.0,6441.0,6443.0,6470.0
unmatched_applicants,6580.0,2615.0,2464.0,2446.0,2501.0,2756.0,3108.0,3534.0,3853.0,4144.0,4358.0,4625.0,4834.0,4964.0,5107.0,5278.0,5355.0,5456.0,5563.0,5630.0,5721.0,5763.0,5842.0,5922.0,5967.0,6020.0,6061.0,6070.0,6113.0,6183.0,6221.0,6261.0,6271.0,6307.0,6333.0,6367.0,6396.0,6416.0,6443.0,6453.0,6469.0
unmatched_applicants,6567.0,2603.0,2464.0,2452.0,2506.0,2747.0,3128.0,3495.0,3849.0,4170.0,4392.0,4616.0,4801.0,4971.0,5136.0,5256.0,5373.0,5446.0,5560.0,5665.0,5692.0,5787.0,5851.0,5909.0,5957.0,6017.0,6046.0,6093.0,6134.0,6185.0,6218.0,6250.0,6277.0,6304.0,6337.0,6350.0,6382.0,6418.0,6447.0,6452.0,6489.0
unmatched_applicants,6574.0,2560.0,2469.0,2441.0,2499.0,2731.0,3136.0,3482.0,3865.0,4153.0,4429.0,4610.0,4816.0,4990.0,5141.0,5250.0,5372.0,5488.0,5559.0,5632.0,5721.0,5815.0,5853.0,5930.0,5963.0,6010.0,6056.0,6087.0,6148.0,6200.0,6230.0,6262.0,6279.0,6306.0,6364.0,6389.0,6394.0,6423.0,6421.0,6476.0,6475.0
unmatched_applicants,6580.0,2571.0,2466.0,2444.0,2516.0,2773.0,3106.0,3501.0,3860.0,4157.0,4387.0,4583.0,4815.0,4977.0,5143.0,5231.0,5348.0,5467.0,5542.0,5645.0,5719.0,5782.0,5854.0,5927.0,5976.0,6025.0,6075.0,6090.0,6149.0,6154.0,6228.0,6261.0,6291.0,6310.0,6337.0,6371.0,6370.0,6399.0,6436.0,6460.0,6482.0
unfilled_spots,4141.0,125.0,28.0,11.0,58.0,345.0,691.0,1094.0,1422.0,1693.0,1950.0,2191.0,2383.0,2538.0,2685.0,2826.0,2902.0,3044.0,3138.0,3192.0,3280.0,3346.0,3445.0,3473.0,3519.0,3566.0,3645.0,3669.0,3712.0,3757.0,3784.0,3823.0,3829.0,3884.0,3902.0,3928.0,3952.0,3977.0,4021.0,4034.0,4053.0
