Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
unmatched_applicants,13841.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6522.0,6526.0,6625.0,6885.0,7286.0,7820.0,8314.0,8784.0,9175.0,9649.0,9980.0,10332.0,10618.0,10934.0,11135.0,11342.0,11618.0,11870.0,12042.0,12193.0,12425.0,12551.0,12690.0,12860.0,12957.0,13063.0,13187.0,13295.0,13396.0,13469.0,13589.0
unmatched_applicants,13827.0,6519.0,6527.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6538.0,6591.0,6836.0,7319.0,7848.0,8320.0,8855.0,9191.0,9649.0,10045.0,10304.0,10689.0,10902.0,11182.0,11422.0,11620.0,11849.0,12027.0,12218.0,12400.0,12546.0,12643.0,12866.0,12933.0,13036.0,13209.0,13279.0,13381.0,13456.0,13596.0
unmatched_applicants,13817.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6531.0,6603.0,6926.0,7384.0,7824.0,8259.0,8844.0,9223.0,9644.0,10058.0,10345.0,10631.0,10969.0,11164.0,11447.0,11625.0,11842.0,12021.0,12226.0,12412.0,12530.0,12692.0,12778.0,12962.0,13040.0,13223.0,13320.0,13423.0,13502.0,13566.0
unmatched_applicants,13828.0,6519.0,6522.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6525.0,6625.0,6881.0,7297.0,7862.0,8347.0,8864.0,9314.0,9666.0,10033.0,10380.0,10632.0,10921.0,11181.0,11437.0,11662.0,11873.0,11996.0,12191.0,12303.0,12509.0,12663.0,12818.0,12941.0,13101.0,13203.0,13285.0,13407.0,13470.0,13552.0
unmatched_applicants,13814.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6520.0,6601.0,6949.0,7332.0,7837.0,8313.0,8763.0,9221.0,9686.0,10045.0,10381.0,10617.0,10976.0,11195.0,11427.0,11612.0,11826.0,12005.0,12223.0,12376.0,12540.0,12706.0,12777.0,12943.0,13079.0,13166.0,13263.0,13384.0,13515.0,13566.0
unmatched_applicants,13826.0,6520.0,6524.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6613.0,6898.0,7351.0,7731.0,8387.0,8784.0,9278.0,9640.0,10050.0,10334.0,10680.0,10915.0,11174.0,11425.0,11634.0,11862.0,12022.0,12192.0,12362.0,12535.0,12664.0,12828.0,12931.0,13073.0,13190.0,13272.0,13399.0,13510.0,13571.0
unmatched_applicants,13811.0,6519.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6535.0,6598.0,6929.0,7311.0,7773.0,8325.0,8800.0,9246.0,9674.0,9946.0,10327.0,10635.0,10945.0,11234.0,11451.0,11632.0,11831.0,12031.0,12201.0,12397.0,12553.0,12684.0,12795.0,12942.0,13058.0,13161.0,13278.0,13353.0,13466.0,13626.0
unmatched_applicants,13815.0,6519.0,6523.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6520.0,6637.0,6892.0,7237.0,7804.0,8277.0,8804.0,9253.0,9651.0,10064.0,10296.0,10592.0,10893.0,11195.0,11477.0,11656.0,11796.0,12043.0,12242.0,12379.0,12553.0,12664.0,12820.0,12953.0,12999.0,13136.0,13303.0,13388.0,13489.0,13548.0
unmatched_applicants,13794.0,6521.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6524.0,6609.0,6938.0,7348.0,7865.0,8350.0,8805.0,9252.0,9598.0,10078.0,10310.0,10638.0,10868.0,11131.0,11402.0,11616.0,11801.0,12030.0,12248.0,12402.0,12559.0,12696.0,12793.0,12912.0,13080.0,13173.0,13295.0,13401.0,13489.0,13557.0
unmatched_applicants,13838.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6538.0,6553.0,6880.0,7368.0,7808.0,8360.0,8732.0,9246.0,9657.0,10025.0,10334.0,10682.0,10908.0,11150.0,11404.0,11636.0,11861.0,12036.0,12223.0,12361.0,12540.0,12655.0,12825.0,12945.0,13015.0,13208.0,13271.0,13382.0,13455.0,13594.0
