Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,14837.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6527.0,6595.0,6893.0,7424.0,8003.0,8475.0,8938.0,9438.0,9839.0,10192.0,10526.0,10921.0,11171.0,11432.0,11634.0,11894.0,12119.0,12272.0,12473.0,12600.0,12725.0,12908.0,13067.0,13162.0,13271.0,13434.0,13482.0,13609.0,13704.0,13812.0,13838.0,13951.0,14052.0
unmatched_applicants,14823.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6526.0,6576.0,6945.0,7437.0,7938.0,8505.0,8989.0,9342.0,9847.0,10269.0,10626.0,10838.0,11191.0,11451.0,11640.0,11886.0,12111.0,12304.0,12455.0,12602.0,12760.0,12922.0,13059.0,13198.0,13258.0,13412.0,13501.0,13611.0,13685.0,13815.0,13905.0,13946.0,14038.0
unmatched_applicants,14861.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6522.0,6645.0,6941.0,7348.0,7965.0,8513.0,9016.0,9455.0,9868.0,10204.0,10485.0,10897.0,11194.0,11447.0,11667.0,11894.0,12051.0,12348.0,12470.0,12619.0,12796.0,12869.0,13091.0,13124.0,13327.0,13389.0,13476.0,13613.0,13709.0,13818.0,13866.0,13952.0,14017.0
unmatched_applicants,14859.0,6519.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6527.0,6613.0,6926.0,7361.0,7890.0,8438.0,8987.0,9412.0,9887.0,10256.0,10614.0,10884.0,11232.0,11421.0,11644.0,11884.0,12094.0,12293.0,12488.0,12608.0,12786.0,12884.0,13021.0,13176.0,13249.0,13364.0,13509.0,13606.0,13703.0,13794.0,13868.0,13985.0,14052.0
unmatched_applicants,14844.0,6519.0,6523.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6569.0,6876.0,7400.0,7959.0,8440.0,8964.0,9405.0,9810.0,10184.0,10575.0,10886.0,11174.0,11499.0,11672.0,11932.0,12088.0,12288.0,12475.0,12603.0,12749.0,12888.0,12998.0,13200.0,13279.0,13418.0,13522.0,13587.0,13694.0,13788.0,13832.0,13965.0,14074.0
unmatched_applicants,14858.0,6519.0,6522.0,6519.0,6519.0,6519.0,6519.0,6519.0,6528.0,6589.0,6903.0,7364.0,7908.0,8418.0,8970.0,9453.0,9832.0,10258.0,10533.0,10871.0,11173.0,11430.0,11693.0,11898.0,12073.0,12299.0,12460.0,12633.0,12796.0,12953.0,13087.0,13178.0,13272.0,13368.0,13491.0,13625.0,13680.0,13811.0,13853.0,13971.0,13999.0
unmatched_applicants,14844.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6524.0,6620.0,6864.0,7402.0,7899.0,8422.0,8915.0,9428.0,9874.0,10240.0,10548.0,10868.0,11159.0,11421.0,11654.0,11896.0,12115.0,12269.0,12433.0,12591.0,12774.0,12889.0,13018.0,13191.0,13292.0,13409.0,13515.0,13615.0,13702.0,13767.0,13816.0,13936.0,14049.0
unmatched_applicants,14830.0,6520.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6521.0,6620.0,6916.0,7381.0,7971.0,8433.0,8983.0,9471.0,9842.0,10221.0,10514.0,10936.0,11156.0,11473.0,11684.0,11843.0,12113.0,12295.0,12484.0,12613.0,12787.0,12902.0,13070.0,13121.0,13312.0,13395.0,13488.0,13596.0,13699.0,13779.0,13856.0,13928.0,14047.0
unmatched_applicants,14858.0,6520.0,6522.0,6519.0,6519.0,6519.0,6519.0,6519.0,6521.0,6621.0,6931.0,7412.0,7980.0,8502.0,9027.0,9419.0,9818.0,10228.0,10568.0,10838.0,11213.0,11439.0,11682.0,11871.0,12112.0,12275.0,12492.0,12630.0,12768.0,12910.0,13018.0,13153.0,13323.0,13427.0,13522.0,13639.0,13683.0,13792.0,13872.0,13953.0,14054.0
unmatched_applicants,14831.0,6520.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6520.0,6572.0,6925.0,7428.0,7951.0,8478.0,8964.0,9473.0,9830.0,10281.0,10567.0,10850.0,11256.0,11447.0,11635.0,11926.0,12129.0,12308.0,12447.0,12627.0,12766.0,12902.0,13096.0,13192.0,13323.0,13376.0,13457.0,13573.0,13719.0,13770.0,13887.0,13970.0,13994.0
