Parameter,0,1,2,3,4,5,6,7
unmatched_applicants,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,208.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,208.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unmatched_applicants,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,71.48101265822785
reviews_per_program,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,72.21518987341773
reviews_per_program,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,75.82278481012658,74.20253164556962,71.60759493670886
