Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,526.0,204.0,204.0,205.0,205.0,206.0,233.0,252.0,283.0,301.0,328.0,351.0,356.0,376.0,393.0,389.0,413.0,434.0,433.0,442.0,449.0,456.0,461.0,461.0,473.0,482.0,481.0,485.0,494.0,493.0,499.0,499.0,501.0,503.0,506.0,512.0,518.0,514.0,515.0,520.0,518.0
unmatched_applicants,528.0,204.0,204.0,204.0,204.0,204.0,220.0,256.0,283.0,310.0,334.0,341.0,363.0,384.0,387.0,402.0,415.0,430.0,429.0,439.0,449.0,459.0,463.0,469.0,476.0,475.0,486.0,488.0,489.0,497.0,495.0,508.0,499.0,504.0,506.0,516.0,515.0,512.0,517.0,520.0,520.0
unmatched_applicants,527.0,204.0,204.0,204.0,204.0,212.0,219.0,248.0,286.0,304.0,323.0,340.0,360.0,373.0,397.0,410.0,413.0,430.0,439.0,444.0,443.0,463.0,462.0,467.0,472.0,471.0,481.0,487.0,484.0,496.0,493.0,503.0,504.0,506.0,509.0,509.0,514.0,516.0,520.0,518.0,521.0
unmatched_applicants,527.0,209.0,204.0,204.0,204.0,208.0,234.0,243.0,281.0,308.0,330.0,346.0,369.0,374.0,383.0,410.0,406.0,424.0,430.0,443.0,454.0,463.0,460.0,470.0,473.0,478.0,479.0,487.0,487.0,493.0,497.0,501.0,501.0,503.0,509.0,509.0,513.0,513.0,517.0,525.0,522.0
unmatched_applicants,529.0,212.0,204.0,205.0,205.0,210.0,231.0,250.0,287.0,306.0,343.0,343.0,363.0,370.0,392.0,404.0,418.0,430.0,426.0,448.0,445.0,456.0,461.0,469.0,467.0,472.0,486.0,488.0,488.0,487.0,499.0,500.0,502.0,507.0,511.0,513.0,514.0,517.0,516.0,519.0,525.0
unmatched_applicants,529.0,204.0,207.0,204.0,206.0,210.0,230.0,250.0,286.0,308.0,324.0,341.0,373.0,375.0,393.0,404.0,413.0,431.0,437.0,438.0,446.0,454.0,462.0,469.0,479.0,475.0,480.0,489.0,490.0,493.0,500.0,498.0,504.0,504.0,508.0,509.0,516.0,518.0,515.0,525.0,522.0
unmatched_applicants,528.0,206.0,204.0,205.0,204.0,209.0,233.0,251.0,281.0,306.0,313.0,351.0,361.0,376.0,392.0,402.0,418.0,423.0,432.0,440.0,459.0,456.0,463.0,462.0,471.0,479.0,480.0,491.0,491.0,493.0,497.0,492.0,507.0,499.0,509.0,512.0,511.0,512.0,516.0,520.0,522.0
unmatched_applicants,529.0,206.0,204.0,204.0,204.0,214.0,224.0,244.0,287.0,302.0,329.0,353.0,361.0,374.0,394.0,408.0,420.0,427.0,437.0,446.0,453.0,457.0,465.0,465.0,475.0,477.0,481.0,485.0,489.0,492.0,500.0,503.0,504.0,504.0,506.0,508.0,512.0,514.0,515.0,517.0,521.0
unmatched_applicants,530.0,205.0,205.0,204.0,204.0,216.0,235.0,257.0,285.0,303.0,339.0,339.0,373.0,381.0,394.0,397.0,421.0,420.0,434.0,445.0,456.0,457.0,456.0,469.0,469.0,471.0,484.0,489.0,487.0,489.0,493.0,502.0,503.0,508.0,514.0,512.0,519.0,515.0,523.0,520.0,518.0
unmatched_applicants,530.0,204.0,204.0,204.0,204.0,208.0,223.0,254.0,284.0,305.0,322.0,341.0,370.0,380.0,392.0,400.0,412.0,427.0,435.0,435.0,455.0,457.0,464.0,464.0,474.0,478.0,480.0,486.0,487.0,498.0,498.0,503.0,506.0,500.0,510.0,512.0,518.0,519.0,523.0,519.0,525.0
unfilled_spots,322.0,0.0,0.0,1.0,1.0,2.0,29.0,48.0,79.0,97.0,124.0,147.0,152.0,172.0,189.0,185.0,209.0,230.0,229.0,238.0,245.0,252.0,257.0,257.0,269.0,278.0,277.0,281.0,290.0,289.0,295.0,295.0,297.0,299.0,302.0,308.0,314.0,310.0,311.0,316.0,314.0
unfilled_spots,324.0,0.0,0.0,0.0,0.0,0.0,16.0,52.0,79.0,106.0,130.0,137.0,159.0,180.0,183.0,198.0,211.0,226.0,225.0,235.0,245.0,255.0,259.0,265.0,272.0,271.0,282.0,284.0,285.0,293.0,291.0,304.0,295.0,300.0,302.0,312.0,311.0,308.0,313.0,316.0,316.0
unfilled_spots,323.0,0.0,0.0,0.0,0.0,8.0,15.0,44.0,82.0,100.0,119.0,136.0,156.0,169.0,193.0,206.0,209.0,226.0,235.0,240.0,239.0,259.0,258.0,263.0,268.0,267.0,277.0,283.0,280.0,292.0,289.0,299.0,300.0,302.0,305.0,305.0,310.0,312.0,316.0,314.0,317.0
unfilled_spots,323.0,5.0,0.0,0.0,0.0,4.0,30.0,39.0,77.0,104.0,126.0,142.0,165.0,170.0,179.0,206.0,202.0,220.0,226.0,239.0,250.0,259.0,256.0,266.0,269.0,274.0,275.0,283.0,283.0,289.0,293.0,297.0,297.0,299.0,305.0,305.0,309.0,309.0,313.0,321.0,318.0
unfilled_spots,325.0,8.0,0.0,1.0,1.0,6.0,27.0,46.0,83.0,102.0,139.0,139.0,159.0,166.0,188.0,200.0,214.0,226.0,222.0,244.0,241.0,252.0,257.0,265.0,263.0,268.0,282.0,284.0,284.0,283.0,295.0,296.0,298.0,303.0,307.0,309.0,310.0,313.0,312.0,315.0,321.0
unfilled_spots,325.0,0.0,3.0,0.0,2.0,6.0,26.0,46.0,82.0,104.0,120.0,137.0,169.0,171.0,189.0,200.0,209.0,227.0,233.0,234.0,242.0,250.0,258.0,265.0,275.0,271.0,276.0,285.0,286.0,289.0,296.0,294.0,300.0,300.0,304.0,305.0,312.0,314.0,311.0,321.0,318.0
unfilled_spots,324.0,2.0,0.0,1.0,0.0,5.0,29.0,47.0,77.0,102.0,109.0,147.0,157.0,172.0,188.0,198.0,214.0,219.0,228.0,236.0,255.0,252.0,259.0,258.0,267.0,275.0,276.0,287.0,287.0,289.0,293.0,288.0,303.0,295.0,305.0,308.0,307.0,308.0,312.0,316.0,318.0
unfilled_spots,325.0,2.0,0.0,0.0,0.0,10.0,20.0,40.0,83.0,98.0,125.0,149.0,157.0,170.0,190.0,204.0,216.0,223.0,233.0,242.0,249.0,253.0,261.0,261.0,271.0,273.0,277.0,281.0,285.0,288.0,296.0,299.0,300.0,300.0,302.0,304.0,308.0,310.0,311.0,313.0,317.0
unfilled_spots,326.0,1.0,1.0,0.0,0.0,12.0,31.0,53.0,81.0,99.0,135.0,135.0,169.0,177.0,190.0,193.0,217.0,216.0,230.0,241.0,252.0,253.0,252.0,265.0,265.0,267.0,280.0,285.0,283.0,285.0,289.0,298.0,299.0,304.0,310.0,308.0,315.0,311.0,319.0,316.0,314.0
unfilled_spots,326.0,0.0,0.0,0.0,0.0,4.0,19.0,50.0,80.0,101.0,118.0,137.0,166.0,176.0,188.0,196.0,208.0,223.0,231.0,231.0,251.0,253.0,260.0,260.0,270.0,274.0,276.0,282.0,283.0,294.0,294.0,299.0,302.0,296.0,306.0,308.0,314.0,315.0,319.0,315.0,321.0
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,306.56962025316454,168.44303797468353,60.40506329113924,45.49367088607595,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,302.54430379746833,172.60759493670886,67.21518987341773,45.49367088607595,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,302.55696202531647,168.44303797468353,59.54430379746835,45.49367088607595,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,307.53164556962025,149.27848101265823,67.70886075949367,45.49367088607595,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,306.54430379746833,170.86075949367088,67.46835443037975,45.49367088607595,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,294.9367088607595,183.46835443037975,59.74683544303797,49.21518987341772,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,294.55696202531647,155.1772151898734,66.84810126582279,45.49367088607595,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,303.24050632911394,168.43037974683546,52.050632911392405,49.075949367088604,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,311.34177215189874,160.0379746835443,55.962025316455694,45.49367088607595,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
reviews_per_program,326.0379746835443,326.0379746835443,326.0379746835443,298.8101265822785,169.48101265822785,75.34177215189874,49.139240506329116,53.075949367088604,60.65822784810127,68.24050632911393,75.82278481012658,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303,272.9620253164557,280.54430379746833,288.126582278481,295.7088607594937,303.2911392405063
pct_interview_given_signal,0.0,1.0283806343906512,1.0300500834724542,1.0105731775180857,0.9290484140233722,0.784974958263773,0.659432387312187,0.5652277605533031,0.49457429048414026,0.43962159154145797,0.39565943238731216,0.3596903930793747,0.3297161936560935,0.30435340952870166,0.2826138802766516,0.2637729549248748,0.24728714524207013,0.23274084258077188,0.21981079577072898,0.208241806519638,0.19782971619365608,0.18840925351776772,0.17984519653968736,0.17202584016839662,0.16485809682804675,0.1582637729549249,0.15217670476435083,0.14654053051381932,0.1413069401383258,0.13643428703010765,0.1318864774624374,0.1276320749636491,0.12364357262103506,0.1198967976931249,0.11637042129038594,0.11304555211066063,0.10990539788536449,0.10693498172630059,0.104120903259819,0.10145113650956723,0.09891485809682804
pct_interview_given_signal,0.0,1.0434056761268782,1.0225375626043405,0.9994435169727324,0.9403171953255426,0.7853088480801336,0.659432387312187,0.5652277605533031,0.49457429048414026,0.43962159154145797,0.39565943238731216,0.3596903930793747,0.3297161936560935,0.30435340952870166,0.2826138802766516,0.2637729549248748,0.24728714524207013,0.23274084258077188,0.21981079577072898,0.208241806519638,0.19782971619365608,0.18840925351776772,0.17984519653968736,0.17202584016839662,0.16485809682804675,0.1582637729549249,0.15217670476435083,0.14654053051381932,0.1413069401383258,0.13643428703010765,0.1318864774624374,0.1276320749636491,0.12364357262103506,0.1198967976931249,0.11637042129038594,0.11304555211066063,0.10990539788536449,0.10693498172630059,0.104120903259819,0.10145113650956723,0.09891485809682804
