Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
unmatched_applicants,5573.0,4648.0,4648.0,4648.0,4648.0,4652.0,4653.0,4682.0,4712.0,4781.0,4851.0,4911.0,4967.0,5027.0,5080.0,5122.0,5175.0,5209.0,5244.0,5269.0,5295.0,5329.0,5362.0,5386.0,5414.0,5427.0,5437.0,5456.0,5478.0,5485.0,5495.0,5523.0,5538.0
unmatched_applicants,5570.0,4648.0,4648.0,4648.0,4648.0,4649.0,4662.0,4668.0,4723.0,4757.0,4820.0,4907.0,4954.0,5025.0,5084.0,5133.0,5194.0,5215.0,5234.0,5282.0,5303.0,5339.0,5348.0,5383.0,5401.0,5418.0,5429.0,5452.0,5475.0,5485.0,5509.0,5519.0,5537.0
unmatched_applicants,5558.0,4648.0,4648.0,4648.0,4648.0,4648.0,4657.0,4666.0,4722.0,4794.0,4849.0,4925.0,4968.0,5031.0,5085.0,5132.0,5166.0,5215.0,5248.0,5282.0,5305.0,5322.0,5360.0,5383.0,5400.0,5420.0,5448.0,5450.0,5475.0,5491.0,5515.0,5518.0,5531.0
unmatched_applicants,5568.0,4648.0,4648.0,4648.0,4648.0,4648.0,4651.0,4675.0,4714.0,4798.0,4846.0,4912.0,4993.0,5039.0,5070.0,5135.0,5166.0,5211.0,5255.0,5271.0,5316.0,5330.0,5364.0,5380.0,5401.0,5433.0,5446.0,5449.0,5485.0,5495.0,5499.0,5519.0,5531.0
unmatched_applicants,5562.0,4648.0,4648.0,4648.0,4648.0,4648.0,4650.0,4681.0,4725.0,4775.0,4843.0,4909.0,4972.0,4999.0,5089.0,5124.0,5163.0,5205.0,5231.0,5290.0,5312.0,5334.0,5370.0,5370.0,5411.0,5435.0,5451.0,5474.0,5478.0,5488.0,5511.0,5517.0,5523.0
unmatched_applicants,5559.0,4648.0,4648.0,4648.0,4648.0,4648.0,4655.0,4678.0,4705.0,4781.0,4843.0,4907.0,4965.0,5031.0,5087.0,5143.0,5163.0,5190.0,5244.0,5279.0,5291.0,5334.0,5367.0,5384.0,5396.0,5399.0,5441.0,5457.0,5476.0,5493.0,5503.0,5520.0,5539.0
unmatched_applicants,5556.0,4648.0,4648.0,4648.0,4648.0,4648.0,4655.0,4670.0,4720.0,4779.0,4857.0,4908.0,4976.0,5026.0,5086.0,5126.0,5164.0,5218.0,5251.0,5279.0,5304.0,5331.0,5357.0,5376.0,5385.0,5432.0,5460.0,5449.0,5470.0,5486.0,5500.0,5520.0,5533.0
unmatched_applicants,5561.0,4648.0,4648.0,4648.0,4648.0,4648.0,4650.0,4681.0,4714.0,4761.0,4844.0,4916.0,4980.0,5023.0,5083.0,5119.0,5178.0,5190.0,5262.0,5277.0,5312.0,5326.0,5350.0,5385.0,5403.0,5423.0,5440.0,5458.0,5465.0,5486.0,5510.0,5512.0,5530.0
unmatched_applicants,5558.0,4648.0,4648.0,4648.0,4648.0,4648.0,4654.0,4678.0,4714.0,4787.0,4842.0,4897.0,4968.0,5022.0,5082.0,5126.0,5166.0,5208.0,5239.0,5277.0,5281.0,5327.0,5359.0,5377.0,5404.0,5415.0,5433.0,5462.0,5474.0,5492.0,5503.0,5520.0,5524.0
unmatched_applicants,5568.0,4648.0,4648.0,4648.0,4648.0,4649.0,4653.0,4679.0,4718.0,4776.0,4850.0,4887.0,4990.0,5009.0,5079.0,5114.0,5166.0,5205.0,5239.0,5283.0,5312.0,5329.0,5348.0,5385.0,5406.0,5409.0,5430.0,5448.0,5482.0,5494.0,5503.0,5508.0,5527.0
unfilled_spots,925.0,0.0,0.0,0.0,0.0,4.0,5.0,34.0,64.0,133.0,203.0,263.0,319.0,379.0,432.0,474.0,527.0,561.0,596.0,621.0,647.0,681.0,714.0,738.0,766.0,779.0,789.0,808.0,830.0,837.0,847.0,875.0,890.0
unfilled_spots,922.0,0.0,0.0,0.0,0.0,1.0,14.0,20.0,75.0,109.0,172.0,259.0,306.0,377.0,436.0,485.0,546.0,567.0,586.0,634.0,655.0,691.0,700.0,735.0,753.0,770.0,781.0,804.0,827.0,837.0,861.0,871.0,889.0
unfilled_spots,910.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,74.0,146.0,201.0,277.0,320.0,383.0,437.0,484.0,518.0,567.0,600.0,634.0,657.0,674.0,712.0,735.0,752.0,772.0,800.0,802.0,827.0,843.0,867.0,870.0,883.0
unfilled_spots,920.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,66.0,150.0,198.0,264.0,345.0,391.0,422.0,487.0,518.0,563.0,607.0,623.0,668.0,682.0,716.0,732.0,753.0,785.0,798.0,801.0,837.0,847.0,851.0,871.0,883.0
unfilled_spots,914.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,77.0,127.0,195.0,261.0,324.0,351.0,441.0,476.0,515.0,557.0,583.0,642.0,664.0,686.0,722.0,722.0,763.0,787.0,803.0,826.0,830.0,840.0,863.0,869.0,875.0
unfilled_spots,911.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,57.0,133.0,195.0,259.0,317.0,383.0,439.0,495.0,515.0,542.0,596.0,631.0,643.0,686.0,719.0,736.0,748.0,751.0,793.0,809.0,828.0,845.0,855.0,872.0,891.0
unfilled_spots,908.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,72.0,131.0,209.0,260.0,328.0,378.0,438.0,478.0,516.0,570.0,603.0,631.0,656.0,683.0,709.0,728.0,737.0,784.0,812.0,801.0,822.0,838.0,852.0,872.0,885.0
unfilled_spots,913.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,66.0,113.0,196.0,268.0,332.0,375.0,435.0,471.0,530.0,542.0,614.0,629.0,664.0,678.0,702.0,737.0,755.0,775.0,792.0,810.0,817.0,838.0,862.0,864.0,882.0
unfilled_spots,910.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,66.0,139.0,194.0,249.0,320.0,374.0,434.0,478.0,518.0,560.0,591.0,629.0,633.0,679.0,711.0,729.0,756.0,767.0,785.0,814.0,826.0,844.0,855.0,872.0,876.0
unfilled_spots,920.0,0.0,0.0,0.0,0.0,1.0,5.0,31.0,70.0,128.0,202.0,239.0,342.0,361.0,431.0,466.0,518.0,557.0,591.0,635.0,664.0,681.0,700.0,737.0,758.0,761.0,782.0,800.0,834.0,846.0,855.0,860.0,879.0
reviews_per_program,634.468085106383,632.6109422492401,152.09422492401217,56.19756838905775,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,632.6504559270517,159.72948328267478,56.06079027355623,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,634.468085106383,163.46504559270517,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,634.468085106383,176.6352583586626,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,630.7446808510638,171.42857142857142,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,634.468085106383,166.2370820668693,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,630.5835866261398,159.63829787234042,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,634.468085106383,166.88753799392097,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,632.6231003039513,159.9787234042553,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
reviews_per_program,634.468085106383,632.5744680851063,175.85714285714286,54.38297872340426,72.51063829787235,90.63829787234043,108.76595744680851,126.8936170212766,145.0212765957447,163.14893617021278,181.27659574468086,199.40425531914894,217.53191489361703,235.6595744680851,253.7872340425532,271.9148936170213,290.0425531914894,308.17021276595744,326.29787234042556,344.4255319148936,362.5531914893617,380.6808510638298,398.8085106382979,416.93617021276594,435.06382978723406,453.1914893617021,471.3191489361702,489.4468085106383,507.5744680851064,525.7021276595744,543.8297872340426,561.9574468085107,580.0851063829788
pct_interview_given_signal,0.0,1.0016767270288398,0.8594064386317908,0.5883076235188911,0.4413145539906103,0.3530516431924883,0.2942097026604069,0.25217974513749164,0.22065727699530516,0.1961398017736046,0.17652582159624414,0.16047801963294922,0.14710485133020346,0.13578909353557242,0.12608987256874582,0.11768388106416275,0.11032863849765258,0.10383871858602596,0.0980699008868023,0.09290832715591796,0.08826291079812207,0.08405991504583053,0.08023900981647461,0.07675035721575832,0.07355242566510173,0.07061032863849766,0.06789454676778621,0.06537993392453487,0.06304493628437291,0.060870972964222114,0.058841940532081374,0.056943813418143266,0.05516431924882629
pct_interview_given_signal,0.0,1.0016767270288398,0.8591549295774648,0.5883076235188911,0.4413145539906103,0.3530516431924883,0.2942097026604069,0.25217974513749164,0.22065727699530516,0.1961398017736046,0.17652582159624414,0.16047801963294922,0.14710485133020346,0.13578909353557242,0.12608987256874582,0.11768388106416275,0.11032863849765258,0.10383871858602596,0.0980699008868023,0.09290832715591796,0.08826291079812207,0.08405991504583053,0.08023900981647461,0.07675035721575832,0.07355242566510173,0.07061032863849766,0.06789454676778621,0.06537993392453487,0.06304493628437291,0.060870972964222114,0.058841940532081374,0.056943813418143266,0.05516431924882629
