Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
unmatched_applicants,1962.0,1770.0,1770.0,1770.0,1770.0,1770.0,1771.0,1780.0,1781.0,1808.0,1820.0,1832.0,1864.0,1882.0,1882.0,1902.0,1916.0,1927.0,1945.0
unmatched_applicants,1968.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1776.0,1787.0,1798.0,1816.0,1837.0,1866.0,1883.0,1894.0,1902.0,1918.0,1921.0,1936.0
unmatched_applicants,1957.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1775.0,1790.0,1809.0,1821.0,1841.0,1860.0,1871.0,1881.0,1902.0,1918.0,1930.0,1938.0
unmatched_applicants,1956.0,1770.0,1770.0,1770.0,1770.0,1772.0,1770.0,1776.0,1790.0,1817.0,1824.0,1833.0,1872.0,1876.0,1887.0,1898.0,1916.0,1922.0,1935.0
unmatched_applicants,1954.0,1770.0,1770.0,1770.0,1770.0,1770.0,1772.0,1774.0,1804.0,1805.0,1826.0,1851.0,1859.0,1874.0,1887.0,1910.0,1914.0,1928.0,1937.0
unmatched_applicants,1972.0,1770.0,1770.0,1770.0,1770.0,1770.0,1772.0,1777.0,1786.0,1813.0,1827.0,1851.0,1859.0,1882.0,1897.0,1907.0,1919.0,1932.0,1945.0
unmatched_applicants,1963.0,1770.0,1770.0,1770.0,1770.0,1770.0,1774.0,1778.0,1799.0,1816.0,1828.0,1843.0,1860.0,1879.0,1899.0,1912.0,1910.0,1917.0,1937.0
unmatched_applicants,1961.0,1770.0,1770.0,1770.0,1770.0,1770.0,1771.0,1775.0,1788.0,1803.0,1830.0,1850.0,1856.0,1870.0,1881.0,1899.0,1915.0,1928.0,1933.0
unmatched_applicants,1967.0,1770.0,1770.0,1770.0,1770.0,1770.0,1774.0,1772.0,1787.0,1805.0,1840.0,1844.0,1861.0,1870.0,1895.0,1898.0,1911.0,1936.0,1926.0
unmatched_applicants,1963.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1783.0,1789.0,1801.0,1826.0,1835.0,1859.0,1878.0,1887.0,1906.0,1916.0,1925.0,1945.0
unfilled_spots,192.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,38.0,50.0,62.0,94.0,112.0,112.0,132.0,146.0,157.0,175.0
unfilled_spots,198.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,28.0,46.0,67.0,96.0,113.0,124.0,132.0,148.0,151.0,166.0
unfilled_spots,187.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,39.0,51.0,71.0,90.0,101.0,111.0,132.0,148.0,160.0,168.0
unfilled_spots,186.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,20.0,47.0,54.0,63.0,102.0,106.0,117.0,128.0,146.0,152.0,165.0
unfilled_spots,184.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,34.0,35.0,56.0,81.0,89.0,104.0,117.0,140.0,144.0,158.0,167.0
unfilled_spots,202.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,16.0,43.0,57.0,81.0,89.0,112.0,127.0,137.0,149.0,162.0,175.0
unfilled_spots,193.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,29.0,46.0,58.0,73.0,90.0,109.0,129.0,142.0,140.0,147.0,167.0
unfilled_spots,191.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,33.0,60.0,80.0,86.0,100.0,111.0,129.0,145.0,158.0,163.0
unfilled_spots,197.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,17.0,35.0,70.0,74.0,91.0,100.0,125.0,128.0,141.0,166.0,156.0
unfilled_spots,193.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,31.0,56.0,65.0,89.0,108.0,117.0,136.0,146.0,155.0,175.0
reviews_per_program,492.46153846153845,467.2637362637363,51.78021978021978,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901
