Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unmatched_applicants,371.0,244.0,234.0,234.0,234.0,238.0,241.0,253.0,266.0,272.0,287.0,303.0,309.0,313.0,320.0,331.0,336.0,348.0,352.0,353.0
unmatched_applicants,369.0,241.0,234.0,235.0,234.0,238.0,239.0,248.0,266.0,271.0,292.0,307.0,298.0,309.0,326.0,332.0,331.0,349.0,351.0,357.0
unmatched_applicants,369.0,240.0,234.0,234.0,234.0,235.0,244.0,248.0,261.0,282.0,290.0,294.0,303.0,311.0,319.0,331.0,344.0,353.0,350.0,355.0
unmatched_applicants,375.0,244.0,235.0,235.0,234.0,235.0,242.0,251.0,268.0,267.0,289.0,298.0,298.0,310.0,319.0,334.0,340.0,346.0,346.0,352.0
unmatched_applicants,371.0,240.0,234.0,234.0,235.0,236.0,237.0,251.0,254.0,274.0,292.0,302.0,305.0,317.0,326.0,334.0,336.0,341.0,346.0,356.0
unmatched_applicants,366.0,235.0,236.0,234.0,234.0,235.0,244.0,249.0,260.0,277.0,284.0,298.0,307.0,318.0,327.0,330.0,336.0,347.0,345.0,352.0
unmatched_applicants,369.0,237.0,238.0,235.0,237.0,237.0,241.0,245.0,260.0,276.0,281.0,290.0,301.0,312.0,319.0,331.0,339.0,344.0,344.0,355.0
unmatched_applicants,368.0,238.0,236.0,234.0,234.0,237.0,238.0,250.0,269.0,272.0,286.0,292.0,302.0,309.0,314.0,333.0,333.0,343.0,356.0,357.0
unmatched_applicants,364.0,238.0,236.0,235.0,235.0,236.0,241.0,249.0,262.0,276.0,283.0,296.0,314.0,315.0,323.0,334.0,336.0,344.0,350.0,362.0
unmatched_applicants,365.0,244.0,236.0,234.0,234.0,234.0,239.0,250.0,265.0,274.0,285.0,299.0,308.0,316.0,321.0,329.0,339.0,347.0,349.0,359.0
unfilled_spots,137.0,10.0,0.0,0.0,0.0,4.0,7.0,19.0,32.0,38.0,53.0,69.0,75.0,79.0,86.0,97.0,102.0,114.0,118.0,119.0
unfilled_spots,135.0,7.0,0.0,1.0,0.0,4.0,5.0,14.0,32.0,37.0,58.0,73.0,64.0,75.0,92.0,98.0,97.0,115.0,117.0,123.0
unfilled_spots,135.0,6.0,0.0,0.0,0.0,1.0,10.0,14.0,27.0,48.0,56.0,60.0,69.0,77.0,85.0,97.0,110.0,119.0,116.0,121.0
unfilled_spots,141.0,10.0,1.0,1.0,0.0,1.0,8.0,17.0,34.0,33.0,55.0,64.0,64.0,76.0,85.0,100.0,106.0,112.0,112.0,118.0
unfilled_spots,137.0,6.0,0.0,0.0,1.0,2.0,3.0,17.0,20.0,40.0,58.0,68.0,71.0,83.0,92.0,100.0,102.0,107.0,112.0,122.0
unfilled_spots,132.0,1.0,2.0,0.0,0.0,1.0,10.0,15.0,26.0,43.0,50.0,64.0,73.0,84.0,93.0,96.0,102.0,113.0,111.0,118.0
unfilled_spots,135.0,3.0,4.0,1.0,3.0,3.0,7.0,11.0,26.0,42.0,47.0,56.0,67.0,78.0,85.0,97.0,105.0,110.0,110.0,121.0
unfilled_spots,134.0,4.0,2.0,0.0,0.0,3.0,4.0,16.0,35.0,38.0,52.0,58.0,68.0,75.0,80.0,99.0,99.0,109.0,122.0,123.0
unfilled_spots,130.0,4.0,2.0,1.0,1.0,2.0,7.0,15.0,28.0,42.0,49.0,62.0,80.0,81.0,89.0,100.0,102.0,110.0,116.0,128.0
