Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
unmatched_applicants,398.0,243.0,236.0,234.0,246.0,254.0,263.0,282.0,291.0,314.0,318.0,333.0,336.0,346.0,357.0,358.0,370.0,379.0,381.0,381.0,383.0,392.0,390.0,395.0
unmatched_applicants,407.0,242.0,238.0,236.0,238.0,248.0,272.0,285.0,294.0,309.0,315.0,330.0,336.0,343.0,355.0,366.0,366.0,373.0,378.0,377.0,383.0,390.0,399.0,392.0
unmatched_applicants,402.0,241.0,236.0,235.0,240.0,255.0,269.0,293.0,290.0,307.0,318.0,327.0,342.0,343.0,357.0,351.0,363.0,375.0,380.0,381.0,388.0,389.0,394.0,395.0
unmatched_applicants,406.0,241.0,234.0,234.0,235.0,246.0,264.0,281.0,293.0,309.0,318.0,333.0,341.0,344.0,358.0,367.0,370.0,369.0,376.0,378.0,388.0,390.0,390.0,396.0
unmatched_applicants,407.0,240.0,238.0,236.0,239.0,250.0,265.0,280.0,296.0,309.0,319.0,330.0,343.0,350.0,352.0,356.0,365.0,370.0,376.0,385.0,387.0,386.0,393.0,397.0
unmatched_applicants,408.0,243.0,236.0,236.0,243.0,254.0,273.0,284.0,299.0,308.0,319.0,336.0,339.0,348.0,359.0,360.0,366.0,368.0,374.0,381.0,385.0,391.0,389.0,399.0
unmatched_applicants,403.0,242.0,237.0,235.0,241.0,252.0,270.0,279.0,290.0,311.0,323.0,331.0,340.0,346.0,354.0,359.0,368.0,373.0,375.0,382.0,387.0,385.0,387.0,397.0
unmatched_applicants,406.0,247.0,236.0,235.0,240.0,253.0,268.0,273.0,301.0,310.0,320.0,338.0,337.0,346.0,352.0,368.0,371.0,372.0,374.0,382.0,386.0,391.0,396.0,396.0
unmatched_applicants,404.0,240.0,234.0,237.0,239.0,253.0,273.0,283.0,299.0,305.0,323.0,335.0,337.0,350.0,351.0,369.0,369.0,371.0,373.0,385.0,387.0,390.0,395.0,394.0
unmatched_applicants,402.0,243.0,236.0,234.0,238.0,255.0,268.0,281.0,304.0,306.0,326.0,336.0,345.0,350.0,356.0,364.0,364.0,372.0,375.0,380.0,386.0,390.0,392.0,399.0
unfilled_spots,164.0,9.0,2.0,0.0,12.0,20.0,29.0,48.0,57.0,80.0,84.0,99.0,102.0,112.0,123.0,124.0,136.0,145.0,147.0,147.0,149.0,158.0,156.0,161.0
unfilled_spots,173.0,8.0,4.0,2.0,4.0,14.0,38.0,51.0,60.0,75.0,81.0,96.0,102.0,109.0,121.0,132.0,132.0,139.0,144.0,143.0,149.0,156.0,165.0,158.0
unfilled_spots,168.0,7.0,2.0,1.0,6.0,21.0,35.0,59.0,56.0,73.0,84.0,93.0,108.0,109.0,123.0,117.0,129.0,141.0,146.0,147.0,154.0,155.0,160.0,161.0
unfilled_spots,172.0,7.0,0.0,0.0,1.0,12.0,30.0,47.0,59.0,75.0,84.0,99.0,107.0,110.0,124.0,133.0,136.0,135.0,142.0,144.0,154.0,156.0,156.0,162.0
unfilled_spots,173.0,6.0,4.0,2.0,5.0,16.0,31.0,46.0,62.0,75.0,85.0,96.0,109.0,116.0,118.0,122.0,131.0,136.0,142.0,151.0,153.0,152.0,159.0,163.0
unfilled_spots,174.0,9.0,2.0,2.0,9.0,20.0,39.0,50.0,65.0,74.0,85.0,102.0,105.0,114.0,125.0,126.0,132.0,134.0,140.0,147.0,151.0,157.0,155.0,165.0
unfilled_spots,169.0,8.0,3.0,1.0,7.0,18.0,36.0,45.0,56.0,77.0,89.0,97.0,106.0,112.0,120.0,125.0,134.0,139.0,141.0,148.0,153.0,151.0,153.0,163.0
unfilled_spots,172.0,13.0,2.0,1.0,6.0,19.0,34.0,39.0,67.0,76.0,86.0,104.0,103.0,112.0,118.0,134.0,137.0,138.0,140.0,148.0,152.0,157.0,162.0,162.0
unfilled_spots,170.0,6.0,0.0,3.0,5.0,19.0,39.0,49.0,65.0,71.0,89.0,101.0,103.0,116.0,117.0,135.0,135.0,137.0,139.0,151.0,153.0,156.0,161.0,160.0
unfilled_spots,168.0,9.0,2.0,0.0,4.0,21.0,34.0,47.0,70.0,72.0,92.0,102.0,111.0,116.0,122.0,130.0,130.0,138.0,141.0,146.0,152.0,156.0,158.0,165.0
reviews_per_program,102.28099173553719,101.47107438016529,80.17355371900827,36.049586776859506,19.371900826446282,19.669421487603305,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,101.52892561983471,75.87603305785125,34.99173553719008,20.74380165289256,20.322314049586776,24.297520661157026,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,100.48760330578513,73.85123966942149,29.570247933884296,17.09090909090909,19.669421487603305,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,100.64462809917356,76.42148760330579,34.94214876033058,19.214876033057852,20.24793388429752,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,101.63636363636364,77.97520661157024,39.88429752066116,18.85123966942149,19.669421487603305,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,101.52892561983471,74.21487603305785,32.247933884297524,20.876033057851238,21.03305785123967,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,101.56198347107438,80.34710743801652,32.31404958677686,17.15702479338843,19.669421487603305,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,102.28099173553719,77.03305785123968,32.64462809917355,22.34710743801653,19.669421487603305,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,102.28099173553719,72.9090909090909,37.67768595041322,24.96694214876033,19.669421487603305,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
reviews_per_program,102.28099173553719,102.28099173553719,75.8099173553719,32.429752066115704,19.950413223140497,21.867768595041323,23.60330578512397,27.537190082644628,31.47107438016529,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521
pct_interview_given_signal,0.0,1.0084033613445378,0.9653361344537815,0.7871148459383753,0.6328781512605042,0.5084033613445378,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.004201680672269,0.9569327731092437,0.7878151260504201,0.6276260504201681,0.5079831932773109,0.4226190476190476,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.004201680672269,0.9338235294117647,0.8088235294117647,0.631827731092437,0.5084033613445378,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.0105042016806722,0.9663865546218487,0.8025210084033614,0.6307773109243697,0.507563025210084,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.0,0.9380252100840336,0.7752100840336135,0.6323529411764706,0.5084033613445378,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.0084033613445378,0.9464285714285714,0.8095238095238095,0.6307773109243697,0.5071428571428571,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.0105042016806722,0.9621848739495799,0.7941176470588235,0.6339285714285714,0.5084033613445378,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.004201680672269,0.9548319327731093,0.8067226890756303,0.6302521008403361,0.5084033613445378,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.0105042016806722,0.9516806722689075,0.7864145658263305,0.6234243697478992,0.5084033613445378,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_signal,0.0,1.004201680672269,0.9506302521008403,0.8067226890756303,0.6302521008403361,0.5054621848739496,0.42366946778711484,0.3631452581032413,0.3177521008403361,0.28244631185807656,0.2542016806722689,0.23109243697478993,0.21183473389355742,0.19553975436328377,0.18157262905162064,0.16946778711484595,0.15887605042016806,0.1495304003954523,0.14122315592903828,0.13379035824856259,0.12710084033613445,0.1210484193677471,0.11554621848739496,0.11052246985750822
pct_interview_given_nosignal,0.09776987718164189,0.06134453781512605,0.025472689075630252,0.007855316039459262,0.0004774637127578304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.061512605042016805,0.02617296918767507,0.007763975155279503,0.0014323911382734913,0.00010004001600640257,0.0003151260504201681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.061512605042016805,0.02809873949579832,0.005023748629886737,0.0006684491978609625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.06126050420168067,0.02538515406162465,0.005845816587504567,0.0008594346829640947,0.00020008003201280514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.06168067226890756,0.02774859943977591,0.009408111070515163,0.0005729564553093965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.06134453781512605,0.027048319327731093,0.004932407745706979,0.0008594346829640947,0.00030012004801920766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.06126050420168067,0.025735294117647058,0.006941907197661673,0.00028647822765469827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.061512605042016805,0.026348039215686275,0.005297771282426014,0.0009549274255156608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.06126050420168067,0.02661064425770308,0.007946656923639021,0.00219633307868602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09776987718164189,0.061512605042016805,0.026698179271708682,0.005297771282426014,0.0009549274255156608,0.0007002801120448179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189
pct_interview_given_application,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189,0.09776987718164189
