Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
unmatched_applicants,1611.0,981.0,981.0,983.0,994.0,1041.0,1081.0,1147.0,1221.0,1262.0,1304.0,1322.0,1362.0,1394.0,1424.0,1447.0,1451.0,1465.0,1489.0,1486.0,1505.0,1527.0,1523.0,1543.0,1553.0,1556.0,1568.0,1585.0,1572.0,1581.0,1599.0,1602.0
unmatched_applicants,1619.0,981.0,981.0,981.0,995.0,1035.0,1077.0,1150.0,1204.0,1267.0,1309.0,1330.0,1348.0,1394.0,1404.0,1426.0,1459.0,1466.0,1484.0,1501.0,1520.0,1522.0,1532.0,1537.0,1556.0,1565.0,1572.0,1570.0,1578.0,1589.0,1595.0,1601.0
unmatched_applicants,1616.0,981.0,981.0,982.0,990.0,1033.0,1104.0,1144.0,1222.0,1260.0,1287.0,1341.0,1366.0,1384.0,1406.0,1432.0,1447.0,1474.0,1482.0,1501.0,1517.0,1528.0,1537.0,1547.0,1552.0,1560.0,1566.0,1571.0,1570.0,1583.0,1591.0,1601.0
unmatched_applicants,1613.0,981.0,981.0,982.0,994.0,1025.0,1079.0,1156.0,1201.0,1247.0,1300.0,1330.0,1356.0,1375.0,1421.0,1442.0,1436.0,1475.0,1489.0,1494.0,1504.0,1534.0,1539.0,1538.0,1549.0,1560.0,1563.0,1564.0,1577.0,1580.0,1595.0,1606.0
unmatched_applicants,1620.0,981.0,981.0,982.0,994.0,1037.0,1091.0,1150.0,1210.0,1249.0,1297.0,1339.0,1359.0,1395.0,1399.0,1433.0,1456.0,1453.0,1485.0,1495.0,1506.0,1511.0,1532.0,1542.0,1546.0,1550.0,1570.0,1576.0,1581.0,1586.0,1594.0,1597.0
unmatched_applicants,1620.0,981.0,981.0,981.0,987.0,1034.0,1097.0,1150.0,1193.0,1259.0,1288.0,1336.0,1366.0,1383.0,1407.0,1425.0,1462.0,1472.0,1483.0,1503.0,1513.0,1527.0,1532.0,1541.0,1556.0,1563.0,1574.0,1578.0,1582.0,1587.0,1587.0,1599.0
unmatched_applicants,1610.0,982.0,981.0,981.0,987.0,1032.0,1105.0,1148.0,1205.0,1257.0,1311.0,1331.0,1354.0,1394.0,1423.0,1438.0,1441.0,1467.0,1489.0,1509.0,1504.0,1531.0,1535.0,1541.0,1558.0,1561.0,1566.0,1573.0,1585.0,1589.0,1600.0,1596.0
unmatched_applicants,1608.0,981.0,981.0,981.0,1002.0,1027.0,1096.0,1148.0,1200.0,1260.0,1292.0,1338.0,1375.0,1385.0,1423.0,1434.0,1450.0,1466.0,1479.0,1489.0,1503.0,1529.0,1525.0,1549.0,1557.0,1567.0,1562.0,1571.0,1580.0,1590.0,1596.0,1599.0
unmatched_applicants,1617.0,981.0,981.0,983.0,997.0,1046.0,1099.0,1150.0,1195.0,1257.0,1306.0,1319.0,1370.0,1388.0,1408.0,1427.0,1454.0,1476.0,1479.0,1506.0,1506.0,1523.0,1531.0,1549.0,1546.0,1554.0,1568.0,1581.0,1586.0,1582.0,1598.0,1602.0
unmatched_applicants,1614.0,981.0,981.0,981.0,994.0,1036.0,1084.0,1150.0,1212.0,1245.0,1297.0,1325.0,1347.0,1389.0,1416.0,1435.0,1446.0,1469.0,1473.0,1497.0,1519.0,1527.0,1531.0,1534.0,1552.0,1553.0,1572.0,1564.0,1573.0,1588.0,1593.0,1601.0
unfilled_spots,630.0,0.0,0.0,2.0,13.0,60.0,100.0,166.0,240.0,281.0,323.0,341.0,381.0,413.0,443.0,466.0,470.0,484.0,508.0,505.0,524.0,546.0,542.0,562.0,572.0,575.0,587.0,604.0,591.0,600.0,618.0,621.0
unfilled_spots,638.0,0.0,0.0,0.0,14.0,54.0,96.0,169.0,223.0,286.0,328.0,349.0,367.0,413.0,423.0,445.0,478.0,485.0,503.0,520.0,539.0,541.0,551.0,556.0,575.0,584.0,591.0,589.0,597.0,608.0,614.0,620.0
unfilled_spots,635.0,0.0,0.0,1.0,9.0,52.0,123.0,163.0,241.0,279.0,306.0,360.0,385.0,403.0,425.0,451.0,466.0,493.0,501.0,520.0,536.0,547.0,556.0,566.0,571.0,579.0,585.0,590.0,589.0,602.0,610.0,620.0
unfilled_spots,632.0,0.0,0.0,1.0,13.0,44.0,98.0,175.0,220.0,266.0,319.0,349.0,375.0,394.0,440.0,461.0,455.0,494.0,508.0,513.0,523.0,553.0,558.0,557.0,568.0,579.0,582.0,583.0,596.0,599.0,614.0,625.0
unfilled_spots,639.0,0.0,0.0,1.0,13.0,56.0,110.0,169.0,229.0,268.0,316.0,358.0,378.0,414.0,418.0,452.0,475.0,472.0,504.0,514.0,525.0,530.0,551.0,561.0,565.0,569.0,589.0,595.0,600.0,605.0,613.0,616.0
unfilled_spots,639.0,0.0,0.0,0.0,6.0,53.0,116.0,169.0,212.0,278.0,307.0,355.0,385.0,402.0,426.0,444.0,481.0,491.0,502.0,522.0,532.0,546.0,551.0,560.0,575.0,582.0,593.0,597.0,601.0,606.0,606.0,618.0
unfilled_spots,629.0,1.0,0.0,0.0,6.0,51.0,124.0,167.0,224.0,276.0,330.0,350.0,373.0,413.0,442.0,457.0,460.0,486.0,508.0,528.0,523.0,550.0,554.0,560.0,577.0,580.0,585.0,592.0,604.0,608.0,619.0,615.0
unfilled_spots,627.0,0.0,0.0,0.0,21.0,46.0,115.0,167.0,219.0,279.0,311.0,357.0,394.0,404.0,442.0,453.0,469.0,485.0,498.0,508.0,522.0,548.0,544.0,568.0,576.0,586.0,581.0,590.0,599.0,609.0,615.0,618.0
unfilled_spots,636.0,0.0,0.0,2.0,16.0,65.0,118.0,169.0,214.0,276.0,325.0,338.0,389.0,407.0,427.0,446.0,473.0,495.0,498.0,525.0,525.0,542.0,550.0,568.0,565.0,573.0,587.0,600.0,605.0,601.0,617.0,621.0
unfilled_spots,633.0,0.0,0.0,0.0,13.0,55.0,103.0,169.0,231.0,264.0,316.0,344.0,366.0,408.0,435.0,454.0,465.0,488.0,492.0,516.0,538.0,546.0,550.0,553.0,571.0,572.0,591.0,583.0,592.0,607.0,612.0,620.0
reviews_per_program,379.77358490566036,379.77358490566036,264.9308176100629,61.38993710691824,44.679245283018865,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795,290.41509433962267,301.58490566037733,312.75471698113205,323.92452830188677,335.0943396226415,346.2641509433962
reviews_per_program,379.77358490566036,379.77358490566036,267.8490566037736,47.16981132075472,44.679245283018865,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795,290.41509433962267,301.58490566037733,312.75471698113205,323.92452830188677,335.0943396226415,346.2641509433962
reviews_per_program,379.77358490566036,379.77358490566036,251.03773584905662,44.23270440251572,44.679245283018865,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795,290.41509433962267,301.58490566037733,312.75471698113205,323.92452830188677,335.0943396226415,346.2641509433962
reviews_per_program,379.77358490566036,379.77358490566036,263.44654088050316,64.44654088050315,46.77358490566038,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795,290.41509433962267,301.58490566037733,312.75471698113205,323.92452830188677,335.0943396226415,346.2641509433962
reviews_per_program,379.77358490566036,379.77358490566036,265.5157232704403,55.63522012578616,44.679245283018865,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795,290.41509433962267,301.58490566037733,312.75471698113205,323.92452830188677,335.0943396226415,346.2641509433962
reviews_per_program,379.77358490566036,379.77358490566036,260.60377358490564,46.735849056603776,44.679245283018865,55.84905660377358,67.01886792452831,78.18867924528301,89.35849056603773,100.52830188679245,111.69811320754717,122.86792452830188,134.03773584905662,145.20754716981133,156.37735849056602,167.54716981132074,178.71698113207546,189.88679245283018,201.0566037735849,212.22641509433961,223.39622641509433,234.56603773584905,245.73584905660377,256.9056603773585,268.07547169811323,279.24528301886795,290.41509433962267,301.58490566037733,312.75471698113205,323.92452830188677,335.0943396226415,346.2641509433962
