Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1659.0,690.0,684.0,678.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,677.0,682.0,705.0,739.0,744.0,819.0,859.0,902.0,943.0,997.0,1033.0,1056.0,1098.0,1153.0,1189.0,1207.0,1229.0,1272.0,1288.0,1307.0,1363.0,1363.0,1391.0,1385.0,1422.0,1449.0,1456.0,1477.0,1489.0
unmatched_applicants,1654.0,683.0,685.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,682.0,707.0,735.0,765.0,799.0,854.0,922.0,929.0,995.0,1042.0,1082.0,1109.0,1138.0,1178.0,1219.0,1245.0,1254.0,1300.0,1305.0,1335.0,1372.0,1385.0,1402.0,1430.0,1441.0,1466.0,1474.0,1491.0
unmatched_applicants,1669.0,685.0,685.0,681.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,679.0,701.0,752.0,758.0,803.0,855.0,913.0,946.0,998.0,1047.0,1066.0,1108.0,1144.0,1178.0,1194.0,1237.0,1267.0,1291.0,1328.0,1351.0,1346.0,1374.0,1406.0,1419.0,1441.0,1455.0,1476.0,1482.0
unmatched_applicants,1676.0,704.0,689.0,677.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,682.0,714.0,737.0,749.0,794.0,870.0,921.0,959.0,972.0,1019.0,1083.0,1115.0,1139.0,1189.0,1207.0,1240.0,1264.0,1293.0,1324.0,1331.0,1368.0,1374.0,1392.0,1421.0,1447.0,1471.0,1474.0,1499.0
unmatched_applicants,1668.0,714.0,689.0,680.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,685.0,708.0,731.0,764.0,815.0,851.0,931.0,953.0,992.0,1030.0,1096.0,1108.0,1138.0,1186.0,1203.0,1240.0,1271.0,1300.0,1317.0,1346.0,1379.0,1380.0,1410.0,1434.0,1447.0,1468.0,1467.0,1485.0
unmatched_applicants,1661.0,693.0,683.0,683.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,684.0,689.0,707.0,730.0,765.0,833.0,885.0,915.0,961.0,991.0,1025.0,1078.0,1115.0,1148.0,1205.0,1224.0,1234.0,1269.0,1296.0,1315.0,1336.0,1365.0,1374.0,1410.0,1436.0,1450.0,1453.0,1474.0,1500.0
unmatched_applicants,1664.0,692.0,695.0,678.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,677.0,692.0,705.0,722.0,770.0,822.0,860.0,914.0,955.0,1001.0,1024.0,1067.0,1102.0,1137.0,1173.0,1213.0,1231.0,1273.0,1288.0,1329.0,1355.0,1361.0,1390.0,1414.0,1431.0,1449.0,1460.0,1467.0,1510.0
unmatched_applicants,1663.0,693.0,683.0,679.0,680.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,683.0,696.0,737.0,776.0,834.0,863.0,922.0,951.0,983.0,1053.0,1066.0,1121.0,1145.0,1194.0,1210.0,1241.0,1263.0,1280.0,1322.0,1338.0,1364.0,1391.0,1412.0,1433.0,1441.0,1452.0,1483.0,1478.0
unmatched_applicants,1662.0,677.0,682.0,682.0,679.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,679.0,685.0,703.0,728.0,776.0,811.0,853.0,895.0,960.0,983.0,1040.0,1047.0,1108.0,1150.0,1176.0,1228.0,1242.0,1255.0,1312.0,1337.0,1341.0,1355.0,1370.0,1399.0,1434.0,1448.0,1442.0,1459.0,1487.0
unmatched_applicants,1662.0,695.0,680.0,681.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,682.0,708.0,720.0,765.0,839.0,849.0,911.0,958.0,1001.0,1033.0,1054.0,1121.0,1143.0,1186.0,1223.0,1227.0,1258.0,1299.0,1312.0,1331.0,1380.0,1394.0,1403.0,1416.0,1428.0,1470.0,1467.0,1485.0
unfilled_spots,983.0,14.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,29.0,63.0,68.0,143.0,183.0,226.0,267.0,321.0,357.0,380.0,422.0,477.0,513.0,531.0,553.0,596.0,612.0,631.0,687.0,687.0,715.0,709.0,746.0,773.0,780.0,801.0,813.0
unfilled_spots,978.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,31.0,59.0,89.0,123.0,178.0,246.0,253.0,319.0,366.0,406.0,433.0,462.0,502.0,543.0,569.0,578.0,624.0,629.0,659.0,696.0,709.0,726.0,754.0,765.0,790.0,798.0,815.0
unfilled_spots,993.0,9.0,9.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,25.0,76.0,82.0,127.0,179.0,237.0,270.0,322.0,371.0,390.0,432.0,468.0,502.0,518.0,561.0,591.0,615.0,652.0,675.0,670.0,698.0,730.0,743.0,765.0,779.0,800.0,806.0
unfilled_spots,1000.0,28.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,61.0,73.0,118.0,194.0,245.0,283.0,296.0,343.0,407.0,439.0,463.0,513.0,531.0,564.0,588.0,617.0,648.0,655.0,692.0,698.0,716.0,745.0,771.0,795.0,798.0,823.0
unfilled_spots,992.0,38.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,32.0,55.0,88.0,139.0,175.0,255.0,277.0,316.0,354.0,420.0,432.0,462.0,510.0,527.0,564.0,595.0,624.0,641.0,670.0,703.0,704.0,734.0,758.0,771.0,792.0,791.0,809.0
unfilled_spots,985.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,31.0,54.0,89.0,157.0,209.0,239.0,285.0,315.0,349.0,402.0,439.0,472.0,529.0,548.0,558.0,593.0,620.0,639.0,660.0,689.0,698.0,734.0,760.0,774.0,777.0,798.0,824.0
