Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,1255.0,730.0,728.0,726.0,726.0,726.0,726.0,728.0,737.0,771.0,817.0,852.0,880.0,918.0,951.0,997.0,1017.0,1044.0,1071.0,1090.0,1110.0,1135.0,1164.0,1175.0,1179.0,1198.0,1215.0,1223.0
unmatched_applicants,1260.0,727.0,728.0,726.0,726.0,726.0,726.0,734.0,746.0,774.0,811.0,837.0,872.0,915.0,966.0,986.0,1021.0,1053.0,1067.0,1096.0,1115.0,1135.0,1151.0,1166.0,1174.0,1192.0,1213.0,1241.0
unmatched_applicants,1256.0,727.0,727.0,726.0,726.0,726.0,726.0,733.0,748.0,764.0,817.0,849.0,884.0,910.0,966.0,999.0,1022.0,1055.0,1071.0,1099.0,1114.0,1132.0,1155.0,1165.0,1185.0,1200.0,1217.0,1229.0
unmatched_applicants,1254.0,726.0,726.0,726.0,726.0,726.0,727.0,738.0,750.0,760.0,798.0,851.0,902.0,928.0,965.0,991.0,1007.0,1024.0,1095.0,1078.0,1106.0,1134.0,1149.0,1178.0,1182.0,1203.0,1211.0,1221.0
unmatched_applicants,1259.0,735.0,728.0,726.0,726.0,726.0,729.0,733.0,752.0,783.0,816.0,850.0,876.0,917.0,954.0,983.0,1030.0,1042.0,1062.0,1096.0,1118.0,1147.0,1152.0,1163.0,1187.0,1197.0,1208.0,1222.0
unmatched_applicants,1259.0,728.0,728.0,726.0,726.0,726.0,729.0,732.0,740.0,775.0,825.0,841.0,885.0,918.0,967.0,986.0,1025.0,1057.0,1064.0,1092.0,1104.0,1133.0,1159.0,1164.0,1188.0,1196.0,1208.0,1223.0
unmatched_applicants,1260.0,731.0,726.0,726.0,726.0,726.0,726.0,729.0,755.0,764.0,805.0,838.0,870.0,914.0,948.0,992.0,1007.0,1050.0,1077.0,1101.0,1126.0,1133.0,1153.0,1173.0,1189.0,1196.0,1221.0,1225.0
unmatched_applicants,1263.0,726.0,726.0,726.0,726.0,726.0,728.0,731.0,747.0,772.0,803.0,847.0,892.0,904.0,976.0,985.0,1022.0,1053.0,1071.0,1101.0,1126.0,1114.0,1162.0,1175.0,1199.0,1208.0,1215.0,1221.0
unmatched_applicants,1266.0,729.0,727.0,726.0,726.0,726.0,726.0,733.0,750.0,778.0,802.0,853.0,877.0,919.0,951.0,996.0,1016.0,1038.0,1067.0,1092.0,1120.0,1128.0,1158.0,1168.0,1194.0,1203.0,1208.0,1224.0
unmatched_applicants,1266.0,739.0,729.0,726.0,726.0,726.0,726.0,731.0,738.0,777.0,809.0,832.0,891.0,914.0,963.0,993.0,1007.0,1038.0,1063.0,1097.0,1109.0,1130.0,1150.0,1166.0,1178.0,1200.0,1206.0,1231.0
unfilled_spots,529.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,45.0,91.0,126.0,154.0,192.0,225.0,271.0,291.0,318.0,345.0,364.0,384.0,409.0,438.0,449.0,453.0,472.0,489.0,497.0
unfilled_spots,534.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,20.0,48.0,85.0,111.0,146.0,189.0,240.0,260.0,295.0,327.0,341.0,370.0,389.0,409.0,425.0,440.0,448.0,466.0,487.0,515.0
