Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12
unmatched_applicants,276.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,278.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,276.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,276.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unmatched_applicants,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.28776978417266,58.92086330935252,56.431654676258994,50.23021582733813,46.935251798561154,46.39568345323741,48.51798561151079
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.330935251798564,58.064748201438846,54.9136690647482,51.68345323741007,47.992805755395686,45.55395683453237,48.26618705035971
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,57.985611510791365,54.62589928057554,50.86330935251799,46.0,46.064748201438846,48.36690647482014
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.330935251798564,58.23021582733813,54.89208633093525,50.89928057553957,46.618705035971225,46.36690647482014,48.74820143884892
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,58.51798561151079,55.84172661870504,51.39568345323741,46.86330935251799,46.115107913669064,47.906474820143885
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,57.330935251798564,56.10071942446043,50.2589928057554,47.115107913669064,46.8705035971223,48.16546762589928
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,58.66187050359712,54.44604316546763,50.51798561151079,45.43884892086331,46.45323741007194,48.35251798561151
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,58.42446043165467,55.431654676258994,50.97841726618705,47.29496402877698,46.32374100719424,48.39568345323741
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.2589928057554,58.94964028776978,56.45323741007194,51.67625899280576,46.17985611510792,47.02877697841727,48.37410071942446
reviews_per_program,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,59.568345323741006,57.9136690647482,55.381294964028775,50.985611510791365,46.70503597122302,46.15107913669065,48.172661870503596
pct_interview_given_signal,0.0,1.0615942028985508,1.0525362318840579,1.0440821256038648,1.0416666666666667,1.028623188405797,1.0217391304347827,1.0168219461697723,1.0011322463768115,0.964975845410628,0.9150362318840579,0.8585309617918313,0.7939311594202898
pct_interview_given_signal,0.0,1.036231884057971,1.0543478260869565,1.035024154589372,1.036231884057971,1.0293478260869566,1.026268115942029,1.0131987577639752,0.9913949275362319,0.9698067632850241,0.9161231884057971,0.8600131752305665,0.7946859903381642
pct_interview_given_signal,0.0,1.0706521739130435,1.0534420289855073,1.0392512077294687,1.0439311594202898,1.0289855072463767,1.0232487922705313,1.0121635610766047,0.9959239130434783,0.9722222222222222,0.9235507246376812,0.8598484848484849,0.7933272946859904
pct_interview_given_signal,0.0,1.0579710144927537,1.0407608695652173,1.0507246376811594,1.0335144927536233,1.0297101449275363,1.021135265700483,1.0124223602484472,0.9966032608695652,0.9700080515297906,0.9208333333333333,0.858201581027668,0.7907608695652174
