Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
unmatched_applicants,297.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,279.0,285.0
unmatched_applicants,302.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,278.0,277.0,289.0
unmatched_applicants,303.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,276.0,277.0,283.0
unmatched_applicants,298.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,282.0
unmatched_applicants,306.0,274.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,275.0,281.0,289.0
unmatched_applicants,304.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,276.0,280.0,284.0
unmatched_applicants,306.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,275.0,275.0,283.0
unmatched_applicants,296.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,282.0,280.0
unmatched_applicants,298.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,274.0,277.0,282.0
unmatched_applicants,298.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,274.0,275.0,275.0,285.0
unfilled_spots,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
unfilled_spots,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,15.0
unfilled_spots,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,9.0
unfilled_spots,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
unfilled_spots,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0
unfilled_spots,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0
unfilled_spots,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0
unfilled_spots,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0
unfilled_spots,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0
unfilled_spots,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,60.97841726618705,53.7410071942446,44.194244604316545,38.56115107913669,37.84172661870504,40.0431654676259,43.68345323741007,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,61.35251798561151,55.34532374100719,45.79136690647482,38.719424460431654,38.13669064748201,39.906474820143885,43.68345323741007,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,62.89208633093525,60.992805755395686,55.43884892086331,44.69064748201439,38.23741007194245,37.97122302158273,41.007194244604314,43.68345323741007,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,61.32374100719424,55.7410071942446,45.726618705035975,37.906474820143885,36.84172661870504,40.0,43.68345323741007,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.194244604316545,60.70503597122302,54.460431654676256,44.7410071942446,38.064748201438846,37.539568345323744,40.17985611510792,43.68345323741007,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,61.71223021582734,53.539568345323744,44.30935251798561,37.9568345323741,38.15827338129496,40.66187050359712,43.798561151079134,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,62.05755395683453,54.18705035971223,44.460431654676256,39.34532374100719,37.86330935251799,39.86330935251799,43.68345323741007,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.18705035971223,60.935251798561154,54.68345323741007,44.0863309352518,37.68345323741007,37.35971223021583,40.53237410071942,43.81294964028777,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.24460431654676,60.402877697841724,55.014388489208635,43.985611510791365,38.611510791366904,36.97122302158273,39.935251798561154,43.84172661870504,47.65467625899281,51.62589928057554
reviews_per_program,63.539568345323744,63.539568345323744,63.539568345323744,63.539568345323744,63.172661870503596,61.10791366906475,54.05035971223022,43.194244604316545,38.201438848920866,37.2589928057554,39.8705035971223,43.68345323741007,47.65467625899281,51.62589928057554
