Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,766.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,493.0,496.0,500.0,498.0,514.0,518.0,538.0,554.0,563.0,582.0,588.0,590.0,623.0,632.0,643.0,644.0,661.0,669.0,683.0,689.0,710.0,706.0,722.0,728.0,733.0,735.0,752.0
unmatched_applicants,762.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,499.0,499.0,510.0,511.0,524.0,535.0,556.0,567.0,573.0,593.0,607.0,621.0,637.0,648.0,659.0,668.0,672.0,681.0,696.0,699.0,704.0,720.0,729.0,733.0,736.0,746.0
unmatched_applicants,766.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,497.0,494.0,498.0,496.0,517.0,523.0,524.0,552.0,559.0,587.0,589.0,605.0,617.0,636.0,643.0,652.0,660.0,668.0,680.0,695.0,703.0,709.0,709.0,719.0,731.0,739.0,746.0
unmatched_applicants,764.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,493.0,501.0,503.0,513.0,525.0,541.0,558.0,573.0,582.0,597.0,604.0,615.0,636.0,639.0,651.0,664.0,672.0,683.0,694.0,707.0,707.0,716.0,721.0,734.0,738.0,745.0
unmatched_applicants,760.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,501.0,504.0,506.0,517.0,537.0,552.0,564.0,589.0,584.0,600.0,617.0,629.0,645.0,654.0,666.0,676.0,681.0,693.0,696.0,706.0,715.0,719.0,727.0,728.0,740.0
unmatched_applicants,762.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,497.0,496.0,517.0,522.0,532.0,559.0,565.0,577.0,589.0,605.0,619.0,641.0,643.0,649.0,656.0,668.0,678.0,690.0,706.0,711.0,711.0,719.0,737.0,743.0,740.0
unmatched_applicants,763.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,498.0,508.0,512.0,528.0,537.0,546.0,571.0,581.0,598.0,594.0,616.0,635.0,634.0,646.0,663.0,667.0,685.0,695.0,695.0,704.0,718.0,726.0,732.0,743.0,745.0
unmatched_applicants,760.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,495.0,496.0,502.0,504.0,514.0,537.0,534.0,555.0,576.0,572.0,589.0,603.0,611.0,635.0,650.0,648.0,662.0,670.0,686.0,697.0,705.0,707.0,712.0,725.0,736.0,735.0,746.0
unmatched_applicants,764.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,497.0,497.0,506.0,512.0,528.0,541.0,555.0,571.0,575.0,595.0,605.0,618.0,636.0,643.0,662.0,664.0,681.0,682.0,687.0,690.0,702.0,718.0,724.0,731.0,732.0,733.0
unmatched_applicants,762.0,493.0,494.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,499.0,502.0,513.0,520.0,533.0,540.0,550.0,562.0,577.0,578.0,605.0,616.0,630.0,639.0,651.0,667.0,674.0,684.0,697.0,701.0,706.0,722.0,725.0,729.0,731.0,738.0
