Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
unmatched_applicants,2334.0,1005.0,1025.0,1003.0,998.0,998.0,998.0,998.0,998.0,998.0,1007.0,1018.0,1093.0,1208.0,1327.0,1463.0,1599.0,1725.0,1811.0,1924.0,2015.0,2092.0
unmatched_applicants,2310.0,998.0,1012.0,999.0,998.0,998.0,998.0,998.0,998.0,998.0,1000.0,1027.0,1133.0,1231.0,1300.0,1463.0,1607.0,1723.0,1814.0,1920.0,2015.0,2098.0
unmatched_applicants,2300.0,998.0,1020.0,1005.0,1004.0,998.0,998.0,998.0,998.0,998.0,1006.0,1044.0,1101.0,1230.0,1336.0,1496.0,1591.0,1692.0,1817.0,1935.0,2009.0,2107.0
unmatched_applicants,2278.0,998.0,1023.0,1001.0,998.0,998.0,998.0,998.0,998.0,998.0,1004.0,1022.0,1108.0,1208.0,1323.0,1475.0,1599.0,1713.0,1825.0,1902.0,2017.0,2071.0
unmatched_applicants,2289.0,1015.0,1013.0,1013.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1023.0,1095.0,1253.0,1320.0,1470.0,1569.0,1749.0,1825.0,1923.0,1996.0,2088.0
unmatched_applicants,2275.0,1003.0,1009.0,1009.0,998.0,998.0,998.0,998.0,998.0,998.0,1003.0,1017.0,1071.0,1226.0,1371.0,1470.0,1595.0,1702.0,1816.0,1902.0,2004.0,2122.0
unmatched_applicants,2291.0,1001.0,1024.0,1005.0,998.0,998.0,998.0,998.0,998.0,998.0,1011.0,1024.0,1098.0,1228.0,1358.0,1460.0,1593.0,1730.0,1821.0,1918.0,2015.0,2099.0
unmatched_applicants,2279.0,1001.0,1017.0,1003.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,1025.0,1057.0,1212.0,1358.0,1454.0,1622.0,1727.0,1833.0,1920.0,2019.0,2099.0
unmatched_applicants,2306.0,1000.0,1019.0,1004.0,998.0,1000.0,998.0,998.0,998.0,998.0,1001.0,1038.0,1102.0,1192.0,1354.0,1480.0,1582.0,1738.0,1802.0,1900.0,1996.0,2091.0
unmatched_applicants,2356.0,1014.0,1023.0,1002.0,998.0,998.0,998.0,998.0,998.0,998.0,1001.0,1022.0,1150.0,1213.0,1337.0,1450.0,1596.0,1695.0,1817.0,1908.0,1984.0,2111.0
unfilled_spots,1336.0,7.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,95.0,210.0,329.0,465.0,601.0,727.0,813.0,926.0,1017.0,1094.0
unfilled_spots,1312.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,135.0,233.0,302.0,465.0,609.0,725.0,816.0,922.0,1017.0,1100.0
unfilled_spots,1302.0,0.0,22.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,46.0,103.0,232.0,338.0,498.0,593.0,694.0,819.0,937.0,1011.0,1109.0
unfilled_spots,1280.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,110.0,210.0,325.0,477.0,601.0,715.0,827.0,904.0,1019.0,1073.0
unfilled_spots,1291.0,17.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,97.0,255.0,322.0,472.0,571.0,751.0,827.0,925.0,998.0,1090.0
unfilled_spots,1277.0,5.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,73.0,228.0,373.0,472.0,597.0,704.0,818.0,904.0,1006.0,1124.0
unfilled_spots,1293.0,3.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,100.0,230.0,360.0,462.0,595.0,732.0,823.0,920.0,1017.0,1101.0
unfilled_spots,1281.0,3.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0,214.0,360.0,456.0,624.0,729.0,835.0,922.0,1021.0,1101.0
