Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
unmatched_applicants,3015.0,999.0,1020.0,1000.0,998.0,998.0,998.0,1003.0,1007.0,1118.0,1275.0,1429.0,1574.0,1721.0,1854.0,1993.0,2078.0,2183.0,2303.0,2375.0,2447.0,2531.0,2570.0,2626.0,2698.0,2764.0,2784.0,2838.0,2867.0,2916.0,2940.0
unmatched_applicants,3043.0,1007.0,1017.0,1011.0,1001.0,998.0,998.0,998.0,1014.0,1108.0,1310.0,1449.0,1637.0,1739.0,1870.0,2031.0,2100.0,2226.0,2308.0,2389.0,2467.0,2519.0,2596.0,2650.0,2717.0,2734.0,2799.0,2848.0,2880.0,2902.0,2948.0
unmatched_applicants,3037.0,1011.0,1035.0,1008.0,1000.0,998.0,998.0,1001.0,1050.0,1115.0,1230.0,1421.0,1562.0,1766.0,1873.0,1970.0,2149.0,2222.0,2288.0,2388.0,2455.0,2501.0,2573.0,2648.0,2673.0,2737.0,2801.0,2832.0,2885.0,2911.0,2935.0
unmatched_applicants,3014.0,1003.0,1015.0,1000.0,998.0,999.0,998.0,998.0,1044.0,1107.0,1270.0,1449.0,1585.0,1737.0,1882.0,1992.0,2124.0,2173.0,2301.0,2405.0,2440.0,2532.0,2597.0,2649.0,2698.0,2763.0,2780.0,2846.0,2873.0,2902.0,2951.0
unmatched_applicants,3031.0,1009.0,1008.0,1002.0,998.0,1004.0,998.0,1007.0,1029.0,1118.0,1246.0,1427.0,1604.0,1751.0,1884.0,2020.0,2127.0,2191.0,2319.0,2377.0,2467.0,2512.0,2588.0,2652.0,2706.0,2744.0,2786.0,2836.0,2869.0,2888.0,2934.0
unmatched_applicants,3038.0,1012.0,1027.0,1004.0,1000.0,998.0,998.0,1003.0,1038.0,1125.0,1247.0,1429.0,1583.0,1743.0,1875.0,1997.0,2086.0,2224.0,2305.0,2389.0,2410.0,2544.0,2600.0,2652.0,2713.0,2748.0,2803.0,2853.0,2868.0,2920.0,2946.0
unmatched_applicants,3025.0,1003.0,1021.0,1004.0,1001.0,998.0,998.0,998.0,1025.0,1113.0,1238.0,1448.0,1587.0,1761.0,1889.0,1997.0,2098.0,2192.0,2306.0,2380.0,2463.0,2501.0,2576.0,2645.0,2678.0,2763.0,2776.0,2830.0,2870.0,2901.0,2941.0
unmatched_applicants,3055.0,998.0,1017.0,1004.0,999.0,998.0,998.0,999.0,1030.0,1131.0,1278.0,1441.0,1584.0,1760.0,1905.0,1972.0,2105.0,2235.0,2330.0,2376.0,2452.0,2507.0,2570.0,2656.0,2701.0,2778.0,2783.0,2835.0,2878.0,2917.0,2935.0
unmatched_applicants,3026.0,1012.0,1007.0,1005.0,998.0,998.0,998.0,998.0,1020.0,1111.0,1251.0,1429.0,1595.0,1746.0,1899.0,1981.0,2125.0,2231.0,2302.0,2391.0,2442.0,2532.0,2590.0,2664.0,2696.0,2758.0,2777.0,2847.0,2870.0,2911.0,2943.0
unmatched_applicants,3067.0,1011.0,1014.0,1000.0,998.0,998.0,998.0,1002.0,1018.0,1138.0,1258.0,1423.0,1591.0,1768.0,1881.0,2009.0,2099.0,2198.0,2286.0,2379.0,2459.0,2497.0,2582.0,2637.0,2691.0,2733.0,2796.0,2833.0,2865.0,2891.0,2934.0
unfilled_spots,2017.0,1.0,22.0,2.0,0.0,0.0,0.0,5.0,9.0,120.0,277.0,431.0,576.0,723.0,856.0,995.0,1080.0,1185.0,1305.0,1377.0,1449.0,1533.0,1572.0,1628.0,1700.0,1766.0,1786.0,1840.0,1869.0,1918.0,1942.0
unfilled_spots,2045.0,9.0,19.0,13.0,3.0,0.0,0.0,0.0,16.0,110.0,312.0,451.0,639.0,741.0,872.0,1033.0,1102.0,1228.0,1310.0,1391.0,1469.0,1521.0,1598.0,1652.0,1719.0,1736.0,1801.0,1850.0,1882.0,1904.0,1950.0
unfilled_spots,2039.0,13.0,37.0,10.0,2.0,0.0,0.0,3.0,52.0,117.0,232.0,423.0,564.0,768.0,875.0,972.0,1151.0,1224.0,1290.0,1390.0,1457.0,1503.0,1575.0,1650.0,1675.0,1739.0,1803.0,1834.0,1887.0,1913.0,1937.0
unfilled_spots,2016.0,5.0,17.0,2.0,0.0,1.0,0.0,0.0,46.0,109.0,272.0,451.0,587.0,739.0,884.0,994.0,1126.0,1175.0,1303.0,1407.0,1442.0,1534.0,1599.0,1651.0,1700.0,1765.0,1782.0,1848.0,1875.0,1904.0,1953.0
unfilled_spots,2033.0,11.0,10.0,4.0,0.0,6.0,0.0,9.0,31.0,120.0,248.0,429.0,606.0,753.0,886.0,1022.0,1129.0,1193.0,1321.0,1379.0,1469.0,1514.0,1590.0,1654.0,1708.0,1746.0,1788.0,1838.0,1871.0,1890.0,1936.0
unfilled_spots,2040.0,14.0,29.0,6.0,2.0,0.0,0.0,5.0,40.0,127.0,249.0,431.0,585.0,745.0,877.0,999.0,1088.0,1226.0,1307.0,1391.0,1412.0,1546.0,1602.0,1654.0,1715.0,1750.0,1805.0,1855.0,1870.0,1922.0,1948.0
unfilled_spots,2027.0,5.0,23.0,6.0,3.0,0.0,0.0,0.0,27.0,115.0,240.0,450.0,589.0,763.0,891.0,999.0,1100.0,1194.0,1308.0,1382.0,1465.0,1503.0,1578.0,1647.0,1680.0,1765.0,1778.0,1832.0,1872.0,1903.0,1943.0
unfilled_spots,2057.0,0.0,19.0,6.0,1.0,0.0,0.0,1.0,32.0,133.0,280.0,443.0,586.0,762.0,907.0,974.0,1107.0,1237.0,1332.0,1378.0,1454.0,1509.0,1572.0,1658.0,1703.0,1780.0,1785.0,1837.0,1880.0,1919.0,1937.0
unfilled_spots,2028.0,14.0,9.0,7.0,0.0,0.0,0.0,0.0,22.0,113.0,253.0,431.0,597.0,748.0,901.0,983.0,1127.0,1233.0,1304.0,1393.0,1444.0,1534.0,1592.0,1666.0,1698.0,1760.0,1779.0,1849.0,1872.0,1913.0,1945.0
unfilled_spots,2069.0,13.0,16.0,2.0,0.0,0.0,0.0,4.0,20.0,140.0,260.0,425.0,593.0,770.0,883.0,1011.0,1101.0,1200.0,1288.0,1381.0,1461.0,1499.0,1584.0,1639.0,1693.0,1735.0,1798.0,1835.0,1867.0,1893.0,1936.0
