Parameter,0,1,2,3,4,5,6,7
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,500.8333333333333,126.41666666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,199.91666666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,272.75,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,239.16666666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,200.33333333333334,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,235.41666666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,276.4166666666667,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,198.25,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,201.41666666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
reviews_per_program,500.8333333333333,198.91666666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333
pct_interview_given_signal,0.0,0.9417637271214643,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.930116472545757,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.8935108153078203,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.9351081530782029,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.913477537437604,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.9267886855241264,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.9201331114808652,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.9234608985024958,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.9151414309484193,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_signal,0.0,0.9334442595673876,0.47920133111480867,0.3194675540765391,0.23960066555740434,0.19168053244592345,0.15973377703826955,0.13691466603280247
pct_interview_given_nosignal,0.09584026622296173,0.0018487705675725643,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.0031429099648733593,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.007210205213533,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.00258827879460159,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.004991680532445923,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.003512664078387872,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.004252172305416898,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.003882418191902385,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.004806803475688667,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.09584026622296173,0.0027731558513588465,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_interview_given_application,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173,0.09584026622296173
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
