Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12
unmatched_applicants,276.0,215.0,215.0,214.0,214.0,214.0,214.0,223.0,228.0,232.0,238.0,251.0,259.0
unmatched_applicants,273.0,214.0,214.0,214.0,214.0,214.0,219.0,220.0,223.0,237.0,239.0,250.0,255.0
unmatched_applicants,278.0,214.0,214.0,214.0,214.0,214.0,217.0,219.0,228.0,233.0,241.0,248.0,262.0
unmatched_applicants,280.0,216.0,214.0,214.0,214.0,214.0,215.0,221.0,221.0,234.0,239.0,249.0,255.0
unmatched_applicants,275.0,215.0,214.0,214.0,214.0,214.0,215.0,218.0,226.0,236.0,238.0,249.0,257.0
unmatched_applicants,275.0,214.0,216.0,214.0,214.0,217.0,216.0,218.0,227.0,232.0,248.0,253.0,252.0
unmatched_applicants,278.0,215.0,214.0,214.0,214.0,216.0,214.0,218.0,222.0,240.0,244.0,249.0,255.0
unmatched_applicants,277.0,216.0,214.0,214.0,214.0,214.0,217.0,223.0,221.0,233.0,238.0,251.0,258.0
unmatched_applicants,277.0,214.0,214.0,214.0,214.0,214.0,215.0,216.0,228.0,228.0,237.0,241.0,258.0
unmatched_applicants,273.0,214.0,214.0,214.0,214.0,214.0,215.0,218.0,226.0,229.0,239.0,249.0,261.0
unfilled_spots,62.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,14.0,18.0,24.0,37.0,45.0
unfilled_spots,59.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,23.0,25.0,36.0,41.0
unfilled_spots,64.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,14.0,19.0,27.0,34.0,48.0
unfilled_spots,66.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,20.0,25.0,35.0,41.0
unfilled_spots,61.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,22.0,24.0,35.0,43.0
unfilled_spots,61.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,13.0,18.0,34.0,39.0,38.0
unfilled_spots,64.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,26.0,30.0,35.0,41.0
unfilled_spots,63.0,2.0,0.0,0.0,0.0,0.0,3.0,9.0,7.0,19.0,24.0,37.0,44.0
unfilled_spots,63.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,14.0,23.0,27.0,44.0
unfilled_spots,59.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,15.0,25.0,35.0,47.0
reviews_per_program,65.27472527472527,65.27472527472527,64.74725274725274,52.79120879120879,33.1978021978022,25.89010989010989,26.10989010989011,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,63.46153846153846,55.120879120879124,31.67032967032967,24.417582417582416,27.065934065934066,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,65.27472527472527,51.989010989010985,33.747252747252745,25.626373626373628,27.065934065934066,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,64.84615384615384,54.10989010989011,33.362637362637365,25.46153846153846,26.53846153846154,30.857142857142858,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,64.64835164835165,50.76923076923077,32.43956043956044,24.21978021978022,26.53846153846154,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,64.6043956043956,52.53846153846154,31.78021978021978,23.318681318681318,26.703296703296704,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,65.27472527472527,51.72527472527472,32.83516483516483,23.571428571428573,26.439560439560438,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,65.27472527472527,55.79120879120879,32.10989010989011,23.087912087912088,26.571428571428573,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,65.27472527472527,53.37362637362637,35.13186813186813,23.978021978021978,26.10989010989011,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
reviews_per_program,65.27472527472527,65.27472527472527,64.0989010989011,52.175824175824175,34.824175824175825,25.285714285714285,27.0,30.46153846153846,34.81318681318681,39.16483516483517,43.51648351648352,47.86813186813187,52.21978021978022
pct_interview_given_signal,0.0,1.0101010101010102,1.0088383838383839,0.9688552188552189,0.8636363636363636,0.7262626262626263,0.6127946127946128,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.02020202020202,1.0113636363636365,0.9797979797979798,0.8516414141414141,0.7287878787878788,0.6111111111111112,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.0277777777777777,1.018939393939394,0.9713804713804713,0.8667929292929293,0.7262626262626263,0.6119528619528619,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.02020202020202,1.0176767676767677,0.9831649831649831,0.8592171717171717,0.7272727272727273,0.6123737373737373,0.5248917748917749,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.0176767676767677,1.0164141414141414,0.9772727272727273,0.865530303030303,0.7297979797979798,0.6119528619528619,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.0328282828282829,1.0101010101010102,0.9739057239057239,0.8743686868686869,0.7313131313131314,0.6123737373737373,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.0303030303030303,1.0101010101010102,0.9789562289562289,0.8642676767676768,0.7313131313131314,0.6123737373737373,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.02020202020202,1.0214646464646464,0.9865319865319865,0.8756313131313131,0.7323232323232324,0.6123737373737373,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.0227272727272727,1.0214646464646464,0.9772727272727273,0.8642676767676768,0.7313131313131314,0.6127946127946128,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_signal,0.0,1.0227272727272727,1.0164141414141414,0.9781144781144782,0.8611111111111112,0.7252525252525253,0.6115319865319865,0.5252525252525253,0.4595959595959596,0.40852974186307517,0.36767676767676766,0.3342516069788797,0.3063973063973064
pct_interview_given_nosignal,0.24511784511784512,0.19047619047619047,0.12762237762237763,0.06418350168350169,0.020202020202020204,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18975468975468976,0.12723387723387725,0.061447811447811446,0.024563820018365472,0.0032828282828282827,0.001122334455667789,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18921356421356422,0.12606837606837606,0.06355218855218855,0.019054178145087235,0.004545454545454545,0.0005611672278338945,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18975468975468976,0.12626262626262627,0.06060606060606061,0.021808999081726354,0.00404040404040404,0.0002805836139169473,0.0003156565656565657,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18993506493506493,0.12645687645687645,0.06207912457912458,0.019513314967860424,0.002777777777777778,0.0005611672278338945,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18885281385281386,0.12742812742812742,0.06292087542087542,0.016299357208448117,0.00202020202020202,0.0002805836139169473,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18903318903318903,0.12742812742812742,0.061658249158249155,0.01997245179063361,0.00202020202020202,0.0002805836139169473,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18975468975468976,0.12567987567987568,0.05976430976430976,0.01584022038567493,0.0015151515151515152,0.0002805836139169473,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18957431457431456,0.12567987567987568,0.06207912457912458,0.01997245179063361,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.24511784511784512,0.18957431457431456,0.12645687645687645,0.06186868686868687,0.021120293847566574,0.005050505050505051,0.0008417508417508417,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512
pct_interview_given_application,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512
pct_interview_given_application,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512,0.24511784511784512
