Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
unmatched_applicants,2875.0,1297.0,1264.0,1261.0,1289.0,1382.0,1518.0,1691.0,1831.0,1939.0,2055.0,2147.0,2216.0,2300.0,2334.0,2408.0,2441.0,2528.0,2551.0,2567.0,2594.0,2635.0,2631.0,2677.0,2689.0,2728.0,2741.0,2756.0,2775.0,2796.0,2806.0,2816.0,2846.0,2846.0
unmatched_applicants,2875.0,1297.0,1268.0,1259.0,1285.0,1401.0,1535.0,1703.0,1808.0,1948.0,2062.0,2136.0,2228.0,2294.0,2352.0,2387.0,2457.0,2492.0,2535.0,2571.0,2593.0,2637.0,2660.0,2664.0,2694.0,2717.0,2737.0,2773.0,2764.0,2784.0,2814.0,2826.0,2831.0,2846.0
unmatched_applicants,2890.0,1307.0,1263.0,1262.0,1290.0,1380.0,1544.0,1686.0,1847.0,1977.0,2055.0,2146.0,2227.0,2285.0,2349.0,2414.0,2459.0,2494.0,2527.0,2570.0,2597.0,2632.0,2637.0,2684.0,2707.0,2717.0,2747.0,2771.0,2777.0,2792.0,2803.0,2829.0,2842.0,2848.0
unmatched_applicants,2891.0,1294.0,1263.0,1260.0,1294.0,1396.0,1532.0,1682.0,1834.0,1931.0,2049.0,2144.0,2248.0,2304.0,2334.0,2396.0,2465.0,2484.0,2532.0,2559.0,2605.0,2623.0,2640.0,2668.0,2699.0,2721.0,2743.0,2759.0,2782.0,2799.0,2797.0,2833.0,2847.0,2837.0
unmatched_applicants,2883.0,1301.0,1265.0,1261.0,1301.0,1370.0,1527.0,1693.0,1809.0,1957.0,2021.0,2145.0,2227.0,2298.0,2356.0,2399.0,2454.0,2483.0,2535.0,2559.0,2603.0,2632.0,2673.0,2686.0,2694.0,2730.0,2738.0,2767.0,2788.0,2790.0,2801.0,2815.0,2837.0,2846.0
unmatched_applicants,2886.0,1313.0,1265.0,1259.0,1287.0,1394.0,1545.0,1682.0,1826.0,1945.0,2040.0,2148.0,2217.0,2286.0,2379.0,2392.0,2454.0,2496.0,2528.0,2578.0,2591.0,2642.0,2653.0,2690.0,2707.0,2740.0,2746.0,2776.0,2790.0,2806.0,2793.0,2837.0,2822.0,2833.0
unmatched_applicants,2889.0,1298.0,1268.0,1260.0,1289.0,1394.0,1546.0,1712.0,1829.0,1951.0,2073.0,2131.0,2212.0,2258.0,2367.0,2405.0,2433.0,2511.0,2524.0,2560.0,2593.0,2624.0,2646.0,2681.0,2695.0,2729.0,2744.0,2754.0,2781.0,2791.0,2806.0,2815.0,2841.0,2856.0
unmatched_applicants,2878.0,1316.0,1266.0,1259.0,1292.0,1413.0,1529.0,1709.0,1817.0,1946.0,2030.0,2151.0,2250.0,2298.0,2348.0,2401.0,2476.0,2497.0,2519.0,2565.0,2594.0,2617.0,2652.0,2667.0,2692.0,2721.0,2747.0,2745.0,2775.0,2792.0,2815.0,2822.0,2828.0,2851.0
unmatched_applicants,2872.0,1319.0,1267.0,1261.0,1296.0,1378.0,1504.0,1683.0,1832.0,1942.0,2037.0,2177.0,2228.0,2285.0,2342.0,2418.0,2446.0,2476.0,2533.0,2566.0,2603.0,2650.0,2653.0,2691.0,2696.0,2722.0,2730.0,2758.0,2775.0,2789.0,2809.0,2816.0,2836.0,2848.0
unmatched_applicants,2871.0,1315.0,1263.0,1258.0,1273.0,1369.0,1502.0,1686.0,1838.0,1957.0,2073.0,2154.0,2233.0,2288.0,2335.0,2411.0,2438.0,2487.0,2509.0,2542.0,2593.0,2614.0,2665.0,2688.0,2715.0,2731.0,2745.0,2760.0,2763.0,2790.0,2809.0,2809.0,2841.0,2837.0
unfilled_spots,1617.0,39.0,6.0,3.0,31.0,124.0,260.0,433.0,573.0,681.0,797.0,889.0,958.0,1042.0,1076.0,1150.0,1183.0,1270.0,1293.0,1309.0,1336.0,1377.0,1373.0,1419.0,1431.0,1470.0,1483.0,1498.0,1517.0,1538.0,1548.0,1558.0,1588.0,1588.0
unfilled_spots,1617.0,39.0,10.0,1.0,27.0,143.0,277.0,445.0,550.0,690.0,804.0,878.0,970.0,1036.0,1094.0,1129.0,1199.0,1234.0,1277.0,1313.0,1335.0,1379.0,1402.0,1406.0,1436.0,1459.0,1479.0,1515.0,1506.0,1526.0,1556.0,1568.0,1573.0,1588.0
unfilled_spots,1632.0,49.0,5.0,4.0,32.0,122.0,286.0,428.0,589.0,719.0,797.0,888.0,969.0,1027.0,1091.0,1156.0,1201.0,1236.0,1269.0,1312.0,1339.0,1374.0,1379.0,1426.0,1449.0,1459.0,1489.0,1513.0,1519.0,1534.0,1545.0,1571.0,1584.0,1590.0
unfilled_spots,1633.0,36.0,5.0,2.0,36.0,138.0,274.0,424.0,576.0,673.0,791.0,886.0,990.0,1046.0,1076.0,1138.0,1207.0,1226.0,1274.0,1301.0,1347.0,1365.0,1382.0,1410.0,1441.0,1463.0,1485.0,1501.0,1524.0,1541.0,1539.0,1575.0,1589.0,1579.0
unfilled_spots,1625.0,43.0,7.0,3.0,43.0,112.0,269.0,435.0,551.0,699.0,763.0,887.0,969.0,1040.0,1098.0,1141.0,1196.0,1225.0,1277.0,1301.0,1345.0,1374.0,1415.0,1428.0,1436.0,1472.0,1480.0,1509.0,1530.0,1532.0,1543.0,1557.0,1579.0,1588.0
unfilled_spots,1628.0,55.0,7.0,1.0,29.0,136.0,287.0,424.0,568.0,687.0,782.0,890.0,959.0,1028.0,1121.0,1134.0,1196.0,1238.0,1270.0,1320.0,1333.0,1384.0,1395.0,1432.0,1449.0,1482.0,1488.0,1518.0,1532.0,1548.0,1535.0,1579.0,1564.0,1575.0
unfilled_spots,1631.0,40.0,10.0,2.0,31.0,136.0,288.0,454.0,571.0,693.0,815.0,873.0,954.0,1000.0,1109.0,1147.0,1175.0,1253.0,1266.0,1302.0,1335.0,1366.0,1388.0,1423.0,1437.0,1471.0,1486.0,1496.0,1523.0,1533.0,1548.0,1557.0,1583.0,1598.0
unfilled_spots,1620.0,58.0,8.0,1.0,34.0,155.0,271.0,451.0,559.0,688.0,772.0,893.0,992.0,1040.0,1090.0,1143.0,1218.0,1239.0,1261.0,1307.0,1336.0,1359.0,1394.0,1409.0,1434.0,1463.0,1489.0,1487.0,1517.0,1534.0,1557.0,1564.0,1570.0,1593.0
unfilled_spots,1614.0,61.0,9.0,3.0,38.0,120.0,246.0,425.0,574.0,684.0,779.0,919.0,970.0,1027.0,1084.0,1160.0,1188.0,1218.0,1275.0,1308.0,1345.0,1392.0,1395.0,1433.0,1438.0,1464.0,1472.0,1500.0,1517.0,1531.0,1551.0,1558.0,1578.0,1590.0
unfilled_spots,1613.0,57.0,5.0,0.0,15.0,111.0,244.0,428.0,580.0,699.0,815.0,896.0,975.0,1030.0,1077.0,1153.0,1180.0,1229.0,1251.0,1284.0,1335.0,1356.0,1407.0,1430.0,1457.0,1473.0,1487.0,1502.0,1505.0,1532.0,1551.0,1551.0,1583.0,1579.0
reviews_per_program,292.0990099009901,292.0990099009901,283.9282178217822,171.21039603960395,53.95544554455446,40.56930693069307,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,286.03465346534654,169.38366336633663,49.742574257425744,40.56930693069307,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,283.1287128712871,163.49257425742573,53.84653465346535,41.863861386138616,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,285.20544554455444,168.77475247524754,55.89108910891089,41.81930693069307,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,286.6262376237624,168.72277227722773,49.53217821782178,42.527227722772274,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,283.66089108910893,166.6138613861386,56.32178217821782,40.56930693069307,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,287.28960396039605,169.5519801980198,52.222772277227726,41.28465346534654,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,285.4529702970297,164.03217821782178,53.58168316831683,41.18811881188119,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
reviews_per_program,292.0990099009901,292.0990099009901,283.95544554455444,167.59158415841586,52.116336633663366,40.56930693069307,48.68316831683168,56.7970297029703,64.91089108910892,73.02475247524752,81.13861386138613,89.25247524752476,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534,210.96039603960395,219.0742574257426,227.1881188118812,235.3019801980198,243.41584158415841,251.52970297029702,259.64356435643566,267.75742574257424
